time,Sacramento,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. Thompson (V. Oladipo gains possession),,,,Jump ball: D. Dedmon vs. J. Thompson (V. Oladipo gains possession)
11:45.0,Personal foul by R. Gay (drawn by T. Harris),,0-0,,
11:36.0,,,0-0,,T. Harris misses 3-pt shot from 23 ft
11:35.0,Defensive rebound by J. Thompson,,0-0,,
11:19.0,D. Cousins misses 2-pt shot from 11 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by D. Dedmon
11:04.0,,,0-2,2,V. Oladipo makes 2-pt shot from 22 ft
10:47.0,D. Cousins misses 2-pt shot from 1 ft,,0-2,,
10:45.0,Offensive rebound by D. Cousins,,0-2,,
10:43.0,D. Cousins misses 2-pt shot from 1 ft (block by C. Frye),,0-2,,
10:43.0,Offensive rebound by D. Cousins,,0-2,,
10:43.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,0-2,,
10:43.0,D. Cousins makes free throw 1 of 2,1,1-2,,
10:43.0,D. Cousins makes free throw 2 of 2,1,2-2,,
10:35.0,,,2-4,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
10:13.0,R. McCallum misses 3-pt shot from 26 ft,,2-4,,
10:13.0,Offensive rebound by Team,,2-4,,
10:13.0,,,2-4,,Loose ball foul by D. Dedmon (drawn by J. Thompson)
10:00.0,R. Gay misses 2-pt shot at rim,,2-4,,
9:56.0,Offensive rebound by J. Thompson,,2-4,,
9:56.0,J. Thompson makes 2-pt shot from 1 ft,2,4-4,,
9:47.0,,,4-6,2,T. Harris makes 2-pt shot from 10 ft (assist by C. Frye)
9:33.0,D. Cousins misses 2-pt shot from 1 ft (block by C. Frye),,4-6,,
9:30.0,Offensive rebound by B. McLemore,,4-6,,
9:27.0,B. McLemore misses 2-pt shot at rim,,4-6,,
9:25.0,Offensive rebound by R. Gay,,4-6,,
9:23.0,R. Gay makes 2-pt shot from 1 ft,2,6-6,,
8:59.0,,,6-9,3,V. Oladipo makes 3-pt shot from 24 ft (assist by C. Frye)
8:34.0,Turnover by B. McLemore (lost ball; steal by V. Oladipo),,6-9,,
8:29.0,,,6-11,2,V. Oladipo makes 2-pt shot from 1 ft
8:14.0,Turnover by R. McCallum (lost ball; steal by V. Oladipo),,6-11,,
8:10.0,,,6-13,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
8:09.0,Sacramento full timeout,,6-13,,
8:09.0,,,6-13,,K. O'Quinn enters the game for D. Dedmon
7:45.0,R. Gay misses 3-pt shot from 22 ft,,6-13,,
7:45.0,Offensive rebound by Team,,6-13,,
7:45.0,,,6-13,,Loose ball foul by K. O'Quinn (drawn by D. Cousins)
7:38.0,R. Gay misses 3-pt shot from 26 ft,,6-13,,
7:37.0,,,6-13,,Defensive rebound by C. Frye
7:24.0,,,6-15,2,V. Oladipo makes 2-pt shot at rim
7:02.0,R. Gay makes 2-pt shot from 19 ft,2,8-15,,
6:40.0,Personal foul by B. McLemore (drawn by T. Harris),,8-15,,
6:40.0,O. Casspi enters the game for B. McLemore,,8-15,,
6:40.0,R. Evans enters the game for D. Cousins,,8-15,,
6:32.0,,,8-15,,Turnover by V. Oladipo (lost ball)
6:22.0,Shooting foul by K. O'Quinn (drawn by R. McCallum),,8-15,,
6:22.0,R. McCallum makes free throw 1 of 2,1,9-15,,
6:22.0,R. McCallum misses free throw 2 of 2,,9-15,,
6:20.0,Offensive rebound by R. McCallum,,9-15,,
6:17.0,R. McCallum makes 2-pt shot from 8 ft,2,11-15,,
6:17.0,,,11-15,,Orlando full timeout
5:55.0,,,11-15,,T. Harris misses 2-pt shot from 16 ft (block by R. Gay)
5:52.0,,,11-15,,Offensive rebound by V. Oladipo
5:51.0,,,11-15,,V. Oladipo misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by R. Evans,,11-15,,
5:43.0,O. Casspi misses 2-pt shot from 6 ft (block by T. Harris),,11-15,,
5:41.0,,,11-15,,Defensive rebound by V. Oladipo
5:38.0,,,11-17,2,V. Oladipo makes 2-pt shot at rim
5:19.0,Turnover by R. Gay (bad pass),,11-17,,
5:19.0,,,11-17,,A. Nicholson enters the game for K. O'Quinn
5:06.0,,,11-19,2,E. Payton makes 2-pt shot from 3 ft (assist by V. Oladipo)
4:54.0,R. Gay makes 2-pt shot from 19 ft (assist by R. McCallum),2,13-19,,
4:54.0,Violation by Team (delay of game),,13-19,,
4:35.0,,,13-21,2,T. Harris makes 2-pt shot from 6 ft (assist by C. Frye)
4:15.0,,,13-21,,Personal foul by E. Payton (drawn by R. McCallum)
4:15.0,R. McCallum makes free throw 1 of 2,1,14-21,,
4:15.0,D. Cousins enters the game for J. Thompson,,14-21,,
4:15.0,,,14-21,,K. O'Quinn enters the game for C. Frye
4:15.0,R. McCallum misses free throw 2 of 2,,14-21,,
4:13.0,,,14-21,,Defensive rebound by T. Harris
3:53.0,,,14-21,,A. Nicholson misses 3-pt shot from 23 ft
3:51.0,Defensive rebound by R. Gay,,14-21,,
3:44.0,R. Gay makes 2-pt shot from 9 ft,2,16-21,,
3:32.0,,,16-23,2,A. Nicholson makes 2-pt shot from 18 ft (assist by V. Oladipo)
3:17.0,O. Casspi misses 3-pt shot from 24 ft,,16-23,,
3:15.0,Offensive rebound by D. Cousins,,16-23,,
3:15.0,Shooting foul by K. O'Quinn (drawn by D. Cousins),,16-23,,
3:15.0,D. Cousins makes free throw 1 of 2,1,17-23,,
3:15.0,A. Miller enters the game for R. McCallum,,17-23,,
3:15.0,,,17-23,,B. Gordon enters the game for E. Payton
3:15.0,,,17-23,,D. Dedmon enters the game for K. O'Quinn
3:15.0,D. Cousins makes free throw 2 of 2,1,18-23,,
2:54.0,,,18-25,2,A. Nicholson makes 2-pt shot from 1 ft (assist by B. Gordon)
2:41.0,D. Cousins makes 2-pt shot at rim,2,20-25,,
2:25.0,,,20-27,2,B. Gordon makes 2-pt shot from 17 ft (assist by V. Oladipo)
2:00.0,D. Cousins makes 2-pt shot from 2 ft (assist by A. Miller),2,22-27,,
1:33.0,,,22-27,,B. Gordon misses 2-pt shot from 15 ft
1:31.0,Defensive rebound by R. Gay,,22-27,,
1:25.0,,,22-27,,Personal foul by A. Nicholson (drawn by D. Cousins)
1:25.0,D. Cousins makes free throw 1 of 2,1,23-27,,
1:25.0,D. Williams enters the game for R. Evans,,23-27,,
1:25.0,,,23-27,,C. Frye enters the game for D. Dedmon
1:25.0,D. Cousins misses free throw 2 of 2,,23-27,,
1:24.0,,,23-27,,Defensive rebound by T. Harris
1:07.0,,,23-30,3,C. Frye makes 3-pt shot from 26 ft (assist by V. Oladipo)
0:56.0,R. Gay makes 2-pt shot from 17 ft (assist by A. Miller),2,25-30,,
0:42.0,,,25-33,3,T. Harris makes 3-pt shot from 22 ft (assist by V. Oladipo)
0:32.0,Shooting foul by B. Gordon (drawn by O. Casspi),,25-33,,
0:32.0,O. Casspi misses free throw 1 of 2,,25-33,,
