time,Washington,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: M. Gortat vs. A. Len (E. Bledsoe gains possession)
11:39.0,,,0-0,,A. Len misses 2-pt shot from 12 ft
11:38.0,,,0-0,,Offensive rebound by G. Dragic
11:35.0,,,0-0,,E. Bledsoe misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by P. Pierce,,0-0,,
11:11.0,M. Gortat misses 2-pt shot from 6 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by P. Tucker
10:48.0,,,0-2,2,G. Dragic makes 2-pt shot from 17 ft (assist by E. Bledsoe)
10:42.0,Shooting foul by E. Bledsoe (drawn by P. Pierce),,0-2,,
10:42.0,P. Pierce misses free throw 1 of 2,,0-2,,
10:42.0,Offensive rebound by Team,,0-2,,
10:42.0,P. Pierce makes free throw 2 of 2,1,1-2,,
10:33.0,,,1-2,,Turnover by G. Dragic (bad pass; steal by J. Wall)
10:28.0,B. Beal misses 2-pt shot from 1 ft,,1-2,,
10:27.0,Offensive rebound by K. Humphries,,1-2,,
10:27.0,K. Humphries makes 2-pt shot from 1 ft,2,3-2,,
10:04.0,,,3-2,,A. Len misses 2-pt shot from 15 ft
10:03.0,Defensive rebound by K. Humphries,,3-2,,
9:52.0,M. Gortat makes 2-pt shot from 7 ft,2,5-2,,
9:29.0,,,5-2,,G. Dragic misses 2-pt shot from 11 ft
9:28.0,Defensive rebound by K. Humphries,,5-2,,
9:18.0,J. Wall misses 2-pt shot from 19 ft,,5-2,,
9:17.0,,,5-2,,Defensive rebound by G. Dragic
9:07.0,,,5-4,2,A. Len makes 2-pt shot at rim (assist by M. Morris)
8:54.0,Turnover by J. Wall (lost ball; steal by E. Bledsoe),,5-4,,
8:51.0,,,5-4,,Turnover by E. Bledsoe (lost ball)
8:42.0,P. Pierce misses 3-pt shot from 22 ft,,5-4,,
8:41.0,,,5-4,,Defensive rebound by G. Dragic
8:35.0,,,5-6,2,A. Len makes 2-pt shot at rim (assist by E. Bledsoe)
8:13.0,M. Gortat makes 2-pt shot from 8 ft,2,7-6,,
8:01.0,,,7-8,2,G. Dragic makes 2-pt shot from 4 ft
7:55.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,9-8,,
7:40.0,,,9-8,,M. Morris misses 2-pt shot from 17 ft
7:39.0,Defensive rebound by M. Gortat,,9-8,,
