time,New Orleans,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. B. Wright (D. Cunningham gains possession),,,,Jump ball: O. Asik vs. B. Wright (D. Cunningham gains possession)
11:42.0,E. Gordon makes 2-pt shot from 19 ft (assist by D. Cunningham),2,2-0,,
11:21.0,,,2-0,,M. Morris misses 2-pt shot from 16 ft
11:19.0,Defensive rebound by T. Evans,,2-0,,
11:08.0,E. Gordon misses 3-pt shot from 25 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by M. Morris
11:03.0,,,2-2,2,P. Tucker makes 2-pt shot at rim (assist by M. Morris)
10:37.0,Turnover by E. Gordon (bad pass; steal by E. Bledsoe),,2-2,,
10:31.0,,,2-2,,Turnover by E. Bledsoe (bad pass; steal by D. Cunningham)
10:24.0,Turnover by T. Evans (bad pass; steal by M. Morris),,2-2,,
10:14.0,,,2-2,,E. Bledsoe misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by O. Asik,,2-2,,
10:03.0,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon),2,4-2,,
9:37.0,,,4-4,2,M. Morris makes 2-pt shot from 14 ft
9:18.0,E. Gordon makes 2-pt shot from 18 ft (assist by O. Asik),2,6-4,,
8:54.0,,,6-4,,M. Morris misses 2-pt shot from 1 ft
8:51.0,Defensive rebound by Q. Pondexter,,6-4,,
8:41.0,E. Gordon misses 2-pt shot at rim,,6-4,,
8:37.0,Offensive rebound by O. Asik,,6-4,,
8:37.0,O. Asik misses 2-pt shot from 1 ft,,6-4,,
8:35.0,,,6-4,,Defensive rebound by B. Wright
8:30.0,,,6-4,,E. Bledsoe misses 2-pt shot from 17 ft
8:27.0,Defensive rebound by O. Asik,,6-4,,
8:12.0,T. Evans misses 3-pt shot from 24 ft,,6-4,,
8:11.0,Offensive rebound by Team,,6-4,,
8:01.0,E. Gordon makes 2-pt shot from 4 ft,2,8-4,,
7:41.0,,,8-4,,M. Morris misses 2-pt shot from 11 ft
7:39.0,Defensive rebound by O. Asik,,8-4,,
7:30.0,D. Cunningham makes 2-pt shot from 16 ft (assist by E. Gordon),2,10-4,,
7:23.0,,,10-6,2,M. Morris makes 2-pt shot from 3 ft (assist by E. Bledsoe)
7:06.0,Q. Pondexter misses 3-pt shot from 23 ft,,10-6,,
7:03.0,,,10-6,,Defensive rebound by E. Bledsoe
6:51.0,,,10-8,2,B. Wright makes 2-pt shot at rim (assist by M. Morris)
6:27.0,T. Evans makes 2-pt shot from 2 ft (assist by D. Cunningham),2,12-8,,
6:14.0,,,12-8,,E. Bledsoe misses 2-pt shot from 21 ft
6:12.0,Defensive rebound by O. Asik,,12-8,,
6:01.0,E. Gordon misses 2-pt shot from 14 ft,,12-8,,
6:00.0,,,12-8,,Defensive rebound by E. Bledsoe
5:47.0,,,12-10,2,B. Wright makes 2-pt shot from 15 ft (assist by M. Morris)
5:20.0,D. Cunningham misses 2-pt shot from 17 ft,,12-10,,
5:19.0,,,12-10,,Defensive rebound by E. Bledsoe
5:14.0,,,12-10,,M. Morris misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by O. Asik,,12-10,,
4:59.0,T. Evans misses 2-pt shot from 6 ft,,12-10,,
4:58.0,,,12-10,,Defensive rebound by M. Morris
4:58.0,,,12-10,,Phoenix full timeout
4:58.0,,,12-10,,T. Warren enters the game for M. Morris
4:47.0,,,12-10,,E. Bledsoe misses 2-pt shot from 18 ft
4:45.0,Defensive rebound by O. Asik,,12-10,,
4:34.0,Turnover by E. Gordon (back court),,12-10,,
4:24.0,,,12-12,2,E. Bledsoe makes 2-pt shot from 17 ft
4:02.0,O. Asik misses 2-pt shot from 5 ft,,12-12,,
4:00.0,,,12-12,,Defensive rebound by M. Morris
3:55.0,,,12-12,,P. Tucker misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by Q. Pondexter,,12-12,,
3:45.0,Turnover by Q. Pondexter (bad pass; steal by E. Bledsoe),,12-12,,
3:40.0,,,12-12,,P. Tucker misses 2-pt shot from 2 ft
3:38.0,,,12-12,,Offensive rebound by P. Tucker
3:35.0,,,12-15,3,P. Tucker makes 3-pt shot from 23 ft
3:10.0,D. Cunningham misses 2-pt shot from 15 ft,,12-15,,
3:08.0,,,12-15,,Defensive rebound by E. Bledsoe
2:49.0,,,12-15,,T. Warren misses 2-pt shot from 2 ft
2:46.0,,,12-15,,Offensive rebound by T. Warren
2:46.0,,,12-17,2,T. Warren makes 2-pt shot from 1 ft
2:27.0,New Orleans full timeout,,12-17,,
2:27.0,,,12-17,,A. Goodwin enters the game for E. Bledsoe
2:27.0,N. Cole enters the game for O. Asik,,12-17,,
2:27.0,A. Ajinca enters the game for E. Gordon,,12-17,,
2:21.0,T. Evans makes 2-pt shot from 1 ft (assist by A. Ajinca),2,14-17,,
2:07.0,Personal foul by N. Cole (drawn by A. Goodwin),,14-17,,
2:07.0,L. Babbitt enters the game for D. Cunningham,,14-17,,
1:56.0,,,14-19,2,M. Morris makes 2-pt shot from 15 ft
1:33.0,Shooting foul by T. Warren (drawn by Q. Pondexter),,14-19,,
