time,Milwaukee,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (B. Udrih gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (B. Udrih gains possession)
11:42.0,,,0-0,,Turnover by Z. Randolph (lost ball; steal by K. Middleton)
11:37.0,Turnover by K. Middleton (bad pass; steal by Z. Randolph),,0-0,,
11:20.0,,,0-2,2,J. Green makes 2-pt shot from 1 ft (assist by Z. Randolph)
11:02.0,K. Middleton makes 3-pt shot from 24 ft (assist by T. Ennis),3,3-2,,
10:41.0,,,3-2,,J. Green misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by E. Ilyasova,,3-2,,
10:33.0,G. Antetokounmpo makes 2-pt shot at rim,2,5-2,,
10:11.0,,,5-2,,J. Green misses 2-pt shot from 5 ft
10:11.0,,,5-2,,Offensive rebound by Team
10:08.0,,,5-2,,C. Lee misses 2-pt shot from 12 ft
10:07.0,,,5-2,,Offensive rebound by J. Green
10:06.0,,,5-2,,Turnover by Team (shot clock)
9:55.0,,,5-2,,Personal foul by Z. Randolph (drawn by E. Ilyasova)
9:42.0,Z. Pachulia misses 2-pt shot from 14 ft,,5-2,,
9:41.0,,,5-2,,Defensive rebound by Z. Randolph
9:32.0,,,5-4,2,C. Lee makes 2-pt shot at rim (assist by M. Gasol)
9:16.0,G. Antetokounmpo makes 2-pt shot from 15 ft,2,7-4,,
8:57.0,,,7-4,,Turnover by B. Udrih (bad pass; steal by T. Ennis)
8:51.0,E. Ilyasova makes 2-pt shot from 15 ft (assist by T. Ennis),2,9-4,,
8:35.0,Personal foul by G. Antetokounmpo (drawn by M. Gasol),,9-4,,
8:31.0,,,9-4,,Turnover by J. Green (dbl dribble)
8:23.0,Shooting foul by B. Udrih (drawn by G. Antetokounmpo),,9-4,,
8:23.0,G. Antetokounmpo makes 2-pt shot at rim,2,11-4,,
8:23.0,,,11-4,,Memphis full timeout
8:23.0,,,11-4,,T. Allen enters the game for J. Green
8:23.0,G. Antetokounmpo misses free throw 1 of 1,,11-4,,
8:22.0,Offensive rebound by Team,,11-4,,
8:19.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by T. Ennis),2,13-4,,
