time,Brooklyn,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (N. Hilario gains possession)
11:47.0,,,0-2,2,M. Gortat makes 2-pt shot from 11 ft (assist by P. Pierce)
11:25.0,K. Garnett makes 2-pt shot from 13 ft,2,2-2,,
11:11.0,,,2-2,,Turnover by N. Hilario (bad pass)
10:48.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by J. Jack),2,4-2,,
10:32.0,,,4-4,2,J. Wall makes 2-pt shot from 21 ft (assist by N. Hilario)
10:06.0,J. Jack makes 3-pt shot from 27 ft (assist by K. Garnett),3,7-4,,
9:44.0,,,7-4,,B. Beal misses 3-pt shot from 26 ft
9:43.0,Defensive rebound by Team,,7-4,,
9:24.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,9-4,,
9:06.0,,,9-4,,Turnover by N. Hilario (lost ball; steal by J. Jack)
8:58.0,Shooting foul by P. Pierce (drawn by B. Bogdanovic),,9-4,,
8:58.0,B. Bogdanovic makes free throw 1 of 2,1,10-4,,
8:58.0,B. Bogdanovic misses free throw 2 of 2,,10-4,,
8:57.0,,,10-4,,Defensive rebound by N. Hilario
8:43.0,,,10-6,2,N. Hilario makes 2-pt shot at rim
8:43.0,,,10-6,,Shooting foul by K. Garnett (drawn by N. Hilario)
8:43.0,,,10-6,,N. Hilario misses free throw 1 of 1
8:41.0,Defensive rebound by M. Plumlee,,10-6,,
8:23.0,J. Johnson misses 2-pt shot from 17 ft,,10-6,,
8:22.0,Offensive rebound by B. Bogdanovic,,10-6,,
8:01.0,M. Plumlee misses 2-pt shot from 12 ft,,10-6,,
8:00.0,Offensive rebound by Team,,10-6,,
7:51.0,J. Johnson misses 2-pt shot from 20 ft,,10-6,,
7:50.0,,,10-6,,Defensive rebound by M. Gortat
7:46.0,,,10-6,,Turnover by J. Wall (bad pass; steal by K. Garnett)
7:40.0,,,10-6,,Personal block foul by J. Wall (drawn by J. Johnson)
7:33.0,M. Plumlee misses 2-pt shot from 4 ft,,10-6,,
7:32.0,,,10-6,,Defensive rebound by J. Wall
7:21.0,,,10-9,3,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall)
7:07.0,J. Jack makes 2-pt shot from 17 ft,2,12-9,,
6:49.0,,,12-9,,J. Wall misses 3-pt shot from 22 ft
6:48.0,,,12-9,,Offensive rebound by M. Gortat
6:46.0,,,12-11,2,M. Gortat makes 2-pt shot from 2 ft
6:25.0,Shooting foul by B. Beal (drawn by B. Bogdanovic),,12-11,,
6:25.0,B. Bogdanovic makes free throw 1 of 2,1,13-11,,
6:25.0,B. Lopez enters the game for M. Plumlee,,13-11,,
6:25.0,B. Bogdanovic misses free throw 2 of 2,,13-11,,
6:23.0,Offensive rebound by K. Garnett,,13-11,,
6:13.0,,,13-11,,Personal foul by J. Wall (drawn by J. Jack)
6:13.0,,,13-11,,A. Miller enters the game for J. Wall
6:04.0,J. Jack misses 2-pt shot from 18 ft,,13-11,,
6:03.0,Offensive rebound by B. Lopez,,13-11,,
5:58.0,Turnover by J. Jack (bad pass; steal by P. Pierce),,13-11,,
5:52.0,,,13-11,,Turnover by A. Miller (bad pass; steal by J. Johnson)
5:48.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by A. Miller),,13-11,,
5:48.0,Offensive rebound by Team,,13-11,,
5:48.0,,,13-11,,Washington full timeout
5:36.0,B. Lopez misses 2-pt shot from 22 ft,,13-11,,
5:35.0,,,13-11,,Defensive rebound by P. Pierce
5:14.0,,,13-11,,A. Miller misses 2-pt shot from 11 ft (block by J. Jack)
5:12.0,Defensive rebound by J. Jack,,13-11,,
5:10.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack),2,15-11,,
4:48.0,,,15-11,,Shooting foul by B. Lopez (drawn by N. Hilario)
4:48.0,,,15-12,1,N. Hilario makes free throw 1 of 2
4:48.0,,,15-13,1,N. Hilario makes free throw 2 of 2
4:32.0,J. Jack misses 3-pt shot from 25 ft,,15-13,,
4:31.0,,,15-13,,Defensive rebound by P. Pierce
4:12.0,,,15-13,,N. Hilario misses 2-pt shot from 14 ft
4:11.0,Defensive rebound by K. Garnett,,15-13,,
3:54.0,Offensive foul by B. Lopez,,15-13,,
3:54.0,Turnover by B. Lopez (offensive foul),,15-13,,
3:54.0,M. Plumlee enters the game for K. Garnett,,15-13,,
3:54.0,,,15-13,,R. Butler enters the game for P. Pierce
3:40.0,,,15-13,,B. Beal misses 2-pt shot from 20 ft
3:39.0,,,15-13,,Offensive rebound by M. Gortat
3:34.0,,,15-13,,M. Gortat misses 2-pt shot from 8 ft
3:34.0,Defensive rebound by Team,,15-13,,
3:25.0,,,15-13,,Personal foul by M. Gortat (drawn by B. Lopez)
3:25.0,B. Lopez misses free throw 1 of 2,,15-13,,
3:25.0,Offensive rebound by Team,,15-13,,
3:25.0,B. Lopez makes free throw 2 of 2,1,16-13,,
3:09.0,,,16-15,2,B. Beal makes 2-pt shot at rim (assist by N. Hilario)
2:46.0,J. Johnson misses 2-pt shot from 17 ft,,16-15,,
2:46.0,,,16-15,,Defensive rebound by Team
2:46.0,Brooklyn full timeout,,16-15,,
2:46.0,,,16-15,,K. Humphries enters the game for N. Hilario
2:46.0,A. Anderson enters the game for J. Johnson,,16-15,,
2:28.0,,,16-15,,B. Beal misses 2-pt shot from 5 ft
2:27.0,Defensive rebound by M. Plumlee,,16-15,,
2:19.0,,,16-15,,Personal foul by B. Beal (drawn by B. Bogdanovic)
2:19.0,B. Bogdanovic makes free throw 1 of 2,1,17-15,,
2:19.0,,,17-15,,O. Porter enters the game for B. Beal
2:19.0,B. Bogdanovic makes free throw 2 of 2,1,18-15,,
2:01.0,,,18-15,,K. Humphries misses 2-pt shot from 20 ft
2:00.0,Defensive rebound by Team,,18-15,,
1:45.0,J. Jack misses 2-pt shot from 14 ft,,18-15,,
1:44.0,,,18-15,,Defensive rebound by R. Butler
1:38.0,,,18-17,2,M. Gortat makes 2-pt shot from 1 ft (assist by A. Miller)
1:17.0,B. Bogdanovic misses 3-pt shot from 25 ft,,18-17,,
1:16.0,,,18-17,,Defensive rebound by R. Butler
0:59.0,,,18-19,2,R. Butler makes 2-pt shot from 5 ft
0:59.0,,,18-19,,Shooting foul by B. Lopez (drawn by R. Butler)
0:59.0,Brooklyn full timeout,,18-19,,
0:59.0,M. Teletovic enters the game for B. Lopez,,18-19,,
0:59.0,,,18-20,1,R. Butler makes free throw 1 of 1
0:40.0,Turnover by M. Teletovic (bad pass; steal by R. Butler),,18-20,,
0:33.0,,,18-22,2,K. Humphries makes 2-pt shot from 17 ft (assist by A. Miller)
0:11.0,M. Teletovic misses 3-pt shot from 25 ft,,18-22,,
0:10.0,,,18-22,,Defensive rebound by R. Butler
0:00.0,,,18-24,2,A. Miller makes 2-pt shot from 3 ft (assist by O. Porter)
0:00.0,End of 1st quarter,,,,End of 1st quarter
