time,Memphis,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Hollins (M. Conley gains possession),,,,Jump ball: M. Gasol vs. R. Hollins (M. Conley gains possession)
11:36.0,C. Lee makes 2-pt shot from 6 ft (assist by M. Gasol),2,2-0,,
11:21.0,,,2-0,,Turnover by D. Collison (bad pass; steal by C. Lee)
11:09.0,M. Gasol misses 2-pt shot from 23 ft,,2-0,,
11:09.0,,,2-0,,Defensive rebound by R. Gay
10:53.0,,,2-0,,B. McLemore misses 3-pt shot from 23 ft
10:52.0,Defensive rebound by M. Gasol,,2-0,,
10:43.0,M. Conley makes 3-pt shot from 25 ft,3,5-0,,
10:18.0,,,5-0,,B. McLemore misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by M. Gasol,,5-0,,
9:56.0,C. Lee makes 2-pt shot from 19 ft (assist by M. Gasol),2,7-0,,
9:40.0,Personal foul by M. Gasol (drawn by R. Hollins),,7-0,,
9:33.0,,,7-0,,B. McLemore misses 2-pt shot from 5 ft
9:32.0,Defensive rebound by Z. Randolph,,7-0,,
9:20.0,Turnover by M. Conley (bad pass; steal by B. McLemore),,7-0,,
9:17.0,,,7-2,2,B. McLemore makes 2-pt shot at rim (assist by R. Gay)
9:00.0,C. Lee misses 2-pt shot from 9 ft,,7-2,,
8:59.0,,,7-2,,Defensive rebound by D. Collison
8:47.0,,,7-4,2,R. Gay makes 2-pt shot from 14 ft
8:26.0,Z. Randolph misses 2-pt shot from 5 ft (block by J. Thompson),,7-4,,
8:25.0,Offensive rebound by Z. Randolph,,7-4,,
8:22.0,Z. Randolph makes 2-pt shot from 4 ft,2,9-4,,
8:20.0,Personal foul by M. Conley (drawn by D. Collison),,9-4,,
8:12.0,,,9-4,,Turnover by J. Thompson (traveling)
7:56.0,M. Gasol makes 2-pt shot from 13 ft (assist by T. Allen),2,11-4,,
7:56.0,,,11-4,,Sacramento full timeout
7:30.0,,,11-6,2,J. Thompson makes 2-pt shot from 7 ft
7:10.0,Z. Randolph misses 2-pt shot from 4 ft,,11-6,,
7:09.0,Offensive rebound by Z. Randolph,,11-6,,
7:09.0,Z. Randolph misses 2-pt shot from 4 ft,,11-6,,
7:08.0,,,11-6,,Defensive rebound by J. Thompson
7:03.0,,,11-6,,Shooting foul by C. Lee (drawn by D. Collison)
7:03.0,,,11-6,,D. Collison misses free throw 1 of 2
