time,Denver,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. T. Mozgov,,,,Jump ball: J. Hill vs. T. Mozgov
11:41.0,,,0-2,2,K. Bryant makes 2-pt shot from 3 ft (assist by J. Lin)
11:25.0,A. Afflalo makes 2-pt shot from 11 ft (assist by T. Lawson),2,2-2,,
11:08.0,,,2-4,2,J. Hill makes 2-pt shot at rim (assist by K. Bryant)
10:55.0,A. Afflalo misses 3-pt shot from 24 ft,,2-4,,
10:53.0,Offensive rebound by T. Mozgov,,2-4,,
10:48.0,K. Faried makes 2-pt shot from 9 ft (assist by T. Lawson),2,4-4,,
10:31.0,,,4-4,,W. Johnson misses 3-pt shot from 23 ft
10:30.0,Defensive rebound by W. Chandler,,4-4,,
10:22.0,K. Faried makes 2-pt shot from 8 ft (assist by W. Chandler),2,6-4,,
10:22.0,Shooting foul by K. Bryant (drawn by K. Faried),,6-4,,
10:22.0,K. Faried misses free throw 1 of 1,,6-4,,
10:20.0,,,6-4,,Defensive rebound by E. Davis
10:05.0,,,6-6,2,K. Bryant makes 2-pt shot from 17 ft
9:43.0,W. Chandler misses 3-pt shot from 22 ft,,6-6,,
9:42.0,,,6-6,,Defensive rebound by E. Davis
9:32.0,,,6-6,,Turnover by J. Lin (bad pass; steal by K. Faried)
9:25.0,K. Faried misses 2-pt shot from 1 ft,,6-6,,
9:25.0,Offensive rebound by Team,,6-6,,
9:20.0,Turnover by K. Faried (bad pass; steal by J. Hill),,6-6,,
9:13.0,,,6-8,2,J. Lin makes 2-pt shot at rim
8:56.0,A. Afflalo misses 2-pt shot from 14 ft,,6-8,,
8:55.0,,,6-8,,Defensive rebound by K. Bryant
8:48.0,Personal foul by T. Mozgov (drawn by E. Davis),,6-8,,
8:44.0,,,6-8,,Shooting foul by T. Mozgov (drawn by E. Davis)
8:44.0,,,6-8,,E. Davis misses free throw 1 of 2
8:44.0,,,6-8,,Offensive rebound by Team
8:44.0,,,6-9,1,E. Davis makes free throw 2 of 2
8:32.0,K. Faried misses 2-pt shot at rim,,6-9,,
8:31.0,,,6-9,,Defensive rebound by J. Hill
8:11.0,,,6-9,,K. Bryant misses 2-pt shot from 12 ft
8:10.0,Defensive rebound by T. Mozgov,,6-9,,
7:58.0,T. Lawson misses 3-pt shot from 25 ft,,6-9,,
7:57.0,Offensive rebound by T. Mozgov,,6-9,,
7:48.0,A. Afflalo misses 2-pt shot from 1 ft (block by W. Johnson),,6-9,,
7:48.0,,,6-9,,Defensive rebound by Team
7:32.0,,,6-9,,J. Lin misses 2-pt shot from 2 ft (block by T. Mozgov)
7:30.0,Defensive rebound by W. Chandler,,6-9,,
7:20.0,Shooting foul by J. Hill (drawn by K. Faried),,6-9,,
7:20.0,K. Faried misses free throw 1 of 2,,6-9,,
7:20.0,Offensive rebound by Team,,6-9,,
7:20.0,K. Faried misses free throw 2 of 2,,6-9,,
7:19.0,,,6-9,,Defensive rebound by J. Hill
7:05.0,,,6-9,,Turnover by E. Davis (lost ball)
6:52.0,K. Faried misses 2-pt shot from 1 ft,,6-9,,
6:48.0,Offensive rebound by T. Mozgov,,6-9,,
