time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:37.0,K. Leonard makes 2-pt shot from 8 ft (assist by T. Parker),2,2-0,,
11:12.0,,,2-2,2,C. Paul makes 2-pt shot from 18 ft
10:53.0,T. Duncan makes 2-pt shot from 2 ft (assist by T. Splitter),2,4-2,,
10:49.0,,,4-2,,Shooting foul by T. Splitter (drawn by B. Griffin)
10:49.0,,,4-3,1,B. Griffin makes free throw 1 of 2
10:49.0,,,4-4,1,B. Griffin makes free throw 2 of 2
10:39.0,,,4-4,,Personal foul by J. Redick (drawn by D. Green)
10:36.0,D. Green makes 2-pt shot from 2 ft (assist by K. Leonard),2,6-4,,
10:31.0,,,6-4,,Turnover by B. Griffin (bad pass)
10:15.0,T. Parker misses 2-pt shot from 15 ft,,6-4,,
10:13.0,Offensive rebound by T. Duncan,,6-4,,
10:07.0,D. Green misses 3-pt shot from 26 ft,,6-4,,
10:05.0,,,6-4,,Defensive rebound by D. Jordan
9:55.0,,,6-6,2,B. Griffin makes 2-pt shot from 18 ft (assist by C. Paul)
9:33.0,T. Parker makes 2-pt shot from 15 ft,2,8-6,,
9:18.0,,,8-6,,J. Redick misses 2-pt shot from 20 ft
9:17.0,Defensive rebound by T. Splitter,,8-6,,
9:05.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,11-6,,
8:53.0,,,11-6,,B. Griffin misses 2-pt shot from 1 ft (block by T. Splitter)
8:53.0,,,11-6,,Offensive rebound by Team
8:46.0,,,11-6,,J. Redick misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by D. Green,,11-6,,
8:30.0,T. Parker makes 2-pt shot from 19 ft,2,13-6,,
8:30.0,,,13-6,,LA Clippers full timeout
8:19.0,,,13-6,,C. Paul misses 2-pt shot from 14 ft
8:17.0,Defensive rebound by T. Splitter,,13-6,,
7:58.0,T. Parker misses 2-pt shot from 19 ft,,13-6,,
7:57.0,,,13-6,,Defensive rebound by D. Jordan
7:37.0,,,13-9,3,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin)
7:15.0,K. Leonard makes 2-pt shot from 14 ft,2,15-9,,
6:46.0,,,15-11,2,B. Griffin makes 2-pt shot from 18 ft
6:31.0,T. Duncan makes 2-pt shot from 7 ft,2,17-11,,
6:23.0,,,17-11,,M. Barnes misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by T. Duncan,,17-11,,
6:12.0,T. Parker makes 2-pt shot from 9 ft,2,19-11,,
5:56.0,,,19-14,3,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul)
5:34.0,T. Parker misses 2-pt shot from 8 ft,,19-14,,
5:33.0,,,19-14,,Defensive rebound by D. Jordan
5:28.0,,,19-14,,M. Barnes misses 3-pt shot from 24 ft
