time,Philadelphia,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (J. Jack gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (J. Jack gains possession)
11:50.0,,,0-0,,Turnover by B. Lopez (bad pass; steal by L. Mbah a Moute)
11:37.0,H. Sims misses 2-pt shot from 16 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Jack
11:25.0,,,0-2,2,B. Lopez makes 2-pt shot at rim (assist by J. Jack)
11:06.0,R. Covington makes 3-pt shot from 22 ft (assist by M. Carter-Williams),3,3-2,,
10:46.0,,,3-2,,M. Plumlee misses 2-pt shot from 4 ft
10:45.0,Defensive rebound by M. Carter-Williams,,3-2,,
10:44.0,,,3-2,,Personal foul by M. Plumlee (drawn by M. Carter-Williams)
10:31.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,5-2,,
10:21.0,,,5-4,2,J. Jack makes 2-pt shot from 6 ft
10:08.0,M. Carter-Williams misses 2-pt shot from 18 ft,,5-4,,
10:07.0,,,5-4,,Defensive rebound by J. Johnson
10:00.0,,,5-4,,J. Jack misses 2-pt shot from 16 ft
9:59.0,Defensive rebound by H. Sims,,5-4,,
9:46.0,N. Noel makes 2-pt shot from 6 ft,2,7-4,,
9:29.0,,,7-6,2,B. Lopez makes 2-pt shot from 17 ft (assist by J. Jack)
9:16.0,,,7-6,,Personal foul by B. Lopez (drawn by M. Carter-Williams)
9:02.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by H. Sims),3,10-6,,
8:44.0,,,10-8,2,J. Jack makes 2-pt shot from 11 ft
8:30.0,H. Sims misses 2-pt shot from 19 ft,,10-8,,
8:29.0,,,10-8,,Defensive rebound by J. Jack
8:20.0,,,10-10,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack)
8:04.0,N. Noel makes 2-pt shot from 12 ft,2,12-10,,
7:45.0,,,12-12,2,S. Karasev makes 2-pt shot from 12 ft (assist by J. Jack)
7:26.0,H. Sims misses 2-pt shot from 17 ft,,12-12,,
7:25.0,,,12-12,,Defensive rebound by M. Plumlee
7:18.0,,,12-12,,Turnover by J. Jack (bad pass; steal by R. Covington)
7:12.0,Turnover by M. Carter-Williams (bad pass),,12-12,,
6:50.0,,,12-14,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Johnson)
6:30.0,H. Sims misses 2-pt shot from 6 ft,,12-14,,
6:30.0,,,12-14,,Defensive rebound by M. Plumlee
6:23.0,,,12-14,,Shooting foul by M. Carter-Williams (drawn by J. Jack)
6:23.0,,,12-15,1,J. Jack makes free throw 1 of 2
6:23.0,,,12-16,1,J. Jack makes free throw 2 of 2
6:23.0,Philadelphia full timeout,,12-16,,
6:23.0,F. Aldemir enters the game for H. Sims,,12-16,,
6:05.0,R. Covington makes 2-pt shot from 17 ft (assist by F. Aldemir),2,14-16,,
5:50.0,,,14-16,,S. Karasev misses 3-pt shot from 24 ft
5:49.0,,,14-16,,Offensive rebound by Team
5:49.0,Loose ball foul by F. Aldemir (drawn by M. Plumlee),,14-16,,
5:49.0,K. McDaniels enters the game for R. Covington,,14-16,,
5:40.0,,,14-16,,B. Lopez misses 2-pt shot from 6 ft
5:39.0,,,14-16,,Offensive rebound by M. Plumlee
5:38.0,,,14-18,2,M. Plumlee makes 2-pt shot from 1 ft
5:26.0,M. Carter-Williams misses 2-pt shot at rim (block by B. Lopez),,14-18,,
5:25.0,,,14-18,,Defensive rebound by B. Lopez
5:19.0,,,14-21,3,J. Johnson makes 3-pt shot from 23 ft (assist by J. Jack)
5:04.0,Turnover by F. Aldemir (bad pass; steal by S. Karasev),,14-21,,
5:00.0,,,14-21,,Shooting foul by K. McDaniels (drawn by M. Plumlee)
5:00.0,,,14-22,1,M. Plumlee makes free throw 1 of 2
5:00.0,M. Thomas enters the game for N. Noel,,14-22,,
5:00.0,,,14-22,,M. Plumlee misses free throw 2 of 2
4:59.0,Defensive rebound by M. Thomas,,14-22,,
4:43.0,Turnover by K. McDaniels (bad pass; steal by S. Karasev),,14-22,,
