time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Zeller (K. Walker gains possession),,,,Jump ball: B. Biyombo vs. T. Zeller (K. Walker gains possession)
11:49.0,Offensive charge foul by M. Kidd-Gilchrist,,0-0,,
11:49.0,Turnover by M. Kidd-Gilchrist (offensive foul),,0-0,,
11:36.0,,,0-2,2,J. Green makes 2-pt shot from 2 ft (assist by T. Zeller)
11:23.0,G. Henderson makes 2-pt shot from 17 ft (assist by M. Kidd-Gilchrist),2,2-2,,
11:09.0,,,2-2,,T. Zeller misses 2-pt shot from 7 ft
11:08.0,Defensive rebound by B. Biyombo,,2-2,,
10:57.0,B. Biyombo makes 2-pt shot from 1 ft (assist by G. Henderson),2,4-2,,
10:41.0,,,4-4,2,J. Green makes 2-pt shot at rim (assist by J. Sullinger)
10:23.0,G. Henderson misses 2-pt shot from 15 ft,,4-4,,
10:22.0,,,4-4,,Defensive rebound by J. Sullinger
10:14.0,,,4-4,,J. Sullinger misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by Team,,4-4,,
9:59.0,K. Walker makes 2-pt shot from 18 ft (assist by G. Henderson),2,6-4,,
9:46.0,,,6-4,,T. Zeller misses 2-pt shot from 7 ft
9:44.0,Defensive rebound by M. Kidd-Gilchrist,,6-4,,
9:38.0,K. Walker misses 3-pt shot from 24 ft,,6-4,,
9:37.0,,,6-4,,Defensive rebound by J. Sullinger
9:28.0,,,6-4,,A. Bradley misses 2-pt shot from 20 ft
9:27.0,Defensive rebound by M. Kidd-Gilchrist,,6-4,,
9:19.0,Turnover by G. Henderson (bad pass; steal by J. Sullinger),,6-4,,
9:16.0,,,6-4,,A. Bradley misses 2-pt shot at rim (block by K. Walker)
9:15.0,,,6-4,,Offensive rebound by Team
9:12.0,Personal foul by M. Kidd-Gilchrist (drawn by J. Green),,6-4,,
9:02.0,,,6-4,,A. Bradley misses 2-pt shot from 14 ft
9:01.0,Defensive rebound by M. Kidd-Gilchrist,,6-4,,
8:47.0,K. Walker makes 2-pt shot from 5 ft,2,8-4,,
8:47.0,Shooting foul by J. Sullinger (drawn by K. Walker),,8-4,,
8:47.0,K. Walker makes free throw 1 of 1,1,9-4,,
8:33.0,,,9-4,,J. Sullinger misses 2-pt shot from 5 ft (block by C. Zeller)
