time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. B. Wright (M. Morris gains possession),,,,Jump ball: R. Gobert vs. B. Wright (M. Morris gains possession)
11:39.0,,,0-2,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
11:21.0,Turnover by G. Hayward (bad pass; steal by M. Morris),,0-2,,
11:15.0,,,0-4,2,P. Tucker makes 2-pt shot from 5 ft
10:54.0,D. Favors makes 2-pt shot from 3 ft (assist by R. Hood),2,2-4,,
10:33.0,,,2-6,2,M. Morris makes 2-pt shot from 21 ft
10:08.0,,,2-6,,Violation by B. Wright (kicked ball)
10:01.0,R. Hood misses 3-pt shot from 24 ft,,2-6,,
10:00.0,,,2-6,,Defensive rebound by E. Bledsoe
9:52.0,,,2-6,,M. Morris misses 2-pt shot from 3 ft (block by D. Favors)
9:51.0,Defensive rebound by D. Favors,,2-6,,
9:41.0,D. Favors misses 2-pt shot from 20 ft,,2-6,,
9:40.0,,,2-6,,Defensive rebound by E. Bledsoe
9:18.0,,,2-6,,E. Bledsoe misses 2-pt shot from 7 ft
9:17.0,Defensive rebound by D. Favors,,2-6,,
8:58.0,D. Exum misses 2-pt shot from 1 ft (block by M. Morris),,2-6,,
8:57.0,,,2-6,,Defensive rebound by B. Wright
8:37.0,,,2-6,,E. Bledsoe misses 2-pt shot from 3 ft
8:36.0,Defensive rebound by R. Gobert,,2-6,,
8:21.0,Turnover by R. Gobert (bad pass),,2-6,,
8:07.0,,,2-6,,M. Morris misses 2-pt shot from 2 ft (block by R. Gobert)
8:06.0,Defensive rebound by R. Hood,,2-6,,
8:01.0,R. Hood makes 2-pt shot from 1 ft,2,4-6,,
7:46.0,,,4-6,,E. Bledsoe misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by R. Hood,,4-6,,
7:33.0,Turnover by D. Favors (step out of bounds),,4-6,,
7:10.0,,,4-6,,M. Morris misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by G. Hayward,,4-6,,
6:59.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,7-6,,
6:41.0,,,7-6,,B. Wright misses 2-pt shot from 4 ft
6:40.0,Defensive rebound by D. Favors,,7-6,,
6:28.0,R. Hood makes 2-pt shot from 5 ft,2,9-6,,
6:28.0,,,9-6,,Phoenix full timeout
6:28.0,,,9-6,,T. Warren enters the game for M. Morris
6:10.0,,,9-6,,P. Tucker misses 3-pt shot from 23 ft
6:09.0,Defensive rebound by R. Hood,,9-6,,
5:54.0,D. Favors misses 2-pt shot from 2 ft,,9-6,,
5:52.0,Offensive rebound by D. Exum,,9-6,,
5:49.0,G. Hayward makes 3-pt shot from 23 ft (assist by D. Exum),3,12-6,,
5:30.0,,,12-6,,Turnover by E. Bledsoe (bad pass; steal by R. Hood)
5:26.0,Shooting foul by T. Warren (drawn by R. Hood),,12-6,,
5:26.0,R. Hood makes free throw 1 of 2,1,13-6,,
5:26.0,R. Hood makes free throw 2 of 2,1,14-6,,
5:13.0,,,14-6,,M. Morris misses 2-pt shot from 20 ft
5:12.0,Defensive rebound by R. Gobert,,14-6,,
4:52.0,D. Exum makes 2-pt shot from 8 ft,2,16-6,,
4:37.0,,,16-8,2,B. Wright makes 2-pt shot from 8 ft (assist by M. Morris)
4:19.0,D. Favors misses 2-pt shot at rim,,16-8,,
4:17.0,,,16-8,,Defensive rebound by B. Wright
4:11.0,,,16-10,2,T. Warren makes 2-pt shot from 2 ft
3:53.0,D. Exum makes 2-pt shot from 4 ft,2,18-10,,
3:20.0,,,18-10,,M. Morris misses 2-pt shot from 5 ft
3:19.0,,,18-10,,Offensive rebound by E. Bledsoe
3:17.0,,,18-10,,Turnover by Team (shot clock)
3:17.0,Utah full timeout,,18-10,,
3:17.0,,,18-10,,A. Goodwin enters the game for P. Tucker
3:17.0,J. Ingles enters the game for D. Favors,,18-10,,
3:17.0,T. Booker enters the game for R. Hood,,18-10,,
3:04.0,G. Hayward misses 3-pt shot from 25 ft,,18-10,,
3:03.0,Offensive rebound by R. Gobert,,18-10,,
2:56.0,G. Hayward misses 2-pt shot from 16 ft,,18-10,,
2:56.0,,,18-10,,Defensive rebound by M. Morris
2:37.0,,,18-10,,B. Wright misses 2-pt shot from 1 ft
2:36.0,Defensive rebound by Team,,18-10,,
2:36.0,B. Cotton enters the game for D. Exum,,18-10,,
2:25.0,Turnover by G. Hayward (lost ball),,18-10,,
2:25.0,,,18-10,,M. Morris enters the game for M. Morris
2:06.0,,,18-10,,T. Warren misses 2-pt shot from 3 ft
2:05.0,Defensive rebound by G. Hayward,,18-10,,
1:58.0,G. Hayward misses 2-pt shot from 3 ft (block by B. Wright),,18-10,,
1:58.0,Offensive rebound by Team,,18-10,,
1:47.0,Turnover by R. Gobert (3 sec),,18-10,,
1:28.0,,,18-10,,B. Wright misses 2-pt shot from 3 ft
1:28.0,Defensive rebound by T. Booker,,18-10,,
1:28.0,,,18-10,,Personal foul by T. Warren (drawn by T. Booker)
