time,Toronto,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (J. Smith gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (J. Smith gains possession)
11:45.0,,,0-3,3,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by B. Jennings)
11:24.0,J. Valanciunas makes 2-pt shot from 7 ft,2,2-3,,
11:14.0,,,2-5,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
10:57.0,J. Valanciunas misses 2-pt shot from 9 ft,,2-5,,
10:56.0,Offensive rebound by A. Johnson,,2-5,,
10:54.0,A. Johnson makes 2-pt shot at rim,2,4-5,,
10:42.0,,,4-5,,J. Smith misses 2-pt shot from 7 ft
10:40.0,,,4-5,,Offensive rebound by A. Drummond
10:34.0,,,4-7,2,B. Jennings makes 2-pt shot at rim
10:34.0,,,4-7,,Shooting foul by K. Lowry (drawn by B. Jennings)
10:34.0,,,4-7,,B. Jennings misses free throw 1 of 1
10:33.0,Defensive rebound by A. Johnson,,4-7,,
10:18.0,T. Ross misses 3-pt shot from 22 ft,,4-7,,
10:17.0,Offensive rebound by A. Johnson,,4-7,,
10:11.0,A. Johnson makes 2-pt shot from 3 ft,2,6-7,,
10:02.0,,,6-7,,B. Jennings misses 2-pt shot from 15 ft
10:01.0,Defensive rebound by J. Valanciunas,,6-7,,
9:46.0,K. Lowry misses 2-pt shot from 3 ft (block by A. Drummond),,6-7,,
9:46.0,Offensive rebound by Team,,6-7,,
9:34.0,T. Ross misses 2-pt shot from 19 ft (block by J. Smith),,6-7,,
9:32.0,,,6-7,,Defensive rebound by A. Drummond
9:27.0,,,6-9,2,J. Smith makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope)
9:11.0,K. Lowry misses 2-pt shot from 16 ft (block by B. Jennings),,6-9,,
9:09.0,,,6-9,,Defensive rebound by K. Singler
9:02.0,,,6-9,,B. Jennings misses 2-pt shot from 6 ft
9:00.0,Defensive rebound by A. Johnson,,6-9,,
8:54.0,K. Lowry misses 3-pt shot from 26 ft,,6-9,,
8:53.0,Offensive rebound by L. Fields,,6-9,,
8:51.0,J. Valanciunas makes 2-pt shot at rim (assist by L. Fields),2,8-9,,
8:37.0,,,8-9,,K. Singler misses 2-pt shot at rim
8:36.0,,,8-9,,Offensive rebound by K. Singler
8:30.0,,,8-11,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by J. Smith)
8:07.0,J. Valanciunas misses 2-pt shot from 5 ft,,8-11,,
8:06.0,,,8-11,,Defensive rebound by J. Smith
8:00.0,,,8-11,,A. Drummond misses 2-pt shot at rim
7:58.0,Defensive rebound by A. Johnson,,8-11,,
7:54.0,T. Ross misses 2-pt shot from 6 ft (block by K. Singler),,8-11,,
7:54.0,Offensive rebound by T. Ross,,8-11,,
7:50.0,T. Ross misses 3-pt shot from 22 ft,,8-11,,
7:50.0,,,8-11,,Defensive rebound by A. Drummond
7:41.0,,,8-11,,K. Caldwell-Pope misses 3-pt shot from 25 ft
7:40.0,Defensive rebound by A. Johnson,,8-11,,
7:27.0,,,8-11,,Personal foul by A. Drummond (drawn by J. Valanciunas)
7:21.0,T. Ross misses 3-pt shot from 26 ft,,8-11,,
7:20.0,,,8-11,,Defensive rebound by J. Smith
7:15.0,,,8-11,,A. Drummond misses 2-pt shot at rim
7:11.0,Defensive rebound by L. Fields,,8-11,,
7:04.0,J. Valanciunas misses 2-pt shot from 9 ft,,8-11,,
7:03.0,,,8-11,,Defensive rebound by J. Smith
6:57.0,,,8-11,,J. Smith misses 2-pt shot at rim
6:54.0,,,8-11,,Offensive rebound by A. Drummond
6:53.0,,,8-13,2,A. Drummond makes 2-pt shot at rim
6:48.0,Toronto full timeout,,8-13,,
6:40.0,A. Johnson misses 2-pt shot at rim (block by A. Drummond),,8-13,,
6:39.0,,,8-13,,Defensive rebound by A. Drummond
6:30.0,,,8-15,2,B. Jennings makes 2-pt shot at rim
6:23.0,A. Johnson misses 2-pt shot at rim (block by A. Drummond),,8-15,,
6:21.0,,,8-15,,Defensive rebound by B. Jennings
6:15.0,,,8-15,,J. Smith misses 2-pt shot at rim (block by A. Johnson)
6:13.0,Defensive rebound by T. Ross,,8-15,,
6:10.0,Shooting foul by K. Caldwell-Pope (drawn by K. Lowry),,8-15,,
6:10.0,K. Lowry makes free throw 1 of 2,1,9-15,,
