time,LA Lakers,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Hill (T. Evans gains possession),,,,Jump ball: A. Davis vs. J. Hill (T. Evans gains possession)
11:44.0,,,0-0,,E. Gordon misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by W. Johnson,,0-0,,
11:23.0,W. Johnson misses 2-pt shot from 22 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by E. Gordon
11:07.0,,,0-0,,Turnover by A. Davis (lost ball)
10:50.0,E. Davis makes 2-pt shot at rim (assist by K. Bryant),2,2-0,,
10:50.0,Shooting foul by O. Asik (drawn by E. Davis),,2-0,,
10:50.0,E. Davis makes free throw 1 of 1,1,3-0,,
10:38.0,,,3-2,2,T. Evans makes 2-pt shot from 1 ft (assist by O. Asik)
10:27.0,Shooting foul by T. Evans (drawn by W. Johnson),,3-2,,
10:27.0,W. Johnson misses free throw 1 of 2,,3-2,,
10:27.0,Offensive rebound by Team,,3-2,,
10:27.0,W. Johnson makes free throw 2 of 2,1,4-2,,
10:13.0,,,4-2,,A. Davis misses 2-pt shot from 19 ft
10:11.0,,,4-2,,Offensive rebound by T. Evans
10:07.0,,,4-2,,D. Cunningham misses 2-pt shot from 2 ft (block by K. Bryant)
10:06.0,Defensive rebound by W. Johnson,,4-2,,
9:59.0,E. Davis misses 2-pt shot from 1 ft,,4-2,,
9:56.0,,,4-2,,Defensive rebound by A. Davis
9:47.0,,,4-2,,Shooting foul by E. Davis (drawn by A. Davis)
9:47.0,,,4-3,1,A. Davis makes free throw 1 of 2
9:47.0,,,4-4,1,A. Davis makes free throw 2 of 2
9:34.0,Turnover by E. Davis (lost ball),,4-4,,
9:20.0,,,4-4,,A. Davis misses 2-pt shot at rim
9:18.0,Defensive rebound by K. Bryant,,4-4,,
9:08.0,E. Davis misses 2-pt shot from 1 ft,,4-4,,
9:06.0,,,4-4,,Defensive rebound by O. Asik
9:01.0,,,4-4,,T. Evans misses 2-pt shot from 1 ft
8:59.0,,,4-4,,Offensive rebound by T. Evans
8:57.0,,,4-6,2,T. Evans makes 2-pt shot from 1 ft
8:36.0,J. Hill misses 2-pt shot from 21 ft,,4-6,,
8:36.0,,,4-6,,Defensive rebound by Team
8:23.0,Personal foul by W. Johnson (drawn by E. Gordon),,4-6,,
8:08.0,,,4-6,,A. Davis misses 2-pt shot from 16 ft
8:08.0,Jump ball: A. Davis vs. E. Davis (T. Evans gains possession),,,,Jump ball: A. Davis vs. E. Davis (T. Evans gains possession)
8:08.0,,,4-6,,Offensive rebound by Team
7:52.0,,,4-9,3,E. Gordon makes 3-pt shot from 23 ft (assist by A. Davis)
7:25.0,K. Bryant makes 2-pt shot from 20 ft,2,6-9,,
6:59.0,,,6-9,,E. Gordon misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by K. Bryant,,6-9,,
6:54.0,W. Johnson misses 2-pt shot at rim,,6-9,,
6:52.0,,,6-9,,Defensive rebound by D. Cunningham
6:40.0,,,6-9,,D. Cunningham misses 2-pt shot from 16 ft
6:39.0,Defensive rebound by J. Hill,,6-9,,
6:32.0,Shooting foul by D. Cunningham (drawn by J. Hill),,6-9,,
6:32.0,J. Hill makes free throw 1 of 2,1,7-9,,
6:32.0,J. Hill misses free throw 2 of 2,,7-9,,
6:31.0,,,7-9,,Defensive rebound by O. Asik
6:13.0,,,7-11,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
5:51.0,K. Bryant misses 2-pt shot from 20 ft,,7-11,,
5:49.0,,,7-11,,Defensive rebound by E. Gordon
5:40.0,,,7-11,,E. Gordon misses 2-pt shot from 4 ft
5:39.0,Defensive rebound by K. Bryant,,7-11,,
5:39.0,,,7-11,,New Orleans full timeout
5:17.0,Turnover by Team (shot clock),,7-11,,
5:01.0,,,7-13,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
4:47.0,J. Hill makes 2-pt shot at rim (assist by E. Davis),2,9-13,,
4:27.0,,,9-13,,A. Davis misses 2-pt shot from 5 ft (block by E. Davis)
4:27.0,Defensive rebound by Team,,9-13,,
4:27.0,C. Boozer enters the game for E. Davis,,9-13,,
4:27.0,,,9-13,,N. Wolters enters the game for T. Evans
4:27.0,,,9-13,,Q. Pondexter enters the game for D. Cunningham
4:15.0,Shooting foul by E. Gordon (drawn by W. Johnson),,9-13,,
4:15.0,W. Johnson makes free throw 1 of 2,1,10-13,,
4:15.0,,,10-13,,R. Anderson enters the game for O. Asik
4:15.0,W. Johnson makes free throw 2 of 2,1,11-13,,
3:55.0,,,11-15,2,N. Wolters makes 2-pt shot from 1 ft (assist by E. Gordon)
3:40.0,Shooting foul by N. Wolters (drawn by R. Price),,11-15,,
3:40.0,R. Price makes free throw 1 of 2,1,12-15,,
3:40.0,R. Price makes free throw 2 of 2,1,13-15,,
3:34.0,Personal foul by R. Price (drawn by N. Wolters),,13-15,,
3:34.0,J. Lin enters the game for R. Price,,13-15,,
3:28.0,,,13-17,2,E. Gordon makes 2-pt shot from 2 ft
3:13.0,K. Bryant misses 3-pt shot from 24 ft,,13-17,,
3:12.0,,,13-17,,Defensive rebound by N. Wolters
3:08.0,Loose ball foul by J. Hill (drawn by A. Davis),,13-17,,
2:58.0,,,13-17,,E. Gordon misses 2-pt shot from 4 ft
2:57.0,Defensive rebound by J. Hill,,13-17,,
2:46.0,Offensive foul by K. Bryant,,13-17,,
2:46.0,Turnover by K. Bryant (offensive foul),,13-17,,
2:46.0,LA Lakers full timeout,,13-17,,
2:46.0,N. Young enters the game for W. Johnson,,13-17,,
