time,Phoenix,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession),,,,Jump ball: M. Gasol vs. A. Len (M. Conley gains possession)
11:40.0,Personal foul by A. Len (drawn by M. Gasol),,0-0,,
11:34.0,,,0-0,,M. Conley misses 2-pt shot from 13 ft
11:33.0,Defensive rebound by M. Morris,,0-0,,
11:10.0,M. Morris makes 2-pt shot from 20 ft,2,2-0,,
10:51.0,,,2-2,2,Z. Randolph makes 2-pt shot from 13 ft (assist by M. Conley)
10:26.0,E. Bledsoe misses 3-pt shot from 24 ft,,2-2,,
10:26.0,,,2-2,,Defensive rebound by M. Gasol
10:19.0,,,2-4,2,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen)
9:59.0,M. Morris misses 2-pt shot from 19 ft,,2-4,,
9:58.0,Offensive rebound by A. Len,,2-4,,
9:56.0,P. Tucker misses 3-pt shot from 25 ft,,2-4,,
9:53.0,,,2-4,,Defensive rebound by M. Conley
9:47.0,,,2-6,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley)
9:25.0,A. Len makes 2-pt shot from 1 ft,2,4-6,,
9:09.0,,,4-6,,T. Allen misses 2-pt shot from 2 ft
9:09.0,Defensive rebound by A. Len,,4-6,,
8:45.0,E. Bledsoe misses 2-pt shot from 18 ft,,4-6,,
8:44.0,,,4-6,,Defensive rebound by M. Gasol
8:32.0,,,4-6,,Z. Randolph misses 2-pt shot from 3 ft
8:31.0,,,4-6,,Offensive rebound by Z. Randolph
8:29.0,,,4-8,2,Z. Randolph makes 2-pt shot from 1 ft
8:18.0,G. Dragic misses 2-pt shot from 14 ft,,4-8,,
8:16.0,,,4-8,,Defensive rebound by Z. Randolph
8:11.0,Personal foul by M. Morris (drawn by Z. Randolph),,4-8,,
8:04.0,,,4-10,2,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley)
7:38.0,E. Bledsoe misses 2-pt shot from 13 ft,,4-10,,
7:37.0,Offensive rebound by Team,,4-10,,
7:21.0,,,4-10,,Personal foul by C. Lee (drawn by P. Tucker)
7:17.0,Turnover by M. Morris (traveling),,4-10,,
7:03.0,,,4-10,,M. Gasol misses 2-pt shot from 11 ft
7:02.0,Defensive rebound by P. Tucker,,4-10,,
6:55.0,M. Morris misses 2-pt shot from 6 ft (block by Z. Randolph),,4-10,,
