time,Detroit,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (B. Jennings gains possession)
11:36.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Harris
11:22.0,,,0-2,2,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic)
11:22.0,,,0-2,,Shooting foul by K. Singler (drawn by T. Harris)
11:22.0,,,0-3,1,T. Harris makes free throw 1 of 1
11:00.0,G. Monroe misses 2-pt shot from 18 ft,,0-3,,
11:00.0,,,0-3,,Defensive rebound by T. Harris
10:49.0,,,0-5,2,N. Vucevic makes 2-pt shot from 13 ft (assist by T. Harris)
10:32.0,B. Jennings misses 3-pt shot from 26 ft,,0-5,,
10:32.0,Offensive rebound by G. Monroe,,0-5,,
10:31.0,G. Monroe makes 2-pt shot at rim,2,2-5,,
10:16.0,,,2-5,,Turnover by E. Payton (lost ball; steal by A. Drummond)
10:14.0,Shooting foul by V. Oladipo (drawn by A. Drummond),,2-5,,
10:14.0,A. Drummond misses free throw 1 of 2,,2-5,,
10:14.0,Offensive rebound by Team,,2-5,,
10:14.0,A. Drummond misses free throw 2 of 2,,2-5,,
10:13.0,,,2-5,,Defensive rebound by K. O'Quinn
9:52.0,,,2-5,,V. Oladipo misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by A. Drummond,,2-5,,
9:45.0,K. Singler misses 3-pt shot from 24 ft,,2-5,,
9:45.0,,,2-5,,Defensive rebound by T. Harris
9:38.0,,,2-5,,T. Harris misses 2-pt shot from 1 ft (block by A. Drummond)
9:36.0,Defensive rebound by K. Caldwell-Pope,,2-5,,
9:31.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,2-5,,
9:31.0,,,2-5,,Defensive rebound by T. Harris
9:11.0,,,2-7,2,V. Oladipo makes 2-pt shot from 2 ft
8:53.0,G. Monroe misses 2-pt shot from 4 ft (block by K. O'Quinn),,2-7,,
8:52.0,Offensive rebound by G. Monroe,,2-7,,
8:48.0,G. Monroe makes 2-pt shot from 4 ft,2,4-7,,
8:34.0,,,4-9,2,N. Vucevic makes 2-pt shot from 14 ft (assist by V. Oladipo)
8:21.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,4-9,,
8:20.0,,,4-9,,Defensive rebound by N. Vucevic
8:12.0,,,4-9,,Turnover by V. Oladipo (lost ball; steal by G. Monroe)
7:56.0,K. Singler makes 3-pt shot from 25 ft (assist by B. Jennings),3,7-9,,
7:40.0,,,7-9,,Turnover by V. Oladipo (bad pass)
7:22.0,Shooting foul by V. Oladipo (drawn by A. Drummond),,7-9,,
7:22.0,A. Drummond makes free throw 1 of 2,1,8-9,,
7:22.0,A. Drummond misses free throw 2 of 2,,8-9,,
7:21.0,,,8-9,,Defensive rebound by T. Harris
7:04.0,,,8-9,,T. Harris misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by A. Drummond,,8-9,,
6:56.0,B. Jennings makes 2-pt shot from 8 ft,2,10-9,,
6:30.0,,,10-11,2,V. Oladipo makes 2-pt shot from 1 ft
6:20.0,Turnover by B. Jennings (lost ball; steal by T. Harris),,10-11,,
6:13.0,,,10-13,2,E. Payton makes 2-pt shot from 4 ft (assist by T. Harris)
5:55.0,,,10-13,,Orlando full timeout
5:55.0,J. Jerebko enters the game for A. Drummond,,10-13,,
5:47.0,J. Jerebko misses 2-pt shot from 20 ft,,10-13,,
5:47.0,,,10-13,,Defensive rebound by V. Oladipo
5:21.0,,,10-13,,V. Oladipo misses 3-pt shot from 23 ft
5:21.0,Defensive rebound by G. Monroe,,10-13,,
5:03.0,B. Jennings misses 2-pt shot from 20 ft,,10-13,,
5:02.0,Offensive rebound by G. Monroe,,10-13,,
4:59.0,G. Monroe makes 2-pt shot at rim,2,12-13,,
4:43.0,,,12-13,,Shooting foul by K. Singler (drawn by T. Harris)
4:43.0,,,12-13,,T. Harris misses free throw 1 of 2
4:43.0,,,12-13,,Offensive rebound by Team
4:43.0,C. Butler enters the game for K. Singler,,12-13,,
4:43.0,,,12-13,,C. Frye enters the game for K. O'Quinn
4:43.0,,,12-13,,E. Fournier enters the game for V. Oladipo
4:43.0,,,12-14,1,T. Harris makes free throw 2 of 2
4:32.0,B. Jennings misses 2-pt shot from 1 ft,,12-14,,
4:32.0,,,12-14,,Defensive rebound by N. Vucevic
4:24.0,,,12-14,,C. Frye misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by G. Monroe,,12-14,,
4:12.0,B. Jennings misses 2-pt shot from 1 ft,,12-14,,
4:12.0,,,12-14,,Defensive rebound by N. Vucevic
4:02.0,,,12-16,2,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Payton)
3:51.0,G. Monroe misses 2-pt shot from 1 ft (block by C. Frye),,12-16,,
3:51.0,,,12-16,,Defensive rebound by Team
3:51.0,,,12-16,,D. Dedmon enters the game for N. Vucevic
3:28.0,,,12-18,2,E. Payton makes 2-pt shot from 10 ft
3:06.0,Turnover by G. Monroe (lost ball; steal by D. Dedmon),,12-18,,
2:56.0,,,12-18,,Offensive foul by C. Frye
2:56.0,,,12-18,,Turnover by C. Frye (offensive foul)
2:56.0,Detroit full timeout,,12-18,,
2:56.0,D. Augustin enters the game for K. Caldwell-Pope,,12-18,,
2:56.0,J. Meeks enters the game for B. Jennings,,12-18,,
2:56.0,A. Drummond enters the game for G. Monroe,,12-18,,
2:41.0,C. Butler makes 3-pt shot from 25 ft (assist by J. Jerebko),3,15-18,,
2:26.0,,,15-18,,C. Frye misses 2-pt shot from 21 ft
2:25.0,Defensive rebound by C. Butler,,15-18,,
2:16.0,Shooting foul by D. Dedmon (drawn by A. Drummond),,15-18,,
2:16.0,A. Drummond makes free throw 1 of 2,1,16-18,,
2:16.0,,,16-18,,B. Gordon enters the game for T. Harris
2:16.0,,,16-18,,V. Oladipo enters the game for E. Payton
2:16.0,A. Drummond misses free throw 2 of 2,,16-18,,
2:14.0,,,16-18,,Defensive rebound by D. Dedmon
1:55.0,,,16-18,,B. Gordon misses 2-pt shot from 16 ft
1:54.0,Defensive rebound by J. Jerebko,,16-18,,
1:48.0,D. Augustin makes 2-pt shot at rim,2,18-18,,
1:26.0,,,18-21,3,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Fournier)
1:04.0,A. Drummond misses 2-pt shot from 1 ft,,18-21,,
1:03.0,Offensive rebound by A. Drummond,,18-21,,
1:03.0,A. Drummond makes 2-pt shot from 1 ft,2,20-21,,
0:52.0,,,20-21,,Turnover by E. Fournier (lost ball; steal by C. Butler)
