time,Utah,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Lauvergne (T. Lawson gains possession),,,,Jump ball: R. Gobert vs. J. Lauvergne (T. Lawson gains possession)
11:42.0,,,0-0,,Shooting foul by G. Hayward (drawn by D. Gallinari)
11:42.0,,,0-0,,D. Gallinari misses free throw 1 of 2
11:42.0,,,0-0,,Offensive rebound by Team
11:42.0,,,0-1,1,D. Gallinari makes free throw 2 of 2
11:21.0,D. Favors misses 2-pt shot from 16 ft,,0-1,,
11:20.0,,,0-1,,Defensive rebound by G. Harris
11:10.0,,,0-1,,J. Lauvergne misses 2-pt shot from 4 ft
11:08.0,Defensive rebound by D. Favors,,0-1,,
10:56.0,J. Ingles misses 3-pt shot from 23 ft,,0-1,,
10:54.0,,,0-1,,Defensive rebound by J. Lauvergne
10:46.0,,,0-1,,J. Lauvergne misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by R. Gobert,,0-1,,
10:24.0,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward),3,3-1,,
10:08.0,,,3-1,,D. Gallinari misses 3-pt shot from 25 ft
10:06.0,Defensive rebound by R. Gobert,,3-1,,
9:55.0,D. Favors makes 2-pt shot from 1 ft (assist by J. Ingles),2,5-1,,
9:36.0,,,5-1,,D. Gallinari misses 2-pt shot from 4 ft (block by R. Gobert)
9:34.0,Defensive rebound by D. Exum,,5-1,,
9:25.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,7-1,,
9:05.0,,,7-1,,Shooting foul by D. Favors (drawn by J. Hickson)
9:05.0,,,7-1,,J. Hickson misses free throw 1 of 2
9:05.0,,,7-1,,Offensive rebound by Team
9:05.0,,,7-1,,J. Hickson misses free throw 2 of 2
9:03.0,Defensive rebound by G. Hayward,,7-1,,
8:51.0,G. Hayward misses 3-pt shot from 23 ft,,7-1,,
8:50.0,,,7-1,,Defensive rebound by J. Hickson
8:42.0,,,7-3,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by T. Lawson)
8:27.0,Shooting foul by J. Hickson (drawn by R. Gobert),,7-3,,
8:27.0,R. Gobert makes free throw 1 of 2,1,8-3,,
8:27.0,R. Gobert makes free throw 2 of 2,1,9-3,,
8:12.0,,,9-3,,T. Lawson misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by G. Hayward,,9-3,,
7:59.0,Turnover by G. Hayward (lost ball; steal by D. Gallinari),,9-3,,
7:57.0,Personal foul by J. Ingles (drawn by D. Gallinari),,9-3,,
7:47.0,,,9-3,,D. Gallinari misses 2-pt shot from 8 ft
7:46.0,Defensive rebound by D. Favors,,9-3,,
7:40.0,G. Hayward makes 3-pt shot from 24 ft,3,12-3,,
7:29.0,,,12-3,,Turnover by J. Lauvergne (lost ball; steal by J. Ingles)
7:26.0,,,12-3,,Violation by J. Lauvergne (def goaltending)
