time,Philadelphia,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. N. Noel (K. Love gains possession),,,,Jump ball: T. Mozgov vs. N. Noel (K. Love gains possession)
11:42.0,,,0-0,,Turnover by L. James (bad pass; steal by R. Covington)
11:33.0,Turnover by J. Sampson (step out of bounds),,0-0,,
11:18.0,,,0-0,,K. Love misses 2-pt shot from 7 ft
11:17.0,Defensive rebound by R. Covington,,0-0,,
11:08.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,0-0,,
11:06.0,Offensive rebound by R. Covington,,0-0,,
10:57.0,M. Carter-Williams misses 3-pt shot from 25 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by K. Love
10:47.0,,,0-3,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
10:26.0,N. Noel misses 2-pt shot from 14 ft,,0-3,,
10:25.0,,,0-3,,Defensive rebound by K. Love
10:20.0,,,0-3,,T. Mozgov misses 2-pt shot from 3 ft (block by N. Noel)
10:20.0,,,0-3,,Offensive rebound by Team
10:17.0,,,0-5,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
10:16.0,Philadelphia full timeout,,0-5,,
9:59.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by T. Mozgov),,0-5,,
9:57.0,,,0-5,,Defensive rebound by T. Mozgov
9:54.0,,,0-8,3,L. James makes 3-pt shot from 25 ft (assist by K. Irving)
9:36.0,Turnover by R. Covington (bad pass; steal by T. Mozgov),,0-8,,
9:29.0,,,0-8,,L. James misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by M. Carter-Williams,,0-8,,
9:21.0,Turnover by M. Carter-Williams (bad pass; steal by L. James),,0-8,,
9:14.0,,,0-8,,K. Love misses 2-pt shot at rim (block by N. Noel)
9:12.0,Defensive rebound by M. Carter-Williams,,0-8,,
8:59.0,N. Noel makes 2-pt shot from 6 ft (assist by L. Mbah a Moute),2,2-8,,
8:33.0,,,2-10,2,J. Smith makes 2-pt shot from 21 ft
8:19.0,L. Mbah a Moute misses 3-pt shot from 26 ft,,2-10,,
8:18.0,,,2-10,,Defensive rebound by J. Smith
8:05.0,,,2-10,,Turnover by L. James (lost ball; steal by M. Carter-Williams)
7:59.0,J. Sampson makes 2-pt shot from 1 ft (assist by R. Covington),2,4-10,,
7:40.0,,,4-10,,Shooting foul by J. Sampson (drawn by L. James)
7:40.0,,,4-11,1,L. James makes free throw 1 of 2
7:40.0,,,4-12,1,L. James makes free throw 2 of 2
7:30.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,4-12,,
7:29.0,,,4-12,,Defensive rebound by T. Mozgov
7:18.0,,,4-12,,K. Love misses 2-pt shot from 9 ft
7:16.0,,,4-12,,Offensive rebound by K. Love
7:09.0,,,4-14,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:54.0,Offensive charge foul by N. Noel,,4-14,,
