time,Houston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. A. Drummond (D. Motiejunas gains possession),,,,Jump ball: J. Dorsey vs. A. Drummond (D. Motiejunas gains possession)
11:42.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,3-0,,
11:25.0,,,3-2,2,A. Drummond makes 2-pt shot from 5 ft (assist by K. Caldwell-Pope)
11:14.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden),2,5-2,,
10:47.0,,,5-5,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by D. Augustin)
10:26.0,P. Beverley misses 3-pt shot from 26 ft,,5-5,,
10:25.0,Offensive rebound by D. Motiejunas,,5-5,,
10:24.0,Turnover by D. Motiejunas (bad pass; steal by A. Drummond),,5-5,,
10:14.0,Personal foul by T. Ariza (drawn by K. Singler),,5-5,,
10:08.0,Personal foul by D. Motiejunas (drawn by G. Monroe),,5-5,,
9:55.0,,,5-7,2,G. Monroe makes 2-pt shot from 5 ft
9:44.0,T. Ariza makes 2-pt shot from 14 ft (assist by J. Harden),2,7-7,,
9:28.0,,,7-9,2,K. Singler makes 2-pt shot from 19 ft (assist by K. Caldwell-Pope)
9:12.0,T. Ariza makes 2-pt shot at rim (assist by D. Motiejunas),2,9-9,,
8:58.0,,,9-9,,K. Caldwell-Pope misses 2-pt shot from 15 ft
8:57.0,,,9-9,,Offensive rebound by A. Drummond
8:53.0,,,9-9,,A. Drummond misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by J. Dorsey,,9-9,,
8:42.0,D. Motiejunas misses 3-pt shot from 23 ft,,9-9,,
8:40.0,,,9-9,,Defensive rebound by A. Drummond
8:31.0,,,9-9,,Shooting foul by D. Motiejunas (drawn by G. Monroe)
8:31.0,,,9-10,1,G. Monroe makes free throw 1 of 2
8:31.0,J. Smith enters the game for D. Motiejunas,,9-10,,
