time,Denver,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. D. Jordan (C. Paul gains possession),,,,Jump ball: K. Faried vs. D. Jordan (C. Paul gains possession)
11:45.0,,,0-2,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
11:27.0,W. Chandler misses 3-pt shot from 27 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by C. Paul
11:10.0,,,0-2,,C. Paul misses 2-pt shot from 18 ft
11:09.0,Defensive rebound by K. Faried,,0-2,,
10:57.0,G. Harris misses 3-pt shot from 26 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by B. Griffin
10:47.0,,,0-2,,J. Redick misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by W. Chandler,,0-2,,
10:39.0,W. Chandler makes 2-pt shot from 1 ft,2,2-2,,
10:17.0,,,2-2,,J. Redick misses 2-pt shot from 21 ft
10:16.0,Defensive rebound by W. Chandler,,2-2,,
10:07.0,R. Foye misses 2-pt shot from 20 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by M. Barnes
10:02.0,,,2-2,,Turnover by M. Barnes (lost ball; steal by G. Harris)
9:55.0,E. Green misses 2-pt shot from 17 ft,,2-2,,
9:55.0,Offensive rebound by K. Faried,,2-2,,
9:55.0,K. Faried makes 2-pt shot from 2 ft,2,4-2,,
9:55.0,Shooting foul by D. Jordan (drawn by K. Faried),,4-2,,
9:55.0,K. Faried makes free throw 1 of 1,1,5-2,,
9:40.0,,,5-5,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Jordan)
9:24.0,G. Harris makes 3-pt shot from 23 ft (assist by R. Foye),3,8-5,,
9:13.0,,,8-7,2,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul)
9:04.0,K. Faried misses 2-pt shot from 2 ft,,8-7,,
9:02.0,,,8-7,,Defensive rebound by D. Jordan
8:55.0,,,8-7,,B. Griffin misses 2-pt shot from 10 ft
8:53.0,Defensive rebound by K. Faried,,8-7,,
8:47.0,R. Foye misses 3-pt shot from 22 ft,,8-7,,
8:45.0,,,8-7,,Defensive rebound by D. Jordan
8:38.0,,,8-7,,Turnover by B. Griffin (lost ball; steal by W. Chandler)
8:32.0,W. Chandler makes 2-pt shot from 2 ft,2,10-7,,
8:26.0,,,10-9,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Barnes)
8:03.0,E. Green misses 2-pt shot from 9 ft,,10-9,,
8:00.0,,,10-9,,Defensive rebound by D. Jordan
7:48.0,,,10-9,,B. Griffin misses 2-pt shot from 19 ft
7:47.0,,,10-9,,Offensive rebound by C. Paul
7:37.0,,,10-11,2,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan)
7:24.0,R. Foye makes 2-pt shot from 3 ft,2,12-11,,
7:09.0,,,12-14,3,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul)
6:55.0,W. Chandler misses 3-pt shot from 27 ft,,12-14,,
6:53.0,Offensive rebound by K. Faried,,12-14,,
6:50.0,K. Faried makes 2-pt shot from 8 ft,2,14-14,,
6:44.0,,,14-14,,Turnover by J. Redick (lost ball)
6:30.0,W. Chandler misses 3-pt shot from 26 ft,,14-14,,
6:29.0,,,14-14,,Defensive rebound by D. Jordan
6:16.0,,,14-17,3,J. Redick makes 3-pt shot from 23 ft (assist by B. Griffin)
5:53.0,G. Harris makes 2-pt shot from 19 ft (assist by E. Green),2,16-17,,
5:40.0,,,16-17,,Turnover by D. Jordan (lost ball; steal by K. Faried)
5:34.0,Turnover by E. Green (lost ball; steal by C. Paul),,16-17,,
5:30.0,,,16-19,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
5:18.0,Denver full timeout,,16-19,,
