time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession)
11:43.0,,,0-0,,Personal foul by P. Millsap (drawn by N. Hilario)
11:38.0,Turnover by B. Beal (lost ball),,0-0,,
11:21.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by P. Millsap)
11:06.0,P. Pierce makes 2-pt shot from 15 ft,2,2-2,,
10:49.0,,,2-2,,A. Horford misses 2-pt shot from 17 ft
10:48.0,Defensive rebound by B. Beal,,2-2,,
10:42.0,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall),3,5-2,,
10:25.0,,,5-5,3,D. Carroll makes 3-pt shot from 25 ft (assist by P. Millsap)
10:12.0,B. Beal misses 2-pt shot from 23 ft,,5-5,,
10:10.0,,,5-5,,Defensive rebound by A. Horford
9:55.0,,,5-5,,Turnover by P. Millsap (step out of bounds)
9:39.0,P. Pierce makes 2-pt shot from 3 ft (assist by J. Wall),2,7-5,,
9:26.0,,,7-7,2,K. Korver makes 2-pt shot from 17 ft (assist by J. Teague)
9:18.0,J. Wall makes 2-pt shot at rim,2,9-7,,
9:08.0,Personal foul by N. Hilario (drawn by P. Millsap),,9-7,,
8:59.0,,,9-9,2,A. Horford makes 2-pt shot from 3 ft (assist by P. Millsap)
8:47.0,P. Pierce misses 3-pt shot from 24 ft,,9-9,,
8:46.0,,,9-9,,Defensive rebound by P. Millsap
8:35.0,,,9-9,,Turnover by P. Millsap (traveling)
8:24.0,N. Hilario misses 2-pt shot from 20 ft,,9-9,,
8:22.0,,,9-9,,Defensive rebound by J. Teague
8:18.0,,,9-11,2,D. Carroll makes 2-pt shot from 2 ft (assist by J. Teague)
8:18.0,,,9-11,,Shooting foul by P. Pierce (drawn by D. Carroll)
8:18.0,,,9-11,,D. Carroll misses free throw 1 of 1
8:17.0,Defensive rebound by M. Gortat,,9-11,,
8:03.0,Turnover by N. Hilario (lost ball; steal by A. Horford),,9-11,,
7:51.0,,,9-11,,J. Teague misses 2-pt shot from 16 ft
7:49.0,Defensive rebound by M. Gortat,,9-11,,
7:38.0,J. Wall misses 2-pt shot from 18 ft,,9-11,,
7:36.0,,,9-11,,Defensive rebound by P. Millsap
7:25.0,,,9-14,3,D. Carroll makes 3-pt shot from 23 ft (assist by A. Horford)
7:09.0,P. Pierce misses 3-pt shot from 25 ft,,9-14,,
7:08.0,,,9-14,,Defensive rebound by A. Horford
6:57.0,,,9-16,2,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford)
6:52.0,Washington full timeout,,9-16,,
6:52.0,,,9-16,,P. Antic enters the game for P. Millsap
6:39.0,,,9-16,,Personal foul by A. Horford (drawn by P. Pierce)
6:36.0,B. Beal misses 2-pt shot from 2 ft,,9-16,,
6:34.0,,,9-16,,Defensive rebound by P. Antic
6:18.0,,,9-16,,A. Horford misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by P. Pierce,,9-16,,
6:10.0,B. Beal makes 3-pt shot from 23 ft (assist by J. Wall),3,12-16,,
6:00.0,,,12-18,2,J. Teague makes 2-pt shot from 19 ft
5:46.0,P. Pierce misses 2-pt shot from 12 ft,,12-18,,
5:45.0,,,12-18,,Defensive rebound by K. Korver
5:41.0,,,12-18,,Shooting foul by P. Pierce (drawn by D. Carroll)
5:41.0,,,12-19,1,D. Carroll makes free throw 1 of 2
5:41.0,D. Gooden enters the game for N. Hilario,,12-19,,
5:41.0,O. Porter enters the game for P. Pierce,,12-19,,
5:41.0,,,12-19,,P. Millsap enters the game for A. Horford
5:41.0,,,12-19,,K. Bazemore enters the game for K. Korver
5:41.0,,,12-20,1,D. Carroll makes free throw 2 of 2
5:20.0,O. Porter makes 2-pt shot from 14 ft,2,14-20,,
5:13.0,,,14-20,,J. Teague misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by D. Gooden,,14-20,,
5:05.0,D. Gooden makes 3-pt shot from 25 ft (assist by B. Beal),3,17-20,,
