time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Valanciunas (K. Singler gains possession),,,,Jump ball: A. Drummond vs. J. Valanciunas (K. Singler gains possession)
11:47.0,B. Jennings makes 2-pt shot from 7 ft,2,2-0,,
11:28.0,,,2-0,,J. Valanciunas misses 2-pt shot from 10 ft
11:27.0,Defensive rebound by G. Monroe,,2-0,,
11:21.0,K. Singler misses 2-pt shot from 17 ft,,2-0,,
11:20.0,,,2-0,,Defensive rebound by J. Valanciunas
11:11.0,,,2-0,,A. Johnson misses 2-pt shot from 3 ft
11:10.0,,,2-0,,Offensive rebound by J. Valanciunas
11:07.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 2 ft
10:57.0,Turnover by B. Jennings (bad pass; steal by K. Lowry),,2-2,,
10:45.0,,,2-4,2,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson)
10:37.0,Detroit full timeout,,2-4,,
10:29.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by B. Jennings),2,4-4,,
10:14.0,,,4-6,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by A. Johnson)
9:57.0,Turnover by B. Jennings (bad pass; steal by A. Johnson),,4-6,,
9:50.0,,,4-6,,T. Ross misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by K. Singler,,4-6,,
9:41.0,,,4-6,,Personal foul by K. Lowry
9:24.0,B. Jennings misses 2-pt shot from 1 ft,,4-6,,
9:23.0,,,4-6,,Defensive rebound by K. Lowry
9:16.0,,,4-8,2,A. Johnson makes 2-pt shot from 1 ft (assist by J. Johnson)
9:04.0,B. Jennings makes 2-pt shot from 6 ft,2,6-8,,
8:56.0,,,6-10,2,A. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
8:43.0,B. Jennings misses 2-pt shot at rim,,6-10,,
8:42.0,,,6-10,,Defensive rebound by J. Valanciunas
8:36.0,,,6-12,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
8:19.0,B. Jennings makes 2-pt shot from 3 ft (assist by A. Drummond),2,8-12,,
8:04.0,Personal foul by A. Drummond (drawn by J. Valanciunas),,8-12,,
8:04.0,J. Meeks enters the game for K. Caldwell-Pope,,8-12,,
8:04.0,J. Jerebko enters the game for A. Drummond,,8-12,,
7:57.0,,,8-14,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry)
7:41.0,Shooting foul by J. Valanciunas (drawn by G. Monroe),,8-14,,
7:41.0,G. Monroe misses free throw 1 of 2,,8-14,,
7:41.0,Offensive rebound by Team,,8-14,,
7:41.0,G. Monroe misses free throw 2 of 2,,8-14,,
7:40.0,,,8-14,,Defensive rebound by J. Valanciunas
7:19.0,,,8-16,2,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry)
7:02.0,G. Monroe misses 2-pt shot from 1 ft,,8-16,,
7:00.0,Offensive rebound by G. Monroe,,8-16,,
6:59.0,G. Monroe makes 2-pt shot at rim,2,10-16,,
6:48.0,,,10-18,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
6:31.0,G. Monroe makes 2-pt shot from 4 ft,2,12-18,,
6:20.0,,,12-20,2,T. Ross makes 2-pt shot at rim (assist by K. Lowry)
6:05.0,G. Monroe misses 2-pt shot from 3 ft (block by T. Ross),,12-20,,
6:03.0,,,12-20,,Defensive rebound by J. Valanciunas
5:55.0,,,12-22,2,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry)
5:49.0,Detroit full timeout,,12-22,,
5:49.0,C. Butler enters the game for K. Singler,,12-22,,
5:49.0,J. Anthony enters the game for G. Monroe,,12-22,,
5:49.0,D. Augustin enters the game for B. Jennings,,12-22,,
5:42.0,J. Meeks misses 2-pt shot from 16 ft,,12-22,,
5:41.0,,,12-22,,Defensive rebound by A. Johnson
5:36.0,,,12-24,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
5:18.0,J. Meeks misses 2-pt shot from 19 ft,,12-24,,
5:17.0,,,12-24,,Defensive rebound by J. Johnson
5:12.0,,,12-24,,A. Johnson misses 2-pt shot from 1 ft
5:11.0,Defensive rebound by J. Anthony,,12-24,,
4:53.0,J. Anthony misses 2-pt shot from 6 ft,,12-24,,
4:53.0,,,12-24,,Defensive rebound by J. Valanciunas
4:48.0,,,12-24,,Turnover by K. Lowry (bad pass; steal by J. Jerebko)
4:43.0,C. Butler misses 3-pt shot from 25 ft,,12-24,,
4:42.0,Offensive rebound by J. Anthony,,12-24,,
4:37.0,J. Anthony makes 2-pt shot from 4 ft,2,14-24,,
4:16.0,,,14-24,,Turnover by J. Valanciunas (lost ball; steal by D. Augustin)
4:09.0,,,14-24,,Shooting block foul by T. Ross (drawn by D. Augustin)
4:09.0,D. Augustin makes free throw 1 of 2,1,15-24,,
4:09.0,D. Augustin makes free throw 2 of 2,1,16-24,,
4:06.0,,,16-24,,Toronto full timeout
4:06.0,,,16-24,,P. Patterson enters the game for J. Valanciunas
3:59.0,,,16-24,,P. Patterson misses 3-pt shot from 26 ft
3:58.0,Defensive rebound by D. Augustin,,16-24,,
3:53.0,D. Augustin misses 2-pt shot from 5 ft (block by J. Johnson),,16-24,,
3:51.0,,,16-24,,Defensive rebound by K. Lowry
3:47.0,,,16-24,,K. Lowry misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by J. Jerebko,,16-24,,
3:42.0,Turnover by D. Augustin (bad pass),,16-24,,
3:32.0,,,16-27,3,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry)
3:07.0,J. Jerebko makes 2-pt shot from 7 ft (assist by D. Augustin),2,18-27,,
3:01.0,,,18-27,,P. Patterson misses 2-pt shot at rim
3:00.0,Defensive rebound by J. Jerebko,,18-27,,
2:54.0,Offensive foul by D. Augustin,,18-27,,
2:54.0,Turnover by D. Augustin (offensive foul),,18-27,,
2:54.0,,,18-27,,L. Williams enters the game for J. Johnson
2:32.0,,,18-27,,L. Williams misses 2-pt shot from 13 ft (block by J. Anthony)
2:30.0,Defensive rebound by J. Meeks,,18-27,,
2:24.0,D. Augustin misses 2-pt shot from 2 ft,,18-27,,
2:23.0,,,18-27,,Defensive rebound by A. Johnson
2:11.0,,,18-27,,Turnover by K. Lowry (bad pass; steal by C. Butler)
2:06.0,J. Meeks makes 2-pt shot from 2 ft (assist by C. Butler),2,20-27,,
1:45.0,,,20-30,3,T. Ross makes 3-pt shot from 25 ft
1:26.0,J. Meeks misses 2-pt shot from 16 ft,,20-30,,
1:25.0,,,20-30,,Defensive rebound by A. Johnson
1:19.0,,,20-30,,Turnover by K. Lowry (bad pass; steal by J. Anthony)
1:07.0,D. Augustin misses 2-pt shot from 6 ft,,20-30,,
1:06.0,,,20-30,,Defensive rebound by K. Lowry
0:54.0,,,20-30,,Turnover by L. Williams (bad pass)
0:54.0,,,20-30,,G. Vasquez enters the game for K. Lowry
0:39.0,J. Meeks misses 3-pt shot from 25 ft,,20-30,,
0:38.0,,,20-30,,Defensive rebound by A. Johnson
0:31.0,,,20-30,,T. Ross misses 3-pt shot from 29 ft
0:30.0,Defensive rebound by J. Meeks,,20-30,,
0:06.0,J. Anthony misses 2-pt shot from 4 ft (block by A. Johnson),,20-30,,
0:04.0,,,20-30,,Defensive rebound by G. Vasquez
0:01.0,,,20-32,2,L. Williams makes 2-pt shot from 2 ft (assist by G. Vasquez)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
