time,Boston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Mozgov (M. Smart gains possession),,,,Jump ball: B. Bass vs. T. Mozgov (M. Smart gains possession)
11:48.0,Turnover by T. Zeller (bad pass; steal by J. Smith),,0-0,,
11:40.0,,,0-3,3,K. Love makes 3-pt shot from 26 ft (assist by L. James)
11:26.0,Shooting foul by K. Love (drawn by T. Zeller),,0-3,,
11:26.0,T. Zeller makes free throw 1 of 2,1,1-3,,
11:26.0,T. Zeller misses free throw 2 of 2,,1-3,,
11:24.0,,,1-3,,Defensive rebound by K. Love
11:05.0,,,1-5,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
10:48.0,E. Turner makes 2-pt shot from 15 ft (assist by B. Bass),2,3-5,,
10:27.0,,,3-5,,J. Smith misses 3-pt shot from 26 ft
10:26.0,Defensive rebound by B. Bass,,3-5,,
10:19.0,,,3-5,,Violation by J. Smith (kicked ball)
10:06.0,T. Zeller makes 2-pt shot at rim (assist by M. Smart),2,5-5,,
9:50.0,,,5-5,,Offensive foul by T. Mozgov
9:50.0,,,5-5,,Turnover by T. Mozgov (offensive foul)
9:40.0,E. Turner misses 3-pt shot from 26 ft,,5-5,,
9:37.0,Offensive rebound by A. Bradley,,5-5,,
9:37.0,A. Bradley misses 2-pt shot from 2 ft,,5-5,,
9:34.0,,,5-5,,Defensive rebound by J. Smith
9:22.0,,,5-5,,Turnover by L. James (bad pass; steal by A. Bradley)
9:16.0,E. Turner misses 2-pt shot from 3 ft (block by T. Mozgov),,5-5,,
9:12.0,Offensive rebound by T. Zeller,,5-5,,
9:12.0,T. Zeller makes 2-pt shot from 4 ft,2,7-5,,
8:55.0,,,7-8,3,L. James makes 3-pt shot from 26 ft (assist by K. Irving)
8:37.0,A. Bradley misses 2-pt shot from 3 ft (block by T. Mozgov),,7-8,,
8:35.0,,,7-8,,Defensive rebound by J. Smith
8:35.0,,,7-8,,T. Mozgov misses 2-pt shot from 3 ft
8:25.0,,,7-8,,Offensive rebound by Team
8:12.0,,,7-8,,J. Smith misses 2-pt shot from 15 ft
8:10.0,Defensive rebound by E. Turner,,7-8,,
8:09.0,B. Bass misses 2-pt shot from 1 ft (block by T. Mozgov),,7-8,,
8:09.0,Offensive rebound by B. Bass,,7-8,,
8:09.0,,,7-8,,Personal foul by K. Irving (drawn by B. Bass)
8:00.0,T. Zeller makes 2-pt shot from 11 ft (assist by B. Bass),2,9-8,,
7:50.0,,,9-8,,K. Love misses 3-pt shot from 24 ft (block by B. Bass)
7:47.0,Defensive rebound by E. Turner,,9-8,,
7:41.0,Shooting foul by K. Love (drawn by B. Bass),,9-8,,
7:41.0,B. Bass makes free throw 1 of 2,1,10-8,,
7:41.0,,,10-8,,T. Thompson enters the game for K. Love
7:41.0,B. Bass makes free throw 2 of 2,1,11-8,,
