time,Memphis,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (J. Johnson gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (J. Johnson gains possession)
11:45.0,,,0-2,2,B. Lopez makes 2-pt shot from 10 ft (assist by J. Johnson)
11:25.0,M. Gasol misses 2-pt shot from 14 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by M. Plumlee
11:06.0,,,0-4,2,M. Plumlee makes 2-pt shot at rim (assist by B. Bogdanovic)
10:51.0,C. Lee makes 2-pt shot from 2 ft,2,2-4,,
10:36.0,Personal foul by M. Conley (drawn by J. Jack),,2-4,,
10:31.0,,,2-6,2,J. Jack makes 2-pt shot at rim (assist by M. Plumlee)
10:10.0,C. Lee makes 2-pt shot at rim,2,4-6,,
9:48.0,,,4-8,2,B. Lopez makes 2-pt shot from 17 ft (assist by J. Jack)
9:35.0,C. Lee misses 2-pt shot from 1 ft (block by M. Plumlee),,4-8,,
9:33.0,,,4-8,,Defensive rebound by B. Lopez
9:30.0,,,4-8,,B. Bogdanovic misses 2-pt shot at rim (block by T. Allen)
9:29.0,,,4-8,,Offensive rebound by Team
9:23.0,,,4-8,,J. Johnson misses 2-pt shot from 16 ft
9:21.0,Defensive rebound by Z. Randolph,,4-8,,
9:12.0,Turnover by M. Conley (bad pass; steal by M. Plumlee),,4-8,,
9:09.0,,,4-10,2,M. Plumlee makes 2-pt shot at rim
9:09.0,Memphis full timeout,,4-10,,
8:50.0,Z. Randolph misses 2-pt shot from 15 ft,,4-10,,
8:49.0,,,4-10,,Defensive rebound by B. Lopez
8:33.0,,,4-10,,M. Plumlee misses 2-pt shot at rim
8:32.0,Defensive rebound by M. Gasol,,4-10,,
8:26.0,Z. Randolph makes 2-pt shot from 3 ft (assist by M. Conley),2,6-10,,
8:04.0,,,6-10,,Turnover by B. Bogdanovic (lost ball; steal by M. Gasol)
7:51.0,,,6-10,,Personal foul by J. Johnson (drawn by Z. Randolph)
7:44.0,M. Conley misses 2-pt shot from 16 ft,,6-10,,
7:43.0,Offensive rebound by M. Gasol,,6-10,,
7:42.0,M. Gasol makes 2-pt shot from 1 ft,2,8-10,,
7:31.0,,,8-10,,J. Jack misses 2-pt shot from 1 ft
7:29.0,,,8-10,,Offensive rebound by J. Jack
7:22.0,,,8-12,2,M. Plumlee makes 2-pt shot at rim
7:13.0,Turnover by M. Conley (bad pass),,8-12,,
