time,Dallas,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: T. Chandler vs. J. Valanciunas (A. Johnson gains possession)
11:43.0,,,0-2,2,A. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry)
11:30.0,,,0-2,,Personal foul by A. Johnson (drawn by D. Nowitzki)
11:22.0,D. Nowitzki misses 2-pt shot from 14 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by K. Lowry
11:13.0,,,0-2,,D. DeRozan misses 2-pt shot from 11 ft (block by D. Nowitzki)
11:13.0,,,0-2,,Offensive rebound by Team
10:58.0,,,0-2,,T. Ross misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by D. Nowitzki,,0-2,,
10:39.0,Turnover by M. Ellis (bad pass; steal by J. Valanciunas),,0-2,,
10:31.0,,,0-2,,Turnover by T. Ross (bad pass)
10:17.0,M. Ellis misses 2-pt shot from 15 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by J. Valanciunas
9:57.0,,,0-5,3,T. Ross makes 3-pt shot from 23 ft (assist by D. DeRozan)
9:39.0,D. Nowitzki misses 2-pt shot from 18 ft,,0-5,,
9:38.0,,,0-5,,Defensive rebound by J. Valanciunas
9:30.0,,,0-8,3,K. Lowry makes 3-pt shot from 27 ft
9:13.0,M. Ellis misses 2-pt shot from 2 ft,,0-8,,
9:12.0,,,0-8,,Defensive rebound by J. Valanciunas
9:08.0,,,0-10,2,T. Ross makes 2-pt shot from 1 ft (assist by K. Lowry)
9:08.0,Dallas full timeout,,0-10,,
8:56.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris),2,2-10,,
8:34.0,,,2-10,,A. Johnson misses 2-pt shot from 4 ft
8:33.0,Defensive rebound by M. Ellis,,2-10,,
8:25.0,M. Ellis makes 2-pt shot from 20 ft,2,4-10,,
8:05.0,,,4-10,,D. DeRozan misses 2-pt shot from 16 ft
8:04.0,Defensive rebound by D. Nowitzki,,4-10,,
7:52.0,T. Chandler misses 2-pt shot from 4 ft,,4-10,,
7:51.0,,,4-10,,Defensive rebound by D. DeRozan
7:38.0,,,4-10,,A. Johnson misses 2-pt shot from 3 ft (block by M. Ellis)
7:37.0,Defensive rebound by C. Parsons,,4-10,,
7:26.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris),3,7-10,,
7:02.0,,,7-13,3,A. Johnson makes 3-pt shot from 25 ft (assist by D. DeRozan)
6:49.0,D. Nowitzki misses 2-pt shot from 17 ft,,7-13,,
6:47.0,,,7-13,,Defensive rebound by J. Valanciunas
6:41.0,,,7-13,,K. Lowry misses 3-pt shot from 29 ft
6:40.0,Defensive rebound by D. Harris,,7-13,,
6:28.0,C. Parsons makes 3-pt shot from 26 ft (assist by M. Ellis),3,10-13,,
6:09.0,,,10-13,,J. Valanciunas misses 2-pt shot from 13 ft (block by T. Chandler)
6:07.0,Defensive rebound by T. Chandler,,10-13,,
6:05.0,Turnover by T. Chandler (lost ball; steal by K. Lowry),,10-13,,
5:49.0,,,10-13,,K. Lowry misses 2-pt shot from 13 ft
5:48.0,Defensive rebound by T. Chandler,,10-13,,
5:37.0,Shooting foul by K. Lowry (drawn by T. Chandler),,10-13,,
5:37.0,T. Chandler makes free throw 1 of 2,1,11-13,,
5:37.0,B. Wright enters the game for D. Nowitzki,,11-13,,
5:37.0,T. Chandler misses free throw 2 of 2,,11-13,,
5:37.0,,,11-13,,Defensive rebound by A. Johnson
5:18.0,,,11-15,2,A. Johnson makes 2-pt shot from 4 ft
5:09.0,M. Ellis misses 2-pt shot from 20 ft,,11-15,,
5:07.0,,,11-15,,Defensive rebound by J. Valanciunas
4:58.0,,,11-15,,A. Johnson misses 2-pt shot from 5 ft
4:58.0,Defensive rebound by Team,,11-15,,
4:37.0,Shooting foul by D. DeRozan (drawn by C. Parsons),,11-15,,
4:37.0,C. Parsons makes free throw 1 of 3,1,12-15,,
4:37.0,C. Parsons misses free throw 2 of 3,,12-15,,
4:37.0,Offensive rebound by Team,,12-15,,
4:37.0,,,12-15,,P. Patterson enters the game for A. Johnson
4:37.0,C. Parsons makes free throw 3 of 3,1,13-15,,
4:26.0,Personal foul by C. Parsons (drawn by P. Patterson),,13-15,,
4:26.0,J. Barea enters the game for D. Harris,,13-15,,
4:16.0,,,13-15,,D. DeRozan misses 2-pt shot from 16 ft
4:15.0,Defensive rebound by J. Barea,,13-15,,
4:03.0,C. Parsons makes 2-pt shot from 13 ft,2,15-15,,
3:45.0,,,15-15,,T. Ross misses 2-pt shot from 5 ft
3:44.0,Defensive rebound by T. Chandler,,15-15,,
3:28.0,M. Ellis makes 2-pt shot from 18 ft (assist by J. Barea),2,17-15,,
3:14.0,,,17-15,,L. Williams enters the game for T. Ross
3:03.0,,,17-15,,Offensive charge foul by K. Lowry
3:03.0,,,17-15,,Turnover by K. Lowry (offensive foul)
3:03.0,,,17-15,,Violation by Team (delay of game)
2:56.0,,,17-15,,Personal foul by K. Lowry (drawn by J. Barea)
2:56.0,,,17-15,,Toronto full timeout
2:56.0,,,17-15,,G. Vasquez enters the game for K. Lowry
2:56.0,D. Nowitzki enters the game for T. Chandler,,17-15,,
2:40.0,J. Barea makes 3-pt shot from 25 ft (assist by C. Parsons),3,20-15,,
2:25.0,,,20-17,2,L. Williams makes 2-pt shot from 16 ft (assist by P. Patterson)
2:25.0,,,20-17,,Shooting foul by C. Parsons (drawn by L. Williams)
2:25.0,J. Crowder enters the game for C. Parsons,,20-17,,
2:25.0,A. Aminu enters the game for M. Ellis,,20-17,,
2:25.0,,,20-18,1,L. Williams makes free throw 1 of 1
2:14.0,J. Barea misses 2-pt shot from 18 ft,,20-18,,
2:13.0,,,20-18,,Defensive rebound by P. Patterson
1:59.0,,,20-18,,Shooting foul by J. Crowder (drawn by P. Patterson)
1:59.0,,,20-18,,P. Patterson misses free throw 1 of 2
1:59.0,,,20-18,,Offensive rebound by Team
1:59.0,,,20-18,,P. Patterson misses free throw 2 of 2
1:57.0,Defensive rebound by Team,,20-18,,
1:47.0,B. Wright makes 2-pt shot at rim (assist by J. Barea),2,22-18,,
1:24.0,,,22-21,3,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez)
1:07.0,,,22-21,,Shooting block foul by J. Valanciunas (drawn by A. Aminu)
1:07.0,A. Aminu makes free throw 1 of 2,1,23-21,,
1:07.0,,,23-21,,J. Johnson enters the game for D. DeRozan
1:07.0,,,23-21,,C. Hayes enters the game for J. Valanciunas
1:07.0,A. Aminu misses free throw 2 of 2,,23-21,,
1:06.0,Offensive rebound by J. Barea,,23-21,,
0:56.0,J. Crowder makes 3-pt shot from 23 ft (assist by D. Nowitzki),3,26-21,,
0:41.0,,,26-21,,Offensive charge foul by L. Williams
0:41.0,,,26-21,,Turnover by L. Williams (offensive foul)
0:35.0,J. Barea misses 2-pt shot from 19 ft,,26-21,,
0:34.0,,,26-21,,Defensive rebound by C. Hayes
0:09.0,,,26-21,,L. Williams misses 3-pt shot from 27 ft
0:08.0,Defensive rebound by D. Nowitzki,,26-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Wright misses 2-pt shot from 6 ft,,26-21,,
11:44.0,,,26-21,,Defensive rebound by P. Patterson
11:32.0,,,26-21,,G. Vasquez misses 2-pt shot from 4 ft (block by A. Aminu)
11:29.0,Defensive rebound by A. Aminu,,26-21,,
11:22.0,D. Nowitzki misses 3-pt shot from 26 ft,,26-21,,
11:21.0,,,26-21,,Defensive rebound by L. Williams
11:15.0,Personal foul by J. Crowder (drawn by L. Williams),,26-21,,
11:06.0,,,26-21,,Turnover by C. Hayes (bad pass; steal by J. Barea)
11:01.0,A. Aminu makes 2-pt shot at rim (assist by J. Barea),2,28-21,,
10:45.0,,,28-21,,L. Williams misses 2-pt shot from 19 ft
10:45.0,Defensive rebound by B. Wright,,28-21,,
10:35.0,B. Wright makes 2-pt shot at rim (assist by J. Barea),2,30-21,,
10:10.0,,,30-24,3,G. Vasquez makes 3-pt shot from 25 ft
9:51.0,B. Wright misses 2-pt shot from 3 ft,,30-24,,
9:50.0,,,30-24,,Defensive rebound by P. Patterson
9:42.0,,,30-24,,G. Vasquez misses 2-pt shot from 2 ft
9:41.0,,,30-24,,Offensive rebound by P. Patterson
9:39.0,,,30-26,2,P. Patterson makes 2-pt shot at rim
9:39.0,Dallas full timeout,,30-26,,
9:39.0,C. Parsons enters the game for D. Nowitzki,,30-26,,
9:39.0,T. Chandler enters the game for B. Wright,,30-26,,
9:39.0,M. Ellis enters the game for J. Barea,,30-26,,
9:39.0,D. Harris enters the game for J. Crowder,,30-26,,
9:20.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Ellis),3,33-26,,
8:59.0,,,33-28,2,G. Vasquez makes 2-pt shot from 19 ft (assist by C. Hayes)
8:46.0,M. Ellis misses 2-pt shot from 4 ft,,33-28,,
8:45.0,Offensive rebound by T. Chandler,,33-28,,
8:43.0,T. Chandler makes 2-pt shot from 2 ft,2,35-28,,
8:28.0,Def 3 sec tech foul by T. Chandler,,35-28,,
8:28.0,,,35-28,,G. Vasquez misses technical free throw
8:28.0,,,35-28,,Offensive rebound by Team
8:23.0,,,35-28,,Turnover by G. Vasquez (bad pass; steal by M. Ellis)
8:18.0,C. Parsons misses 2-pt shot from 2 ft,,35-28,,
8:18.0,,,35-28,,Defensive rebound by Team
8:18.0,Loose ball foul by A. Aminu (drawn by J. Johnson),,35-28,,
8:18.0,,,35-28,,J. Valanciunas enters the game for C. Hayes
8:03.0,,,35-28,,G. Vasquez misses 2-pt shot from 6 ft
8:02.0,,,35-28,,Offensive rebound by J. Johnson
7:58.0,,,35-28,,J. Johnson misses 2-pt shot from 4 ft (block by T. Chandler)
7:58.0,Defensive rebound by D. Harris,,35-28,,
7:45.0,Turnover by D. Harris (bad pass; steal by G. Vasquez),,35-28,,
7:40.0,,,35-31,3,L. Williams makes 3-pt shot from 24 ft (assist by G. Vasquez)
7:20.0,Turnover by M. Ellis (bad pass; steal by L. Williams),,35-31,,
7:17.0,,,35-31,,Shooting foul by A. Aminu (drawn by L. Williams)
7:17.0,,,35-31,,L. Williams misses free throw 1 of 2
7:17.0,,,35-31,,Offensive rebound by Team
7:17.0,Violation by T. Chandler (lane),,35-31,,
7:17.0,,,35-32,1,L. Williams makes free throw 2 of 2
7:08.0,D. Harris misses 2-pt shot from 20 ft,,35-32,,
7:07.0,,,35-32,,Defensive rebound by J. Johnson
7:02.0,,,35-32,,Offensive charge foul by J. Johnson
7:02.0,,,35-32,,Turnover by J. Johnson (offensive foul)
6:51.0,M. Ellis makes 2-pt shot from 10 ft,2,37-32,,
6:27.0,,,37-32,,P. Patterson misses 3-pt shot from 23 ft
6:26.0,Defensive rebound by C. Parsons,,37-32,,
6:14.0,M. Ellis misses 3-pt shot from 24 ft,,37-32,,
6:13.0,Offensive rebound by T. Chandler,,37-32,,
5:58.0,D. Harris makes 3-pt shot from 24 ft (assist by A. Aminu),3,40-32,,
5:49.0,,,40-32,,Toronto full timeout
5:49.0,,,40-32,,K. Lowry enters the game for P. Patterson
5:49.0,,,40-32,,D. DeRozan enters the game for L. Williams
5:49.0,,,40-32,,A. Johnson enters the game for J. Johnson
5:49.0,J. Barea enters the game for M. Ellis,,40-32,,
5:36.0,,,40-32,,Offensive foul by A. Johnson
5:36.0,,,40-32,,Turnover by A. Johnson (offensive foul)
5:23.0,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea),3,43-32,,
5:03.0,,,43-32,,J. Valanciunas misses 2-pt shot from 4 ft (block by T. Chandler)
5:02.0,Defensive rebound by J. Barea,,43-32,,
4:56.0,,,43-32,,Personal foul by G. Vasquez (drawn by J. Barea)
4:46.0,C. Parsons makes 2-pt shot from 9 ft (assist by D. Harris),2,45-32,,
4:25.0,,,45-32,,D. DeRozan misses 2-pt shot from 4 ft
4:24.0,Defensive rebound by J. Barea,,45-32,,
4:16.0,Shooting foul by G. Vasquez (drawn by A. Aminu),,45-32,,
4:16.0,A. Aminu makes free throw 1 of 2,1,46-32,,
4:16.0,,,46-32,,T. Ross enters the game for G. Vasquez
4:16.0,,,46-32,,L. Williams enters the game for J. Valanciunas
4:16.0,M. Ellis enters the game for D. Harris,,46-32,,
4:16.0,A. Aminu misses free throw 2 of 2,,46-32,,
4:15.0,,,46-32,,Defensive rebound by D. DeRozan
4:00.0,,,46-34,2,K. Lowry makes 2-pt shot from 10 ft
3:49.0,T. Chandler misses 2-pt shot from 2 ft,,46-34,,
3:48.0,Offensive rebound by T. Chandler,,46-34,,
3:46.0,T. Chandler makes 2-pt shot from 1 ft,2,48-34,,
3:39.0,Personal foul by J. Barea (drawn by K. Lowry),,48-34,,
3:39.0,D. Nowitzki enters the game for A. Aminu,,48-34,,
3:27.0,,,48-37,3,L. Williams makes 3-pt shot from 25 ft
3:16.0,M. Ellis misses 2-pt shot from 21 ft,,48-37,,
3:15.0,,,48-37,,Defensive rebound by D. DeRozan
3:10.0,,,48-37,,D. DeRozan misses 2-pt shot from 5 ft
3:09.0,,,48-37,,Offensive rebound by D. DeRozan
3:08.0,,,48-37,,D. DeRozan misses 2-pt shot from 1 ft (block by T. Chandler)
3:08.0,Defensive rebound by Team,,48-37,,
3:08.0,,,48-37,,P. Patterson enters the game for T. Ross
2:59.0,Turnover by M. Ellis (lost ball),,48-37,,
2:59.0,Official timeout,,48-37,,
2:59.0,B. Wright enters the game for T. Chandler,,48-37,,
2:47.0,,,48-37,,K. Lowry misses 3-pt shot from 26 ft
2:46.0,Defensive rebound by D. Nowitzki,,48-37,,
2:34.0,Turnover by B. Wright (lost ball; steal by A. Johnson),,48-37,,
2:27.0,,,48-37,,K. Lowry misses 2-pt shot from 1 ft
2:26.0,,,48-37,,Offensive rebound by A. Johnson
2:24.0,,,48-37,,A. Johnson misses 2-pt shot at rim
2:23.0,,,48-37,,Offensive rebound by A. Johnson
2:21.0,,,48-37,,A. Johnson misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by D. Nowitzki,,48-37,,
2:07.0,C. Parsons misses 3-pt shot from 25 ft,,48-37,,
2:06.0,Offensive rebound by Team,,48-37,,
2:06.0,,,48-37,,Loose ball foul by D. DeRozan (drawn by D. Nowitzki)
1:53.0,,,48-37,,Def 3 sec tech foul by A. Johnson
1:53.0,D. Nowitzki misses technical free throw,,48-37,,
1:53.0,Offensive rebound by Team,,48-37,,
1:40.0,M. Ellis misses 2-pt shot from 8 ft,,48-37,,
1:39.0,Offensive rebound by B. Wright,,48-37,,
1:26.0,D. Nowitzki misses 2-pt shot from 13 ft,,48-37,,
1:25.0,,,48-37,,Defensive rebound by A. Johnson
1:18.0,,,48-37,,P. Patterson misses 3-pt shot from 23 ft
1:18.0,,,48-37,,Offensive rebound by A. Johnson
1:15.0,,,48-39,2,A. Johnson makes 2-pt shot from 1 ft
1:10.0,Dallas full timeout,,48-39,,
1:10.0,,,48-39,,G. Vasquez enters the game for K. Lowry
1:10.0,T. Chandler enters the game for B. Wright,,48-39,,
1:10.0,D. Harris enters the game for J. Barea,,48-39,,
0:58.0,D. Harris misses 3-pt shot from 28 ft,,48-39,,
0:57.0,,,48-39,,Defensive rebound by Team
0:53.0,,,48-39,,Toronto full timeout
0:53.0,,,48-39,,K. Lowry enters the game for G. Vasquez
0:42.0,,,48-39,,D. DeRozan misses 2-pt shot from 8 ft (block by D. Harris)
0:42.0,,,48-39,,Offensive rebound by Team
0:38.0,,,48-39,,K. Lowry misses 2-pt shot from 2 ft
0:38.0,,,48-39,,Offensive rebound by A. Johnson
0:38.0,,,48-41,2,A. Johnson makes 2-pt shot at rim
0:26.0,D. Nowitzki misses 2-pt shot from 2 ft (block by A. Johnson),,48-41,,
0:24.0,,,48-41,,Defensive rebound by P. Patterson
0:18.0,Personal foul by D. Harris (drawn by K. Lowry),,48-41,,
0:18.0,,,48-42,1,K. Lowry makes free throw 1 of 2
0:18.0,,,48-43,1,K. Lowry makes free throw 2 of 2
0:17.0,,,48-43,,Personal foul by L. Williams (drawn by M. Ellis)
0:17.0,,,48-43,,T. Ross enters the game for K. Lowry
0:00.0,M. Ellis misses 2-pt shot from 18 ft,,48-43,,
0:00.0,Offensive rebound by Team,,48-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,M. Ellis makes 2-pt shot from 15 ft,2,50-43,,
11:24.0,,,50-43,,D. DeRozan misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by T. Chandler,,50-43,,
11:09.0,M. Ellis misses 3-pt shot from 26 ft,,50-43,,
11:09.0,,,50-43,,Defensive rebound by J. Valanciunas
10:56.0,,,50-43,,K. Lowry misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by T. Chandler,,50-43,,
10:48.0,Turnover by D. Harris (lost ball; steal by T. Ross),,50-43,,
10:47.0,Personal foul by D. Nowitzki (drawn by K. Lowry),,50-43,,
10:27.0,,,50-43,,T. Ross misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by T. Chandler,,50-43,,
10:09.0,D. Nowitzki misses 3-pt shot from 26 ft,,50-43,,
10:07.0,,,50-43,,Defensive rebound by J. Valanciunas
9:44.0,,,50-45,2,K. Lowry makes 2-pt shot from 4 ft
9:27.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,52-45,,
9:04.0,,,52-45,,Turnover by D. DeRozan (lost ball; steal by M. Ellis)
8:59.0,M. Ellis makes 2-pt shot from 1 ft (assist by D. Harris),2,54-45,,
8:42.0,,,54-45,,T. Ross misses 3-pt shot from 26 ft
8:41.0,Defensive rebound by D. Nowitzki,,54-45,,
8:33.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by M. Ellis),2,56-45,,
8:29.0,,,56-45,,Toronto full timeout
