time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. K. Love (L. James gains possession),,,,Jump ball: C. Andersen vs. K. Love (L. James gains possession)
11:38.0,K. Irving makes 2-pt shot from 18 ft,2,2-0,,
11:18.0,,,2-2,2,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers)
11:07.0,Turnover by M. Miller (bad pass; steal by D. Wade),,2-2,,
11:02.0,,,2-4,2,D. Wade makes 2-pt shot from 2 ft (assist by M. Chalmers)
10:47.0,K. Love misses 3-pt shot from 24 ft,,2-4,,
10:46.0,,,2-4,,Defensive rebound by C. Andersen
10:24.0,,,2-4,,M. Chalmers misses 2-pt shot from 10 ft
10:23.0,,,2-4,,Offensive rebound by L. Deng
10:23.0,,,2-4,,L. Deng misses 2-pt shot from 2 ft
10:22.0,,,2-4,,Offensive rebound by L. Deng
10:18.0,,,2-6,2,D. Wade makes 2-pt shot from 18 ft (assist by M. Chalmers)
10:04.0,Turnover by L. James (lost ball),,2-6,,
9:42.0,,,2-6,,L. Deng misses 2-pt shot from 8 ft
9:40.0,Defensive rebound by K. Love,,2-6,,
9:35.0,L. James misses 3-pt shot from 25 ft,,2-6,,
9:34.0,,,2-6,,Defensive rebound by C. Andersen
9:28.0,,,2-8,2,M. Chalmers makes 2-pt shot from 1 ft
9:19.0,K. Irving makes 2-pt shot from 18 ft,2,4-8,,
9:06.0,,,4-8,,Shooting foul by S. Marion (drawn by C. Andersen)
9:06.0,,,4-9,1,C. Andersen makes free throw 1 of 2
9:06.0,,,4-10,1,C. Andersen makes free throw 2 of 2
8:48.0,K. Irving makes 2-pt shot from 21 ft,2,6-10,,
8:33.0,,,6-10,,D. Wade misses 2-pt shot from 11 ft
8:32.0,Defensive rebound by S. Marion,,6-10,,
8:26.0,K. Irving makes 2-pt shot at rim,2,8-10,,
8:05.0,,,8-13,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Wade)
7:56.0,K. Love makes 2-pt shot from 18 ft (assist by L. James),2,10-13,,
7:44.0,,,10-13,,Offensive charge foul by M. Chalmers
7:44.0,,,10-13,,Turnover by M. Chalmers (offensive foul)
7:44.0,,,10-13,,Violation by Team (delay of game)
7:32.0,Offensive charge foul by K. Irving,,10-13,,
7:32.0,Turnover by K. Irving (offensive foul),,10-13,,
7:09.0,,,10-13,,S. Williams misses 3-pt shot from 23 ft
7:08.0,,,10-13,,Offensive rebound by L. Deng
7:02.0,,,10-15,2,C. Andersen makes 2-pt shot from 1 ft (assist by L. Deng)
6:57.0,Turnover by L. James (lost ball; steal by D. Wade),,10-15,,
6:49.0,,,10-17,2,D. Wade makes 2-pt shot from 18 ft
6:39.0,Shooting foul by C. Andersen (drawn by L. James),,10-17,,
6:39.0,L. James makes free throw 1 of 2,1,11-17,,
6:39.0,,,11-17,,N. Cole enters the game for M. Chalmers
6:39.0,L. James makes free throw 2 of 2,1,12-17,,
6:24.0,,,12-19,2,D. Wade makes 2-pt shot from 20 ft (assist by N. Cole)
6:12.0,Turnover by S. Marion (bad pass),,12-19,,
5:59.0,,,12-19,,D. Wade misses 2-pt shot from 15 ft
5:57.0,Defensive rebound by L. James,,12-19,,
