time,Denver,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Nurkic (T. Lawson gains possession),,,,Jump ball: T. Chandler vs. J. Nurkic (T. Lawson gains possession)
11:45.0,Denver full timeout,,0-0,,
11:41.0,W. Chandler misses 2-pt shot from 1 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by C. Parsons
11:33.0,,,0-0,,Turnover by R. Rondo (bad pass)
11:12.0,W. Chandler misses 3-pt shot from 27 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by M. Ellis
11:04.0,,,0-3,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo)
10:44.0,J. Nurkic makes 2-pt shot from 5 ft,2,2-3,,
10:34.0,,,2-5,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo)
10:14.0,Turnover by W. Chandler (step out of bounds),,2-5,,
10:01.0,,,2-5,,M. Ellis misses 2-pt shot at rim
9:59.0,,,2-5,,Offensive rebound by D. Nowitzki
9:57.0,Shooting block foul by J. Nurkic (drawn by D. Nowitzki),,2-5,,
9:57.0,,,2-6,1,D. Nowitzki makes free throw 1 of 2
9:57.0,,,2-7,1,D. Nowitzki makes free throw 2 of 2
9:44.0,T. Lawson misses 2-pt shot from 13 ft,,2-7,,
9:42.0,,,2-7,,Defensive rebound by R. Rondo
9:34.0,,,2-10,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
9:18.0,A. Afflalo misses 2-pt shot from 15 ft,,2-10,,
9:17.0,,,2-10,,Defensive rebound by R. Rondo
9:09.0,,,2-13,3,C. Parsons makes 3-pt shot from 22 ft (assist by R. Rondo)
9:00.0,Denver full timeout,,2-13,,
8:51.0,A. Afflalo makes 2-pt shot from 21 ft (assist by K. Faried),2,4-13,,
8:34.0,,,4-15,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
8:13.0,J. Nurkic misses 2-pt shot from 9 ft,,4-15,,
8:12.0,,,4-15,,Defensive rebound by D. Nowitzki
8:02.0,,,4-15,,R. Rondo misses 2-pt shot from 6 ft
8:01.0,,,4-15,,Offensive rebound by T. Chandler
8:01.0,,,4-17,2,T. Chandler makes 2-pt shot at rim
7:43.0,W. Chandler makes 2-pt shot at rim,2,6-17,,
7:24.0,,,6-17,,D. Nowitzki misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by J. Nurkic,,6-17,,
7:18.0,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson),3,9-17,,
6:49.0,,,9-17,,Turnover by R. Rondo (bad pass; steal by W. Chandler)
6:44.0,W. Chandler misses 2-pt shot from 13 ft,,9-17,,
6:43.0,,,9-17,,Defensive rebound by D. Nowitzki
6:38.0,,,9-17,,C. Parsons misses 2-pt shot at rim
6:37.0,Defensive rebound by T. Lawson,,9-17,,
6:32.0,,,9-17,,Personal block foul by R. Rondo (drawn by T. Lawson)
6:32.0,,,9-17,,D. Harris enters the game for R. Rondo
6:32.0,,,9-17,,A. Aminu enters the game for D. Nowitzki
6:20.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,12-17,,
6:01.0,,,12-20,3,D. Harris makes 3-pt shot from 24 ft (assist by A. Aminu)
5:45.0,A. Afflalo misses 2-pt shot from 11 ft,,12-20,,
5:44.0,Offensive rebound by J. Nurkic,,12-20,,
5:44.0,J. Nurkic misses 2-pt shot at rim,,12-20,,
5:43.0,Offensive rebound by J. Nurkic,,12-20,,
5:42.0,J. Nurkic misses 2-pt shot from 1 ft,,12-20,,
5:41.0,Offensive rebound by K. Faried,,12-20,,
5:41.0,K. Faried makes 2-pt shot from 1 ft,2,14-20,,
5:35.0,Personal foul by W. Chandler (drawn by T. Chandler),,14-20,,
5:28.0,,,14-20,,C. Parsons misses 3-pt shot from 24 ft
5:27.0,,,14-20,,Offensive rebound by T. Chandler
5:16.0,,,14-20,,Turnover by A. Aminu (lost ball; steal by K. Faried)
5:02.0,J. Nurkic misses 2-pt shot from 5 ft,,14-20,,
5:01.0,,,14-20,,Defensive rebound by T. Chandler
4:55.0,,,14-20,,D. Harris misses 2-pt shot from 2 ft (block by K. Faried)
4:54.0,Defensive rebound by T. Lawson,,14-20,,
