time,Oklahoma City,pts.away,score,pts.home,New York
8:46.0,S. Ibaka makes free throw 2 of 2,1,9-6,,
8:25.0,,,9-6,,L. Amundson misses 2-pt shot from 8 ft
8:24.0,Defensive rebound by S. Adams,,9-6,,
8:12.0,P. Jones misses 2-pt shot from 15 ft,,9-6,,
8:11.0,Offensive rebound by S. Adams,,9-6,,
8:10.0,Turnover by S. Adams (lost ball; steal by L. Galloway),,9-6,,
7:54.0,,,9-6,,C. Anthony misses 2-pt shot from 2 ft
7:53.0,,,9-6,,Offensive rebound by L. Amundson
7:50.0,,,9-8,2,J. Smith makes 2-pt shot from 14 ft (assist by L. Amundson)
7:36.0,Turnover by P. Jones (bad pass; steal by J. Smith),,9-8,,
7:21.0,,,9-8,,C. Anthony misses 2-pt shot from 17 ft
7:20.0,Defensive rebound by P. Jones,,9-8,,
7:14.0,R. Westbrook makes 2-pt shot from 16 ft,2,11-8,,
6:59.0,,,11-10,2,L. Galloway makes 2-pt shot from 19 ft (assist by J. Smith)
6:32.0,S. Ibaka misses 2-pt shot from 19 ft,,11-10,,
6:31.0,,,11-10,,Defensive rebound by L. Amundson
6:24.0,Personal foul by P. Jones (drawn by C. Anthony),,11-10,,
6:24.0,D. Waiters enters the game for A. Roberson,,11-10,,
6:20.0,Personal foul by P. Jones (drawn by C. Anthony),,11-10,,
6:16.0,,,11-13,3,L. Galloway makes 3-pt shot from 25 ft (assist by L. Amundson)
6:10.0,Oklahoma City full timeout,,11-13,,
6:10.0,A. Roberson enters the game for P. Jones,,11-13,,
6:01.0,Turnover by S. Adams (bad pass; steal by J. Calderon),,11-13,,
5:56.0,,,11-13,,L. Galloway misses 2-pt shot from 2 ft
5:55.0,,,11-13,,Offensive rebound by J. Smith
5:52.0,,,11-15,2,C. Anthony makes 2-pt shot from 16 ft (assist by J. Smith)
5:24.0,D. Waiters misses 2-pt shot from 19 ft,,11-15,,
5:23.0,,,11-15,,Defensive rebound by C. Anthony
5:00.0,,,11-17,2,L. Amundson makes 2-pt shot at rim (assist by L. Galloway)
4:43.0,R. Westbrook makes 2-pt shot from 15 ft,2,13-17,,
4:36.0,,,13-17,,Shooting foul by S. Adams (drawn by L. Amundson)
4:36.0,,,13-17,,L. Amundson misses free throw 1 of 2
4:36.0,,,13-17,,Offensive rebound by Team
4:36.0,K. Perkins enters the game for S. Adams,,13-17,,
4:36.0,,,13-18,1,L. Amundson makes free throw 2 of 2
4:18.0,Offensive charge foul by A. Roberson,,13-18,,
4:18.0,Turnover by A. Roberson (offensive foul),,13-18,,
4:14.0,,,13-18,,Turnover by J. Calderon (bad pass)
4:02.0,Turnover by K. Perkins (step out of bounds),,13-18,,
3:43.0,,,13-18,,J. Smith misses 2-pt shot from 14 ft
3:42.0,Defensive rebound by K. Perkins,,13-18,,
3:36.0,Turnover by S. Ibaka (lost ball; steal by C. Anthony),,13-18,,
3:30.0,,,13-18,,Turnover by C. Anthony (step out of bounds)
3:19.0,R. Westbrook misses 2-pt shot from 2 ft,,13-18,,
3:18.0,,,13-18,,Defensive rebound by L. Galloway
3:13.0,,,13-18,,J. Calderon misses 3-pt shot from 24 ft
3:12.0,,,13-18,,Offensive rebound by L. Amundson
3:04.0,,,13-18,,C. Anthony misses 2-pt shot from 19 ft (block by A. Roberson)
3:03.0,Defensive rebound by S. Ibaka,,13-18,,
2:44.0,S. Ibaka misses 2-pt shot from 14 ft,,13-18,,
2:43.0,,,13-18,,Defensive rebound by C. Anthony
2:38.0,Personal foul by A. Roberson (drawn by C. Anthony),,13-18,,
2:38.0,,,13-18,,New York full timeout
2:38.0,R. Jackson enters the game for R. Westbrook,,13-18,,
2:38.0,A. Morrow enters the game for A. Roberson,,13-18,,
2:38.0,,,13-18,,C. Aldrich enters the game for L. Amundson
2:38.0,,,13-18,,T. Hardaway enters the game for J. Calderon
2:33.0,,,13-18,,L. Galloway misses 3-pt shot from 23 ft
2:32.0,Defensive rebound by K. Perkins,,13-18,,
2:14.0,R. Jackson misses 2-pt shot from 18 ft,,13-18,,
2:13.0,Offensive rebound by S. Ibaka,,13-18,,
1:55.0,K. Perkins makes 2-pt shot from 5 ft,2,15-18,,
1:45.0,,,15-18,,J. Smith misses 2-pt shot from 17 ft
1:44.0,Defensive rebound by S. Ibaka,,15-18,,
1:34.0,S. Ibaka misses 3-pt shot from 25 ft,,15-18,,
1:33.0,,,15-18,,Defensive rebound by J. Smith
1:16.0,,,15-18,,C. Aldrich misses 2-pt shot from 8 ft
1:15.0,Defensive rebound by R. Jackson,,15-18,,
1:09.0,D. Waiters misses 2-pt shot from 17 ft,,15-18,,
1:08.0,Offensive rebound by R. Jackson,,15-18,,
0:57.0,R. Jackson makes 2-pt shot from 1 ft,2,17-18,,
0:49.0,,,17-20,2,C. Anthony makes 2-pt shot at rim (assist by J. Smith)
0:33.0,D. Waiters misses 2-pt shot from 18 ft,,17-20,,
0:32.0,Offensive rebound by S. Ibaka,,17-20,,
0:26.0,A. Morrow makes 2-pt shot from 2 ft (assist by S. Ibaka),2,19-20,,
0:05.0,,,19-20,,C. Anthony misses 2-pt shot from 17 ft
0:04.0,Defensive rebound by S. Ibaka,,19-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,19-20,,L. Thomas misses 2-pt shot from 9 ft
11:44.0,,,19-20,,Offensive rebound by C. Aldrich
11:26.0,,,19-22,2,L. Thomas makes 2-pt shot from 11 ft
11:10.0,D. Waiters misses 2-pt shot from 1 ft,,19-22,,
11:09.0,Offensive rebound by D. Waiters,,19-22,,
11:08.0,,,19-22,,Personal foul by C. Aldrich (drawn by D. Waiters)
10:58.0,R. Jackson misses 3-pt shot from 23 ft,,19-22,,
10:57.0,,,19-22,,Defensive rebound by P. Prigioni
10:51.0,,,19-22,,P. Prigioni misses 2-pt shot from 21 ft
10:50.0,Defensive rebound by A. Morrow,,19-22,,
10:43.0,,,19-22,,Violation by T. Hardaway (kicked ball)
10:37.0,A. Morrow misses 2-pt shot from 21 ft,,19-22,,
10:36.0,,,19-22,,Defensive rebound by T. Hardaway
10:29.0,,,19-22,,Turnover by T. Hardaway (lost ball; steal by R. Jackson)
10:25.0,R. Jackson makes 2-pt shot at rim,2,21-22,,
10:10.0,,,21-22,,L. Thomas misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by R. Jackson,,21-22,,
10:04.0,K. Perkins misses 2-pt shot at rim (block by C. Aldrich),,21-22,,
10:03.0,,,21-22,,Defensive rebound by P. Prigioni
9:44.0,,,21-22,,Turnover by L. Thomas (lost ball; steal by R. Jackson)
9:40.0,A. Morrow makes 2-pt shot from 1 ft (assist by R. Jackson),2,23-22,,
9:23.0,Personal foul by N. Collison (drawn by S. Larkin),,23-22,,
9:17.0,,,23-22,,P. Prigioni misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by K. Perkins,,23-22,,
9:05.0,K. Perkins makes 2-pt shot at rim (assist by R. Jackson),2,25-22,,
8:44.0,,,25-24,2,L. Thomas makes 2-pt shot from 18 ft (assist by C. Aldrich)
8:29.0,R. Jackson makes 2-pt shot from 8 ft,2,27-24,,
8:22.0,,,27-24,,New York full timeout
8:18.0,Personal foul by A. Morrow (drawn by T. Hardaway),,27-24,,
8:10.0,,,27-24,,C. Aldrich misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by A. Morrow,,27-24,,
8:00.0,D. Waiters makes 2-pt shot from 2 ft,2,29-24,,
8:00.0,Shooting foul by P. Prigioni (drawn by D. Waiters),,29-24,,
8:00.0,D. Waiters makes free throw 1 of 1,1,30-24,,
7:45.0,,,30-24,,L. Thomas misses 2-pt shot from 17 ft
7:44.0,Defensive rebound by K. Perkins,,30-24,,
7:32.0,Shooting foul by C. Aldrich (drawn by K. Perkins),,30-24,,
7:32.0,K. Perkins misses free throw 1 of 2,,30-24,,
7:32.0,Offensive rebound by Team,,30-24,,
7:32.0,R. Westbrook enters the game for A. Morrow,,30-24,,
7:32.0,,,30-24,,L. Amundson enters the game for C. Aldrich
7:32.0,,,30-24,,J. Calderon enters the game for P. Prigioni
7:32.0,K. Perkins misses free throw 2 of 2,,30-24,,
7:31.0,,,30-24,,Defensive rebound by S. Larkin
7:22.0,,,30-24,,T. Hardaway misses 3-pt shot from 25 ft
7:21.0,Defensive rebound by Team,,30-24,,
7:09.0,R. Westbrook misses 2-pt shot from 10 ft,,30-24,,
7:08.0,,,30-24,,Defensive rebound by L. Thomas
6:54.0,,,30-24,,Turnover by L. Thomas (bad pass; steal by R. Jackson)
6:50.0,R. Jackson makes 2-pt shot at rim,2,32-24,,
6:43.0,,,32-24,,New York full timeout
6:43.0,,,32-24,,C. Anthony enters the game for S. Larkin
6:43.0,A. Morrow enters the game for D. Waiters,,32-24,,
6:27.0,,,32-24,,Turnover by L. Thomas (lost ball; steal by N. Collison)
6:19.0,R. Westbrook misses 2-pt shot at rim (block by L. Amundson),,32-24,,
6:18.0,,,32-24,,Defensive rebound by L. Amundson
6:10.0,,,32-26,2,L. Amundson makes 2-pt shot from 1 ft (assist by J. Calderon)
5:49.0,K. Perkins misses 2-pt shot from 6 ft (block by L. Amundson),,32-26,,
5:48.0,,,32-26,,Defensive rebound by C. Anthony
5:37.0,Shooting block foul by N. Collison (drawn by C. Anthony),,32-26,,
5:37.0,Official timeout,,32-26,,
5:37.0,,,32-26,,L. Galloway enters the game for T. Hardaway
5:37.0,,,32-26,,J. Smith enters the game for L. Thomas
5:37.0,S. Ibaka enters the game for K. Perkins,,32-26,,
5:37.0,S. Adams enters the game for N. Collison,,32-26,,
5:37.0,,,32-27,1,C. Anthony makes free throw 1 of 2
5:37.0,,,32-27,,C. Anthony misses free throw 2 of 2
5:36.0,Defensive rebound by S. Adams,,32-27,,
5:27.0,Turnover by R. Jackson (bad pass; steal by L. Galloway),,32-27,,
5:04.0,,,32-29,2,L. Galloway makes 2-pt shot from 18 ft
4:47.0,A. Morrow misses 2-pt shot from 16 ft,,32-29,,
4:46.0,,,32-29,,Defensive rebound by L. Amundson
4:36.0,,,32-29,,J. Smith misses 2-pt shot from 21 ft
4:35.0,Defensive rebound by S. Ibaka,,32-29,,
4:29.0,R. Westbrook makes 2-pt shot from 16 ft,2,34-29,,
4:11.0,,,34-31,2,C. Anthony makes 2-pt shot from 2 ft
4:00.0,Offensive charge foul by S. Adams,,34-31,,
4:00.0,Turnover by S. Adams (offensive foul),,34-31,,
4:00.0,P. Jones enters the game for A. Morrow,,34-31,,
3:45.0,,,34-33,2,C. Anthony makes 2-pt shot from 2 ft
3:45.0,,,34-33,,Shooting foul by S. Ibaka (drawn by C. Anthony)
3:45.0,,,34-34,1,C. Anthony makes free throw 1 of 1
3:34.0,R. Westbrook makes 2-pt shot from 1 ft,2,36-34,,
3:13.0,,,36-34,,C. Anthony misses 2-pt shot from 17 ft
3:12.0,,,36-34,,Offensive rebound by J. Smith
3:08.0,,,36-37,3,L. Galloway makes 3-pt shot from 24 ft (assist by J. Smith)
2:54.0,R. Westbrook makes 2-pt shot from 16 ft,2,38-37,,
2:28.0,,,38-37,,C. Anthony misses 2-pt shot from 2 ft
2:27.0,Defensive rebound by R. Jackson,,38-37,,
2:22.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Jackson),2,40-37,,
2:13.0,,,40-39,2,L. Galloway makes 2-pt shot from 19 ft
2:05.0,Oklahoma City full timeout,,40-39,,
2:05.0,A. Morrow enters the game for R. Jackson,,40-39,,
1:58.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,42-39,,
1:37.0,,,42-39,,C. Anthony misses 2-pt shot from 9 ft
1:36.0,Defensive rebound by P. Jones,,42-39,,
1:28.0,R. Westbrook misses 2-pt shot from 20 ft,,42-39,,
1:27.0,,,42-39,,Defensive rebound by J. Smith
1:12.0,,,42-41,2,J. Calderon makes 2-pt shot from 8 ft (assist by C. Anthony)
0:53.0,S. Ibaka misses 2-pt shot from 9 ft,,42-41,,
0:52.0,,,42-41,,Defensive rebound by J. Smith
0:32.0,,,42-41,,J. Smith misses 2-pt shot from 17 ft
0:31.0,Defensive rebound by R. Westbrook,,42-41,,
0:25.0,R. Westbrook makes 3-pt shot from 26 ft,3,45-41,,
0:04.0,,,45-41,,C. Anthony misses 2-pt shot from 2 ft (block by S. Adams)
0:03.0,,,45-41,,Offensive rebound by C. Anthony
0:01.0,,,45-43,2,C. Anthony makes 2-pt shot from 2 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,45-43,,C. Anthony misses 2-pt shot from 19 ft
11:36.0,,,45-43,,Offensive rebound by L. Amundson
11:35.0,,,45-43,,L. Amundson misses 2-pt shot from 2 ft
11:34.0,,,45-43,,Offensive rebound by L. Amundson
11:34.0,,,45-43,,L. Amundson misses 2-pt shot from 2 ft
11:33.0,Defensive rebound by R. Westbrook,,45-43,,
11:10.0,Turnover by R. Westbrook (bad pass; steal by L. Galloway),,45-43,,
10:56.0,,,45-46,3,C. Anthony makes 3-pt shot from 24 ft (assist by J. Calderon)
10:38.0,S. Ibaka misses 2-pt shot from 19 ft,,45-46,,
10:37.0,,,45-46,,Defensive rebound by L. Galloway
10:36.0,Personal foul by S. Adams (drawn by L. Galloway),,45-46,,
10:18.0,,,45-48,2,J. Smith makes 2-pt shot from 14 ft (assist by J. Calderon)
9:59.0,R. Westbrook misses 2-pt shot from 15 ft,,45-48,,
9:58.0,,,45-48,,Defensive rebound by J. Calderon
9:40.0,,,45-48,,C. Anthony misses 2-pt shot from 19 ft
9:39.0,,,45-48,,Offensive rebound by J. Smith
9:35.0,,,45-48,,L. Galloway misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by S. Ibaka,,45-48,,
9:26.0,,,45-48,,Personal foul by J. Smith (drawn by R. Westbrook)
9:20.0,P. Jones misses 3-pt shot from 24 ft,,45-48,,
9:19.0,,,45-48,,Defensive rebound by J. Calderon
9:08.0,,,45-48,,L. Amundson misses 2-pt shot from 6 ft (block by S. Ibaka)
9:07.0,Defensive rebound by S. Adams,,45-48,,
9:02.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,47-48,,
9:02.0,Shooting foul by L. Amundson (drawn by S. Adams),,47-48,,
9:02.0,S. Adams makes free throw 1 of 1,1,48-48,,
8:45.0,,,48-50,2,C. Anthony makes 2-pt shot from 21 ft (assist by L. Galloway)
8:26.0,R. Westbrook makes 2-pt shot from 2 ft,2,50-50,,
8:26.0,Shooting foul by L. Amundson (drawn by R. Westbrook),,50-50,,
8:26.0,R. Westbrook makes free throw 1 of 1,1,51-50,,
8:13.0,,,51-50,,L. Amundson misses 2-pt shot from 5 ft
8:12.0,Defensive rebound by P. Jones,,51-50,,
8:08.0,R. Westbrook makes 2-pt shot from 2 ft,2,53-50,,
8:08.0,Shooting foul by L. Galloway (drawn by R. Westbrook),,53-50,,
8:08.0,R. Westbrook makes free throw 1 of 1,1,54-50,,
7:49.0,,,54-53,3,L. Galloway makes 3-pt shot from 25 ft (assist by J. Calderon)
7:33.0,S. Ibaka misses 3-pt shot from 24 ft,,54-53,,
7:32.0,,,54-53,,Defensive rebound by L. Galloway
7:28.0,,,54-53,,L. Galloway misses 2-pt shot from 1 ft (block by S. Ibaka)
7:27.0,Defensive rebound by P. Jones,,54-53,,
7:22.0,R. Westbrook makes 3-pt shot from 24 ft,3,57-53,,
6:58.0,,,57-53,,C. Anthony misses 2-pt shot from 20 ft
6:57.0,,,57-53,,Offensive rebound by Team
6:57.0,Loose ball foul by S. Ibaka (drawn by L. Amundson),,57-53,,
6:36.0,,,57-53,,C. Anthony misses 2-pt shot from 2 ft (block by S. Adams)
6:35.0,Defensive rebound by S. Adams,,57-53,,
6:30.0,Turnover by R. Westbrook (lost ball; steal by J. Calderon),,57-53,,
6:26.0,,,57-55,2,C. Anthony makes 2-pt shot at rim (assist by J. Calderon)
6:25.0,Oklahoma City full timeout,,57-55,,
6:25.0,R. Jackson enters the game for A. Roberson,,57-55,,
6:25.0,,,57-55,,L. Thomas enters the game for J. Smith
6:13.0,R. Westbrook misses 2-pt shot from 4 ft,,57-55,,
6:12.0,,,57-55,,Defensive rebound by L. Amundson
5:52.0,,,57-55,,L. Thomas misses 2-pt shot from 9 ft
5:51.0,Defensive rebound by R. Westbrook,,57-55,,
5:46.0,R. Westbrook makes 2-pt shot from 1 ft,2,59-55,,
5:25.0,,,59-57,2,L. Thomas makes 2-pt shot from 17 ft (assist by L. Galloway)
5:03.0,S. Ibaka makes 2-pt shot from 8 ft,2,61-57,,
4:44.0,,,61-57,,C. Anthony misses 2-pt shot from 6 ft
4:43.0,Defensive rebound by S. Adams,,61-57,,
4:35.0,R. Westbrook misses 3-pt shot from 26 ft,,61-57,,
4:34.0,,,61-57,,Defensive rebound by L. Amundson
4:28.0,Personal foul by R. Jackson (drawn by L. Galloway),,61-57,,
4:28.0,N. Collison enters the game for S. Ibaka,,61-57,,
4:22.0,,,61-59,2,L. Thomas makes 2-pt shot from 13 ft (assist by J. Calderon)
4:06.0,S. Adams misses 2-pt shot from 2 ft (block by L. Amundson),,61-59,,
4:05.0,,,61-59,,Defensive rebound by J. Calderon
4:01.0,,,61-59,,L. Galloway misses 2-pt shot from 15 ft
4:00.0,Defensive rebound by R. Jackson,,61-59,,
3:42.0,R. Westbrook misses 2-pt shot from 12 ft,,61-59,,
3:41.0,,,61-59,,Defensive rebound by L. Amundson
3:21.0,,,61-61,2,C. Anthony makes 2-pt shot from 14 ft
3:02.0,,,61-61,,Personal block foul by L. Amundson (drawn by S. Adams)
3:02.0,S. Adams makes free throw 1 of 2,1,62-61,,
3:02.0,D. Waiters enters the game for R. Westbrook,,62-61,,
3:02.0,,,62-61,,J. Smith enters the game for L. Amundson
3:02.0,S. Adams misses free throw 2 of 2,,62-61,,
3:01.0,,,62-61,,Defensive rebound by J. Smith
2:48.0,,,62-61,,New York full timeout
2:48.0,,,62-61,,T. Hardaway enters the game for J. Calderon
2:38.0,,,62-63,2,L. Thomas makes 2-pt shot from 18 ft (assist by J. Smith)
2:18.0,P. Jones misses 3-pt shot from 25 ft,,62-63,,
2:17.0,,,62-63,,Defensive rebound by C. Anthony
2:05.0,,,62-63,,Turnover by C. Anthony (bad pass; steal by R. Jackson)
1:59.0,R. Jackson makes 2-pt shot from 1 ft,2,64-63,,
1:34.0,,,64-63,,L. Galloway misses 3-pt shot from 23 ft
1:33.0,,,64-63,,Offensive rebound by C. Anthony
1:31.0,,,64-65,2,C. Anthony makes 2-pt shot from 15 ft
1:11.0,R. Jackson misses 3-pt shot from 24 ft,,64-65,,
1:10.0,Offensive rebound by N. Collison,,64-65,,
1:03.0,P. Jones misses 2-pt shot at rim,,64-65,,
1:02.0,,,64-65,,Defensive rebound by L. Thomas
0:55.0,,,64-65,,C. Anthony misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by P. Jones,,64-65,,
0:41.0,D. Waiters makes 3-pt shot from 24 ft (assist by P. Jones),3,67-65,,
0:30.0,,,67-68,3,T. Hardaway makes 3-pt shot from 24 ft (assist by C. Anthony)
0:11.0,S. Adams misses 2-pt shot from 3 ft,,67-68,,
0:10.0,,,67-68,,Defensive rebound by C. Anthony
0:03.0,Personal take foul by P. Jones (drawn by C. Anthony),,67-68,,
0:01.0,,,67-68,,L. Galloway misses 3-pt shot from 25 ft
0:00.0,,,67-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Waiters makes 2-pt shot from 20 ft,2,69-68,,
11:27.0,,,69-68,,Turnover by S. Larkin (bad pass)
11:15.0,D. Waiters misses 2-pt shot from 2 ft,,69-68,,
11:14.0,,,69-68,,Defensive rebound by J. Smith
11:03.0,,,69-70,2,J. Smith makes 2-pt shot from 19 ft (assist by S. Larkin)
10:45.0,A. Morrow makes 2-pt shot from 8 ft,2,71-70,,
10:27.0,Personal foul by N. Collison (drawn by S. Larkin),,71-70,,
10:15.0,,,71-70,,T. Hardaway misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by R. Jackson,,71-70,,
10:06.0,D. Waiters misses 3-pt shot from 23 ft,,71-70,,
10:05.0,,,71-70,,Defensive rebound by J. Smith
10:01.0,,,71-70,,Shooting foul by A. Morrow (drawn by T. Hardaway)
10:01.0,,,71-71,1,T. Hardaway makes free throw 1 of 2
10:01.0,,,71-72,1,T. Hardaway makes free throw 2 of 2
9:49.0,R. Jackson misses 2-pt shot from 18 ft,,71-72,,
9:48.0,,,71-72,,Defensive rebound by T. Hardaway
9:41.0,,,71-72,,T. Hardaway misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by Team,,71-72,,
9:17.0,R. Jackson misses 3-pt shot from 25 ft,,71-72,,
9:15.0,Offensive rebound by Team,,71-72,,
9:15.0,Turnover by Team (shot clock),,71-72,,
8:58.0,,,71-72,,Q. Acy misses 2-pt shot from 19 ft
8:57.0,,,71-72,,Offensive rebound by S. Larkin
8:43.0,,,71-74,2,L. Thomas makes 2-pt shot from 21 ft (assist by T. Hardaway)
8:41.0,Oklahoma City full timeout,,71-74,,
8:41.0,R. Westbrook enters the game for R. Jackson,,71-74,,
8:21.0,K. Perkins misses 2-pt shot from 7 ft,,71-74,,
8:20.0,Offensive rebound by N. Collison,,71-74,,
8:17.0,D. Waiters misses 3-pt shot from 24 ft,,71-74,,
8:16.0,,,71-74,,Defensive rebound by Q. Acy
8:10.0,,,71-74,,T. Hardaway misses 2-pt shot from 1 ft
8:09.0,Defensive rebound by N. Collison,,71-74,,
8:00.0,K. Perkins misses 2-pt shot from 2 ft (block by T. Hardaway),,71-74,,
7:59.0,Offensive rebound by Team,,71-74,,
7:59.0,S. Ibaka enters the game for K. Perkins,,71-74,,
7:55.0,N. Collison misses 2-pt shot from 1 ft,,71-74,,
7:54.0,,,71-74,,Defensive rebound by L. Thomas
7:48.0,,,71-74,,Q. Acy misses 2-pt shot from 1 ft
7:47.0,Defensive rebound by S. Ibaka,,71-74,,
7:46.0,,,71-74,,Personal foul by J. Smith (drawn by S. Ibaka)
7:46.0,,,71-74,,C. Anthony enters the game for Q. Acy
7:33.0,R. Westbrook misses 2-pt shot from 15 ft,,71-74,,
7:32.0,Offensive rebound by N. Collison,,71-74,,
7:32.0,N. Collison makes 2-pt shot at rim,2,73-74,,
7:25.0,,,73-77,3,T. Hardaway makes 3-pt shot from 24 ft (assist by L. Thomas)
7:09.0,,,73-77,,Personal foul by J. Smith (drawn by R. Westbrook)
7:09.0,R. Jackson enters the game for D. Waiters,,73-77,,
7:09.0,,,73-77,,L. Galloway enters the game for S. Larkin
7:09.0,,,73-77,,L. Amundson enters the game for J. Smith
6:59.0,R. Westbrook misses 3-pt shot from 28 ft,,73-77,,
6:58.0,,,73-77,,Defensive rebound by L. Thomas
6:42.0,,,73-80,3,T. Hardaway makes 3-pt shot from 23 ft (assist by C. Anthony)
6:40.0,Oklahoma City full timeout,,73-80,,
6:40.0,S. Adams enters the game for N. Collison,,73-80,,
6:26.0,Jump ball: S. Adams vs. L. Thomas (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. L. Thomas (R. Westbrook gains possession)
6:19.0,Turnover by R. Westbrook (bad pass),,73-80,,
6:04.0,,,73-82,2,L. Thomas makes 2-pt shot from 8 ft (assist by T. Hardaway)
5:45.0,Shooting foul by L. Galloway (drawn by R. Westbrook),,73-82,,
5:45.0,R. Westbrook makes free throw 1 of 3,1,74-82,,
5:45.0,R. Westbrook makes free throw 2 of 3,1,75-82,,
5:45.0,R. Westbrook makes free throw 3 of 3,1,76-82,,
5:40.0,,,76-82,,Turnover by L. Galloway (bad pass; steal by R. Westbrook)
5:36.0,Shooting foul by T. Hardaway (drawn by R. Westbrook),,76-82,,
5:36.0,R. Westbrook makes free throw 1 of 2,1,77-82,,
5:36.0,R. Westbrook makes free throw 2 of 2,1,78-82,,
5:14.0,,,78-82,,C. Anthony misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by R. Westbrook,,78-82,,
5:04.0,R. Westbrook makes 2-pt shot from 16 ft,2,80-82,,
5:02.0,,,80-82,,New York full timeout
4:41.0,,,80-84,2,L. Galloway makes 2-pt shot from 20 ft
4:21.0,R. Westbrook misses 3-pt shot from 25 ft,,80-84,,
4:20.0,,,80-84,,Defensive rebound by C. Anthony
4:08.0,,,80-84,,Shooting foul by A. Morrow (drawn by L. Thomas)
4:08.0,,,80-84,,L. Thomas misses free throw 1 of 2
4:08.0,,,80-84,,Offensive rebound by Team
4:08.0,P. Jones enters the game for A. Morrow,,80-84,,
4:08.0,,,80-85,1,L. Thomas makes free throw 2 of 2
3:51.0,R. Westbrook misses 2-pt shot from 2 ft (block by L. Amundson),,80-85,,
3:50.0,,,80-85,,Defensive rebound by L. Galloway
3:36.0,,,80-87,2,C. Anthony makes 2-pt shot from 1 ft
3:35.0,Oklahoma City full timeout,,80-87,,
3:35.0,A. Morrow enters the game for R. Jackson,,80-87,,
3:28.0,P. Jones misses 3-pt shot from 24 ft,,80-87,,
3:27.0,,,80-87,,Defensive rebound by Team
3:12.0,,,80-89,2,C. Anthony makes 2-pt shot from 18 ft (assist by L. Amundson)
2:48.0,R. Westbrook misses 3-pt shot from 25 ft,,80-89,,
2:47.0,,,80-89,,Defensive rebound by C. Anthony
2:35.0,,,80-92,3,T. Hardaway makes 3-pt shot from 24 ft (assist by L. Galloway)
2:23.0,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook),3,83-92,,
