time,Memphis,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. T. Mozgov (K. Faried gains possession),,,,Jump ball: M. Gasol vs. T. Mozgov (K. Faried gains possession)
11:51.0,,,0-0,,Turnover by K. Faried (bad pass; steal by C. Lee)
11:34.0,M. Gasol misses 2-pt shot from 19 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by K. Faried
11:12.0,,,0-2,2,K. Faried makes 2-pt shot from 3 ft
10:54.0,M. Conley makes 2-pt shot from 10 ft (assist by M. Gasol),2,2-2,,
10:36.0,,,2-4,2,A. Afflalo makes 2-pt shot from 14 ft (assist by W. Chandler)
10:14.0,M. Gasol makes 2-pt shot from 12 ft (assist by M. Conley),2,4-4,,
9:57.0,,,4-4,,Turnover by K. Faried (3 sec)
9:44.0,T. Allen makes 2-pt shot from 2 ft,2,6-4,,
9:29.0,,,6-4,,Shooting foul by T. Allen (drawn by W. Chandler)
9:29.0,,,6-5,1,W. Chandler makes free throw 1 of 3
9:29.0,,,6-6,1,W. Chandler makes free throw 2 of 3
9:29.0,,,6-7,1,W. Chandler makes free throw 3 of 3
9:12.0,Turnover by C. Lee (bad pass; steal by T. Lawson),,6-7,,
9:02.0,,,6-9,2,K. Faried makes 2-pt shot at rim (assist by A. Afflalo)
8:40.0,Shooting foul by K. Faried (drawn by M. Gasol),,6-9,,
8:40.0,M. Gasol makes free throw 1 of 2,1,7-9,,
8:40.0,M. Gasol makes free throw 2 of 2,1,8-9,,
8:20.0,,,8-11,2,A. Afflalo makes 2-pt shot from 17 ft
8:04.0,J. Leuer makes 2-pt shot from 22 ft (assist by M. Conley),2,10-11,,
7:55.0,,,10-11,,Turnover by T. Mozgov (traveling)
7:38.0,C. Lee makes 2-pt shot from 10 ft (assist by J. Leuer),2,12-11,,
7:27.0,Personal foul by C. Lee (drawn by A. Afflalo),,12-11,,
7:19.0,,,12-11,,T. Lawson misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by M. Gasol,,12-11,,
7:05.0,J. Leuer misses 2-pt shot from 18 ft,,12-11,,
7:03.0,,,12-11,,Defensive rebound by K. Faried
6:57.0,,,12-11,,K. Faried misses 2-pt shot from 1 ft (block by M. Gasol)
6:56.0,Defensive rebound by M. Conley,,12-11,,
6:51.0,J. Leuer makes 2-pt shot at rim (assist by M. Conley),2,14-11,,
6:30.0,,,14-13,2,W. Chandler makes 2-pt shot from 16 ft
6:05.0,C. Lee misses 3-pt shot from 25 ft,,14-13,,
6:04.0,Offensive rebound by J. Leuer,,14-13,,
5:45.0,M. Gasol misses 2-pt shot from 2 ft,,14-13,,
5:44.0,,,14-13,,Defensive rebound by K. Faried
5:37.0,,,14-15,2,T. Lawson makes 2-pt shot from 21 ft
5:08.0,M. Gasol makes 2-pt shot from 14 ft,2,16-15,,
4:52.0,,,16-17,2,T. Lawson makes 2-pt shot from 15 ft
4:29.0,M. Gasol makes 2-pt shot from 2 ft (assist by J. Leuer),2,18-17,,
4:13.0,,,18-17,,Shooting foul by C. Lee (drawn by A. Afflalo)
4:13.0,,,18-17,,Denver full timeout
4:13.0,K. Koufos enters the game for J. Leuer,,18-17,,
4:13.0,Q. Pondexter enters the game for C. Lee,,18-17,,
4:13.0,,,18-17,,J. Hickson enters the game for K. Faried
4:13.0,,,18-18,1,A. Afflalo makes free throw 1 of 2
4:13.0,,,18-19,1,A. Afflalo makes free throw 2 of 2
3:53.0,M. Conley misses 2-pt shot from 11 ft,,18-19,,
3:52.0,,,18-19,,Defensive rebound by W. Chandler
3:30.0,,,18-19,,A. Afflalo misses 2-pt shot from 21 ft (block by T. Allen)
3:28.0,Defensive rebound by K. Koufos,,18-19,,
3:13.0,M. Gasol makes 2-pt shot from 19 ft (assist by Q. Pondexter),2,20-19,,
2:59.0,,,20-19,,J. Hickson misses 2-pt shot from 5 ft (block by M. Gasol)
2:57.0,Defensive rebound by M. Gasol,,20-19,,
2:47.0,M. Conley makes 2-pt shot from 1 ft,2,22-19,,
2:27.0,,,22-21,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
1:54.0,M. Gasol misses 2-pt shot from 18 ft,,22-21,,
1:53.0,,,22-21,,Defensive rebound by W. Chandler
1:45.0,Memphis full timeout,,22-21,,
1:45.0,T. Prince enters the game for T. Allen,,22-21,,
1:45.0,V. Carter enters the game for M. Gasol,,22-21,,
1:45.0,,,22-21,,J. Nurkic enters the game for W. Chandler
