time,Detroit,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. N. Noel (R. Jackson gains possession)
11:36.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by R. Jackson),3,3-0,,
11:22.0,,,3-0,,N. Noel misses 2-pt shot from 6 ft
11:20.0,Defensive rebound by A. Drummond,,3-0,,
11:04.0,Shooting foul by J. Sampson (drawn by A. Tolliver),,3-0,,
11:04.0,A. Tolliver makes free throw 1 of 2,1,4-0,,
11:04.0,A. Tolliver misses free throw 2 of 2,,4-0,,
11:03.0,,,4-0,,Defensive rebound by L. Mbah a Moute
10:54.0,,,4-2,2,I. Smith makes 2-pt shot from 4 ft
10:44.0,Turnover by R. Jackson (bad pass; steal by N. Noel),,4-2,,
10:35.0,,,4-4,2,N. Noel makes 2-pt shot from 16 ft (assist by I. Smith)
10:23.0,R. Jackson makes 2-pt shot from 19 ft,2,6-4,,
10:03.0,Personal foul by A. Drummond (drawn by N. Noel),,6-4,,
9:57.0,,,6-4,,I. Smith misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by A. Drummond,,6-4,,
9:51.0,C. Butler misses 3-pt shot from 26 ft,,6-4,,
9:48.0,,,6-4,,Defensive rebound by J. Richardson
9:37.0,,,6-6,2,I. Smith makes 2-pt shot from 2 ft (assist by L. Mbah a Moute)
9:24.0,Turnover by K. Caldwell-Pope (bad pass),,6-6,,
9:24.0,Loose ball foul by A. Drummond (drawn by N. Noel),,6-6,,
9:24.0,J. Anthony enters the game for A. Drummond,,6-6,,
9:07.0,,,6-6,,L. Mbah a Moute misses 2-pt shot from 6 ft (block by J. Anthony)
9:05.0,Defensive rebound by K. Caldwell-Pope,,6-6,,
9:00.0,C. Butler misses 3-pt shot from 25 ft,,6-6,,
8:58.0,Offensive rebound by A. Tolliver,,6-6,,
8:56.0,Turnover by A. Tolliver (bad pass; steal by J. Richardson),,6-6,,
8:46.0,,,6-8,2,J. Sampson makes 2-pt shot at rim (assist by L. Mbah a Moute)
8:40.0,Detroit full timeout,,6-8,,
8:29.0,R. Jackson misses 2-pt shot from 6 ft,,6-8,,
8:27.0,Offensive rebound by J. Anthony,,6-8,,
8:26.0,J. Anthony misses 2-pt shot from 3 ft,,6-8,,
8:24.0,,,6-8,,Defensive rebound by L. Mbah a Moute
8:18.0,,,6-8,,Shooting foul by J. Anthony (drawn by L. Mbah a Moute)
8:18.0,,,6-9,1,L. Mbah a Moute makes free throw 1 of 2
8:18.0,,,6-9,,L. Mbah a Moute misses free throw 2 of 2
8:16.0,Defensive rebound by K. Caldwell-Pope,,6-9,,
8:03.0,R. Jackson misses 2-pt shot from 3 ft,,6-9,,
8:01.0,,,6-9,,Defensive rebound by L. Mbah a Moute
7:54.0,,,6-9,,L. Mbah a Moute misses 3-pt shot from 25 ft
7:51.0,,,6-9,,Offensive rebound by J. Richardson
7:29.0,,,6-9,,L. Mbah a Moute misses 2-pt shot from 13 ft
7:27.0,Defensive rebound by R. Jackson,,6-9,,
7:08.0,R. Jackson makes 3-pt shot from 25 ft (assist by J. Anthony),3,9-9,,
6:57.0,,,9-9,,Offensive foul by J. Sampson
6:57.0,,,9-9,,Turnover by J. Sampson (offensive foul)
6:34.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,9-9,,
6:33.0,Offensive rebound by A. Tolliver,,9-9,,
6:22.0,J. Anthony makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,11-9,,
6:07.0,,,11-11,2,N. Noel makes 2-pt shot from 16 ft (assist by J. Richardson)
5:54.0,K. Caldwell-Pope misses 2-pt shot at rim (block by N. Noel),,11-11,,
5:52.0,Offensive rebound by J. Anthony,,11-11,,
5:52.0,J. Anthony makes 2-pt shot from 10 ft,2,13-11,,
5:51.0,,,13-11,,Philadelphia full timeout
5:51.0,,,13-11,,R. Covington enters the game for J. Sampson
5:39.0,,,13-13,2,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute)
5:17.0,R. Jackson misses 3-pt shot from 25 ft,,13-13,,
5:15.0,,,13-13,,Defensive rebound by R. Covington
5:09.0,,,13-13,,Turnover by N. Noel (traveling)
4:53.0,C. Butler makes 2-pt shot from 16 ft (assist by R. Jackson),2,15-13,,
4:43.0,,,15-13,,L. Mbah a Moute misses 2-pt shot from 7 ft (block by J. Anthony)
