time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. M. Plumlee (M. Morris gains possession),,,,Jump ball: M. Gasol vs. M. Plumlee (M. Morris gains possession)
11:32.0,,,0-0,,Turnover by Team (shot clock)
11:13.0,Turnover by M. Gasol (bad pass; steal by G. Dragic),,0-0,,
11:00.0,,,0-2,2,M. Morris makes 2-pt shot from 14 ft
10:43.0,M. Gasol misses 2-pt shot from 15 ft,,0-2,,
10:41.0,,,0-2,,Defensive rebound by E. Bledsoe
10:26.0,,,0-4,2,M. Morris makes 2-pt shot from 15 ft (assist by E. Bledsoe)
10:06.0,T. Allen misses 2-pt shot from 16 ft,,0-4,,
10:03.0,,,0-4,,Defensive rebound by E. Bledsoe
10:00.0,,,0-6,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
9:58.0,Memphis full timeout,,0-6,,
9:46.0,M. Conley makes 2-pt shot from 19 ft,2,2-6,,
9:28.0,,,2-6,,Turnover by E. Bledsoe (back court)
9:11.0,Turnover by T. Allen (bad pass; steal by M. Morris),,2-6,,
9:04.0,,,2-6,,G. Dragic misses 2-pt shot from 17 ft
9:01.0,Defensive rebound by Z. Randolph,,2-6,,
8:47.0,C. Lee makes 3-pt shot from 26 ft (assist by M. Gasol),3,5-6,,
8:27.0,,,5-8,2,M. Morris makes 2-pt shot from 1 ft
8:12.0,M. Gasol misses 2-pt shot from 12 ft,,5-8,,
8:10.0,,,5-8,,Defensive rebound by M. Morris
7:50.0,,,5-11,3,E. Bledsoe makes 3-pt shot from 23 ft (assist by M. Morris)
7:39.0,M. Conley makes 2-pt shot from 1 ft,2,7-11,,
7:26.0,,,7-11,,Turnover by E. Bledsoe (lost ball; steal by M. Gasol)
7:15.0,C. Lee makes 3-pt shot from 23 ft (assist by M. Conley),3,10-11,,
6:50.0,,,10-11,,Shooting foul by M. Gasol (drawn by E. Bledsoe)
6:50.0,,,10-12,1,E. Bledsoe makes free throw 1 of 2
6:50.0,,,10-12,,E. Bledsoe misses free throw 2 of 2
6:49.0,Defensive rebound by M. Gasol,,10-12,,
6:28.0,M. Conley makes 2-pt shot from 18 ft (assist by C. Lee),2,12-12,,
6:28.0,,,12-12,,Away from play foul by M. Morris (drawn by Z. Randolph)
6:28.0,Z. Randolph makes free throw 1 of 1,1,13-12,,
6:14.0,,,13-12,,M. Morris misses 2-pt shot from 14 ft
6:08.0,Defensive rebound by T. Allen,,13-12,,
6:04.0,Z. Randolph makes 2-pt shot from 1 ft,2,15-12,,
6:04.0,Shooting foul by M. Plumlee (drawn by Z. Randolph),,15-12,,
6:04.0,Z. Randolph makes free throw 1 of 1,1,16-12,,
5:52.0,,,16-15,3,M. Morris makes 3-pt shot from 25 ft (assist by G. Dragic)
5:30.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley),2,18-15,,
5:09.0,,,18-15,,Turnover by E. Bledsoe (bad pass; steal by M. Gasol)
5:03.0,T. Allen misses 2-pt shot from 1 ft,,18-15,,
5:01.0,,,18-15,,Defensive rebound by M. Plumlee
4:55.0,,,18-17,2,E. Bledsoe makes 2-pt shot at rim
4:36.0,T. Allen makes 2-pt shot from 1 ft,2,20-17,,
4:22.0,,,20-19,2,G. Dragic makes 2-pt shot from 18 ft
4:07.0,,,20-19,,Violation by M. Morris (kicked ball)
4:07.0,V. Carter enters the game for T. Allen,,20-19,,
4:07.0,,,20-19,,A. Len enters the game for M. Plumlee
4:07.0,,,20-19,,P. Tucker enters the game for M. Morris
3:57.0,V. Carter makes 2-pt shot at rim (assist by M. Gasol),2,22-19,,
3:42.0,,,22-21,2,E. Bledsoe makes 2-pt shot from 1 ft
3:24.0,M. Conley misses 2-pt shot from 17 ft,,22-21,,
3:22.0,,,22-21,,Defensive rebound by E. Bledsoe
3:18.0,,,22-21,,Offensive charge foul by G. Dragic
3:18.0,,,22-21,,Turnover by G. Dragic (offensive foul)
3:02.0,Turnover by M. Gasol (lost ball; steal by P. Tucker),,22-21,,
3:00.0,Personal foul by M. Conley (drawn by P. Tucker),,22-21,,
