time,Toronto,pts.away,score,pts.home,Philadelphia
4:07.0,Shooting foul by I. Smith (drawn by D. DeRozan),,17-13,,
4:07.0,D. DeRozan makes free throw 1 of 1,1,18-13,,
4:01.0,,,18-13,,Shooting foul by G. Vasquez (drawn by I. Smith)
4:01.0,,,18-14,1,I. Smith makes free throw 1 of 2
4:01.0,L. Williams enters the game for G. Vasquez,,18-14,,
4:01.0,,,18-14,,I. Smith misses free throw 2 of 2
4:00.0,Defensive rebound by A. Johnson,,18-14,,
3:46.0,D. DeRozan makes 2-pt shot from 20 ft,2,20-14,,
3:25.0,,,20-14,,H. Thompson misses 3-pt shot from 23 ft
3:23.0,Defensive rebound by D. DeRozan,,20-14,,
3:14.0,A. Johnson misses 2-pt shot from 1 ft,,20-14,,
3:12.0,,,20-14,,Defensive rebound by T. Robinson
3:04.0,Personal foul by D. DeRozan (drawn by H. Thompson),,20-14,,
2:47.0,,,20-16,2,I. Smith makes 2-pt shot from 5 ft (assist by J. Grant)
2:41.0,Shooting foul by T. Robinson (drawn by L. Williams),,20-16,,
2:41.0,Toronto full timeout,,20-16,,
2:41.0,P. Patterson enters the game for J. Valanciunas,,20-16,,
2:41.0,,,20-16,,F. Aldemir enters the game for H. Sims
2:41.0,L. Williams makes free throw 1 of 2,1,21-16,,
2:41.0,L. Williams makes free throw 2 of 2,1,22-16,,
2:26.0,,,22-16,,Turnover by T. Robinson (bad pass)
2:09.0,Shooting foul by F. Aldemir (drawn by D. DeRozan),,22-16,,
2:09.0,D. DeRozan makes free throw 1 of 2,1,23-16,,
2:09.0,D. DeRozan makes free throw 2 of 2,1,24-16,,
1:42.0,,,24-18,2,I. Smith makes 2-pt shot from 9 ft (assist by F. Aldemir)
1:26.0,D. DeRozan makes 2-pt shot from 18 ft,2,26-18,,
1:06.0,,,26-18,,H. Thompson misses 2-pt shot from 5 ft
1:04.0,,,26-18,,Offensive rebound by T. Robinson
1:04.0,,,26-20,2,T. Robinson makes 2-pt shot from 1 ft
0:39.0,Turnover by Team (shot clock),,26-20,,
0:39.0,T. Ross enters the game for J. Johnson,,26-20,,
0:32.0,,,26-22,2,T. Robinson makes 2-pt shot at rim (assist by I. Smith)
0:08.0,L. Williams misses 3-pt shot from 26 ft,,26-22,,
0:06.0,,,26-22,,Defensive rebound by J. Grant
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,L. Williams misses 2-pt shot from 13 ft,,26-22,,
11:45.0,,,26-22,,Defensive rebound by F. Aldemir
11:32.0,,,26-24,2,I. Smith makes 2-pt shot from 1 ft (assist by T. Robinson)
11:15.0,P. Patterson misses 3-pt shot from 26 ft,,26-24,,
11:13.0,,,26-24,,Defensive rebound by I. Smith
11:04.0,,,26-24,,T. Robinson misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by T. Hansbrough,,26-24,,
10:52.0,P. Patterson misses 2-pt shot from 17 ft,,26-24,,
10:50.0,,,26-24,,Defensive rebound by F. Aldemir
10:45.0,,,26-26,2,I. Smith makes 2-pt shot from 1 ft
10:29.0,G. Vasquez makes 2-pt shot from 2 ft,2,28-26,,
10:00.0,,,28-26,,I. Smith misses 3-pt shot from 23 ft
9:58.0,,,28-26,,Offensive rebound by T. Robinson
9:56.0,,,28-28,2,T. Robinson makes 2-pt shot at rim
9:34.0,Shooting foul by F. Aldemir (drawn by T. Hansbrough),,28-28,,
9:34.0,T. Hansbrough misses free throw 1 of 2,,28-28,,
9:34.0,Offensive rebound by Team,,28-28,,
9:34.0,T. Hansbrough misses free throw 2 of 2,,28-28,,
9:33.0,Offensive rebound by P. Patterson,,28-28,,
9:27.0,L. Williams misses 3-pt shot from 25 ft,,28-28,,
9:26.0,,,28-28,,Defensive rebound by T. Robinson
9:19.0,,,28-28,,J. Grant misses 2-pt shot from 2 ft (block by P. Patterson)
9:17.0,,,28-28,,Offensive rebound by Team
8:57.0,,,28-28,,Offensive charge foul by H. Thompson
8:57.0,,,28-28,,Turnover by H. Thompson (offensive foul)
8:57.0,Toronto full timeout,,28-28,,
8:50.0,T. Hansbrough makes 2-pt shot at rim (assist by T. Ross),2,30-28,,
8:27.0,,,30-30,2,F. Aldemir makes 2-pt shot at rim (assist by J. Grant)
8:06.0,P. Patterson misses 3-pt shot from 24 ft,,30-30,,
8:05.0,Offensive rebound by T. Hansbrough,,30-30,,
8:04.0,T. Hansbrough misses 2-pt shot from 4 ft,,30-30,,
8:00.0,,,30-30,,Defensive rebound by I. Smith
7:54.0,,,30-30,,J. Grant misses 3-pt shot from 25 ft
7:52.0,,,30-30,,Offensive rebound by H. Thompson
7:36.0,,,30-32,2,T. Robinson makes 2-pt shot from 14 ft (assist by F. Aldemir)
