time,New York,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. M. Gasol (J. Stokes gains possession),,,,Jump ball: C. Aldrich vs. M. Gasol (J. Stokes gains possession)
11:49.0,,,0-0,,M. Conley misses 2-pt shot from 3 ft
11:48.0,,,0-0,,Offensive rebound by M. Gasol
11:48.0,,,0-0,,M. Gasol misses 2-pt shot at rim (block by J. Smith)
11:46.0,,,0-0,,Offensive rebound by M. Conley
11:35.0,,,0-0,,J. Stokes misses 2-pt shot from 5 ft
11:32.0,Defensive rebound by C. Aldrich,,0-0,,
11:17.0,Turnover by C. Aldrich (bad pass; steal by M. Conley),,0-0,,
11:14.0,,,0-2,2,M. Conley makes 2-pt shot at rim
10:56.0,J. Smith misses 2-pt shot from 17 ft,,0-2,,
10:56.0,,,0-2,,Defensive rebound by C. Lee
10:48.0,,,0-2,,J. Stokes misses 2-pt shot at rim (block by C. Aldrich)
10:45.0,Defensive rebound by J. Smith,,0-2,,
10:41.0,T. Hardaway makes 2-pt shot from 1 ft (assist by J. Calderon),2,2-2,,
10:29.0,,,2-4,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Conley)
10:18.0,T. Hardaway misses 3-pt shot from 23 ft (block by T. Allen),,2-4,,
10:16.0,,,2-4,,Defensive rebound by M. Gasol
10:11.0,,,2-4,,Shooting foul by C. Aldrich (drawn by M. Conley)
10:11.0,,,2-5,1,M. Conley makes free throw 1 of 2
10:11.0,Q. Acy enters the game for C. Aldrich,,2-5,,
10:11.0,,,2-6,1,M. Conley makes free throw 2 of 2
9:55.0,J. Smith misses 2-pt shot from 17 ft,,2-6,,
9:53.0,,,2-6,,Defensive rebound by T. Allen
9:42.0,,,2-8,2,M. Conley makes 2-pt shot from 10 ft
9:27.0,Turnover by J. Smith (lost ball; steal by T. Allen),,2-8,,
9:11.0,,,2-10,2,M. Gasol makes 2-pt shot from 7 ft (assist by M. Conley)
9:04.0,T. Hardaway misses 2-pt shot from 2 ft (block by M. Gasol),,2-10,,
9:01.0,,,2-10,,Defensive rebound by M. Conley
8:52.0,,,2-10,,M. Gasol misses 2-pt shot from 2 ft
8:50.0,Defensive rebound by J. Smith,,2-10,,
8:43.0,J. Smith misses 2-pt shot from 9 ft,,2-10,,
8:42.0,,,2-10,,Defensive rebound by M. Gasol
8:31.0,,,2-10,,Shooting foul by Q. Acy (drawn by M. Gasol)
8:31.0,,,2-11,1,M. Gasol makes free throw 1 of 2
8:31.0,New York full timeout,,2-11,,
8:31.0,,,2-11,,M. Gasol misses free throw 2 of 2
8:30.0,Defensive rebound by Q. Acy,,2-11,,
8:06.0,Turnover by Team (shot clock),,2-11,,
7:54.0,,,2-11,,M. Gasol misses 2-pt shot from 3 ft
7:53.0,Defensive rebound by S. Larkin,,2-11,,
7:44.0,S. Larkin misses 3-pt shot from 25 ft,,2-11,,
7:43.0,Offensive rebound by J. Smith,,2-11,,
7:37.0,T. Hardaway misses 3-pt shot from 24 ft,,2-11,,
7:37.0,,,2-11,,Defensive rebound by M. Gasol
7:24.0,,,2-11,,Turnover by J. Stokes (lost ball)
7:09.0,J. Calderon makes 2-pt shot from 18 ft (assist by S. Larkin),2,4-11,,
6:52.0,,,4-11,,Shooting foul by S. Larkin (drawn by J. Stokes)
6:52.0,,,4-12,1,J. Stokes makes free throw 1 of 2
6:52.0,,,4-12,,J. Stokes misses free throw 2 of 2
6:51.0,Defensive rebound by Q. Acy,,4-12,,
6:39.0,J. Calderon misses 2-pt shot from 17 ft,,4-12,,
6:38.0,,,4-12,,Defensive rebound by Team
6:38.0,P. Prigioni enters the game for S. Larkin,,4-12,,
6:20.0,,,4-14,2,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol)
5:55.0,J. Smith misses 2-pt shot from 18 ft,,4-14,,
5:55.0,,,4-14,,Defensive rebound by C. Lee
5:39.0,,,4-16,2,M. Conley makes 2-pt shot from 7 ft
5:20.0,T. Hardaway makes 3-pt shot from 24 ft (assist by J. Calderon),3,7-16,,
5:07.0,,,7-16,,M. Conley misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by T. Hardaway,,7-16,,
5:02.0,T. Hardaway misses 2-pt shot from 15 ft,,7-16,,
5:00.0,,,7-16,,Defensive rebound by M. Conley
4:57.0,,,7-16,,Turnover by M. Conley (bad pass; steal by P. Prigioni)
4:43.0,J. Smith misses 2-pt shot from 20 ft,,7-16,,
4:43.0,,,7-16,,Defensive rebound by M. Conley
4:29.0,,,7-16,,J. Stokes misses 2-pt shot from 1 ft (block by J. Smith)
4:26.0,Defensive rebound by J. Smith,,7-16,,
4:25.0,Turnover by P. Prigioni (bad pass; steal by T. Allen),,7-16,,
4:22.0,,,7-16,,T. Allen misses 2-pt shot at rim
4:19.0,Defensive rebound by P. Prigioni,,7-16,,
4:17.0,J. Calderon makes 3-pt shot from 24 ft (assist by P. Prigioni),3,10-16,,
4:15.0,,,10-16,,Memphis full timeout
4:15.0,,,10-16,,J. Leuer enters the game for J. Stokes
4:15.0,,,10-16,,B. Udrih enters the game for M. Conley
4:15.0,C. Aldrich enters the game for T. Hardaway,,10-16,,
4:15.0,C. Early enters the game for J. Smith,,10-16,,
3:57.0,,,10-16,,C. Lee misses 2-pt shot from 19 ft
3:55.0,,,10-16,,Offensive rebound by J. Leuer
3:52.0,,,10-16,,C. Lee misses 3-pt shot from 24 ft
3:51.0,Defensive rebound by Team,,10-16,,
3:43.0,C. Early misses 3-pt shot from 24 ft,,10-16,,
3:43.0,,,10-16,,Defensive rebound by B. Udrih
3:30.0,,,10-18,2,T. Allen makes 2-pt shot from 1 ft (assist by J. Leuer)
3:26.0,Turnover by C. Early (traveling),,10-18,,
3:14.0,,,10-18,,Turnover by J. Leuer (3 sec)
3:14.0,T. Wear enters the game for C. Early,,10-18,,
3:01.0,C. Aldrich misses 2-pt shot from 5 ft,,10-18,,
2:59.0,,,10-18,,Defensive rebound by J. Leuer
2:53.0,,,10-18,,J. Leuer misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by T. Wear,,10-18,,
2:34.0,C. Aldrich misses 2-pt shot from 5 ft,,10-18,,
2:31.0,,,10-18,,Defensive rebound by J. Leuer
2:19.0,,,10-18,,M. Gasol misses 2-pt shot from 18 ft
2:18.0,Defensive rebound by Q. Acy,,10-18,,
2:03.0,P. Prigioni makes 2-pt shot from 13 ft (assist by J. Calderon),2,12-18,,
1:47.0,,,12-18,,Turnover by M. Gasol (lost ball; steal by T. Wear)
1:38.0,T. Wear misses 2-pt shot from 19 ft,,12-18,,
1:37.0,,,12-18,,Defensive rebound by T. Allen
1:26.0,,,12-18,,M. Gasol misses 2-pt shot from 3 ft
1:25.0,Defensive rebound by C. Aldrich,,12-18,,
1:24.0,Turnover by C. Aldrich (bad pass),,12-18,,
1:24.0,,,12-18,,T. Prince enters the game for M. Gasol
1:24.0,S. Larkin enters the game for J. Calderon,,12-18,,
1:24.0,,,12-18,,K. Koufos enters the game for T. Allen
1:09.0,,,12-18,,B. Udrih misses 2-pt shot from 9 ft
1:08.0,Defensive rebound by Q. Acy,,12-18,,
0:54.0,P. Prigioni misses 3-pt shot from 24 ft,,12-18,,
0:53.0,Offensive rebound by Q. Acy,,12-18,,
0:42.0,,,12-18,,Personal foul by K. Koufos (drawn by P. Prigioni)
0:36.0,S. Larkin makes 2-pt shot from 17 ft,2,14-18,,
0:22.0,,,14-20,2,B. Udrih makes 2-pt shot from 4 ft
0:22.0,,,14-20,,Shooting foul by S. Larkin (drawn by B. Udrih)
0:22.0,T. Hardaway enters the game for S. Larkin,,14-20,,
0:22.0,,,14-21,1,B. Udrih makes free throw 1 of 1
0:02.0,Q. Acy misses 3-pt shot from 23 ft,,14-21,,
0:00.0,,,14-21,,Defensive rebound by K. Koufos
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Hardaway misses 3-pt shot from 27 ft,,14-21,,
11:42.0,,,14-21,,Defensive rebound by K. Koufos
11:26.0,,,14-21,,K. Koufos misses 2-pt shot from 5 ft
11:25.0,Defensive rebound by T. Wear,,14-21,,
11:14.0,T. Hardaway misses 3-pt shot from 25 ft,,14-21,,
11:14.0,Offensive rebound by Team,,14-21,,
11:14.0,,,14-21,,Personal foul by Q. Pondexter (drawn by C. Early)
11:09.0,T. Wear misses 2-pt shot from 19 ft,,14-21,,
11:08.0,,,14-21,,Defensive rebound by K. Koufos
10:59.0,,,14-21,,B. Udrih misses 2-pt shot from 14 ft
10:58.0,Defensive rebound by T. Hardaway,,14-21,,
10:39.0,P. Prigioni makes 2-pt shot from 17 ft,2,16-21,,
10:19.0,,,16-21,,Turnover by B. Udrih (traveling)
9:56.0,C. Early makes 2-pt shot from 20 ft (assist by T. Wear),2,18-21,,
9:39.0,,,18-21,,Shooting foul by C. Early (drawn by B. Udrih)
9:39.0,,,18-22,1,B. Udrih makes free throw 1 of 2
9:39.0,,,18-22,,B. Udrih misses free throw 2 of 2
9:38.0,Defensive rebound by Q. Acy,,18-22,,
9:19.0,T. Wear makes 2-pt shot from 20 ft (assist by Q. Acy),2,20-22,,
9:05.0,Personal foul by C. Early (drawn by V. Carter),,20-22,,
8:52.0,,,20-22,,T. Prince misses 2-pt shot from 7 ft
8:51.0,Defensive rebound by Q. Acy,,20-22,,
8:29.0,T. Wear misses 3-pt shot from 28 ft,,20-22,,
8:29.0,,,20-22,,Defensive rebound by T. Prince
8:14.0,,,20-22,,Turnover by K. Koufos (lost ball; steal by Q. Acy)
7:57.0,Q. Acy makes 2-pt shot from 1 ft (assist by P. Prigioni),2,22-22,,
7:32.0,,,22-22,,B. Udrih misses 3-pt shot from 25 ft
7:30.0,,,22-22,,Offensive rebound by Q. Pondexter
7:30.0,,,22-24,2,Q. Pondexter makes 2-pt shot at rim
7:17.0,New York full timeout,,22-24,,
7:17.0,,,22-24,,M. Gasol enters the game for B. Udrih
7:17.0,,,22-24,,M. Conley enters the game for K. Koufos
7:17.0,C. Aldrich enters the game for Q. Acy,,22-24,,
7:17.0,J. Calderon enters the game for P. Prigioni,,22-24,,
7:03.0,C. Aldrich misses 2-pt shot from 5 ft,,22-24,,
7:01.0,Offensive rebound by Team,,22-24,,
6:51.0,Turnover by T. Wear (bad pass; steal by T. Prince),,22-24,,
6:30.0,,,22-24,,V. Carter misses 2-pt shot from 2 ft
6:28.0,Defensive rebound by C. Aldrich,,22-24,,
6:26.0,Shooting foul by Q. Pondexter (drawn by T. Hardaway),,22-24,,
6:26.0,T. Hardaway makes free throw 1 of 2,1,23-24,,
6:26.0,S. Larkin enters the game for T. Wear,,23-24,,
6:26.0,T. Hardaway makes free throw 2 of 2,1,24-24,,
6:10.0,,,24-26,2,Q. Pondexter makes 2-pt shot from 15 ft (assist by M. Gasol)
5:54.0,J. Calderon makes 3-pt shot from 23 ft (assist by C. Aldrich),3,27-26,,
5:36.0,,,27-26,,M. Gasol misses 2-pt shot from 19 ft
5:36.0,Defensive rebound by C. Early,,27-26,,
5:14.0,New York full timeout,,27-26,,
5:10.0,J. Calderon makes 2-pt shot from 19 ft (assist by T. Hardaway),2,29-26,,
4:46.0,,,29-29,3,V. Carter makes 3-pt shot from 25 ft (assist by T. Prince)
4:36.0,C. Early misses 3-pt shot from 22 ft,,29-29,,
4:35.0,,,29-29,,Defensive rebound by T. Prince
4:30.0,,,29-29,,Offensive foul by M. Gasol
4:30.0,,,29-29,,Turnover by M. Gasol (offensive foul)
4:20.0,S. Larkin misses 3-pt shot from 25 ft,,29-29,,
4:19.0,Offensive rebound by C. Early,,29-29,,
4:17.0,C. Early misses 2-pt shot from 2 ft,,29-29,,
4:13.0,,,29-29,,Defensive rebound by M. Gasol
4:02.0,,,29-29,,V. Carter misses 2-pt shot from 15 ft
4:01.0,Defensive rebound by S. Larkin,,29-29,,
3:43.0,J. Calderon misses 2-pt shot from 20 ft (block by V. Carter),,29-29,,
3:41.0,,,29-29,,Defensive rebound by M. Gasol
3:32.0,,,29-31,2,T. Prince makes 2-pt shot from 5 ft
3:09.0,C. Early misses 2-pt shot from 16 ft,,29-31,,
3:09.0,,,29-31,,Defensive rebound by T. Prince
3:01.0,,,29-33,2,M. Gasol makes 2-pt shot at rim (assist by T. Prince)
3:01.0,,,29-33,,Shooting foul by C. Aldrich (drawn by M. Gasol)
3:01.0,,,29-33,,T. Allen enters the game for Q. Pondexter
3:01.0,J. Smith enters the game for C. Aldrich,,29-33,,
3:01.0,,,29-34,1,M. Gasol makes free throw 1 of 1
2:39.0,Turnover by T. Hardaway (bad pass; steal by T. Allen),,29-34,,
2:34.0,,,29-36,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
2:26.0,New York full timeout,,29-36,,
2:26.0,,,29-36,,Memphis full timeout
2:26.0,Q. Acy enters the game for T. Hardaway,,29-36,,
2:26.0,P. Prigioni enters the game for C. Early,,29-36,,
2:12.0,Offensive foul by J. Smith,,29-36,,
2:12.0,Turnover by J. Smith (offensive foul),,29-36,,
1:57.0,,,29-36,,Shooting foul by J. Smith (drawn by M. Gasol)
1:57.0,,,29-37,1,M. Gasol makes free throw 1 of 2
1:57.0,,,29-38,1,M. Gasol makes free throw 2 of 2
1:41.0,Q. Acy makes 2-pt shot from 4 ft (assist by P. Prigioni),2,31-38,,
1:27.0,,,31-40,2,T. Prince makes 2-pt shot from 17 ft
1:13.0,J. Smith misses 2-pt shot from 2 ft (block by M. Gasol),,31-40,,
1:11.0,,,31-40,,Defensive rebound by M. Gasol
1:03.0,,,31-42,2,T. Prince makes 2-pt shot from 1 ft (assist by M. Gasol)
0:48.0,Q. Acy makes 3-pt shot from 23 ft (assist by J. Calderon),3,34-42,,
0:30.0,,,34-44,2,T. Prince makes 2-pt shot from 2 ft
0:09.0,Shooting foul by V. Carter (drawn by Q. Acy),,34-44,,
0:09.0,Q. Acy makes free throw 1 of 2,1,35-44,,
0:09.0,,,35-44,,C. Lee enters the game for T. Allen
0:09.0,Q. Acy makes free throw 2 of 2,1,36-44,,
0:01.0,,,36-47,3,V. Carter makes 3-pt shot from 24 ft (assist by M. Conley)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,C. Aldrich makes 2-pt shot from 2 ft,2,38-47,,
11:45.0,,,38-47,,Shooting block foul by J. Stokes (drawn by C. Aldrich)
11:45.0,C. Aldrich makes free throw 1 of 1,1,39-47,,
11:31.0,,,39-49,2,C. Lee makes 2-pt shot from 16 ft
11:22.0,,,39-49,,Personal foul by T. Allen (drawn by S. Larkin)
11:09.0,Turnover by S. Larkin (bad pass; steal by T. Allen),,39-49,,
11:06.0,,,39-49,,T. Allen misses 2-pt shot at rim
11:04.0,,,39-49,,Offensive rebound by M. Conley
11:04.0,,,39-51,2,M. Conley makes 2-pt shot from 1 ft
10:51.0,J. Smith makes 2-pt shot from 16 ft (assist by S. Larkin),2,41-51,,
10:37.0,Personal foul by C. Aldrich (drawn by M. Gasol),,41-51,,
10:28.0,,,41-53,2,C. Lee makes 2-pt shot from 19 ft (assist by M. Conley)
10:03.0,C. Aldrich makes 2-pt shot from 7 ft (assist by S. Larkin),2,43-53,,
9:49.0,,,43-55,2,C. Lee makes 2-pt shot from 17 ft
9:35.0,J. Smith makes 2-pt shot from 19 ft (assist by C. Aldrich),2,45-55,,
9:14.0,,,45-55,,M. Gasol misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by J. Smith,,45-55,,
9:01.0,T. Hardaway makes 2-pt shot from 17 ft,2,47-55,,
8:41.0,,,47-57,2,M. Gasol makes 2-pt shot from 2 ft (assist by M. Conley)
8:25.0,Shooting foul by J. Stokes (drawn by J. Smith),,47-57,,
8:25.0,J. Smith makes free throw 1 of 2,1,48-57,,
8:25.0,,,48-57,,T. Prince enters the game for J. Stokes
8:25.0,J. Smith makes free throw 2 of 2,1,49-57,,
8:05.0,,,49-60,3,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol)
7:41.0,T. Hardaway misses 3-pt shot from 27 ft,,49-60,,
7:41.0,,,49-60,,Defensive rebound by M. Conley
7:22.0,,,49-60,,Turnover by M. Gasol (lost ball)
7:21.0,,,49-60,,Violation by M. Gasol (kicked ball)
