time,Cleveland,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. T. Mozgov (D. Motiejunas gains possession),,,,Jump ball: T. Jones vs. T. Mozgov (D. Motiejunas gains possession)
11:49.0,,,0-0,,T. Ariza misses 3-pt shot from 24 ft
11:48.0,Defensive rebound by T. Mozgov,,0-0,,
11:30.0,L. James makes 2-pt shot at rim,2,2-0,,
11:12.0,,,2-0,,J. Harden misses 2-pt shot from 20 ft
11:11.0,Defensive rebound by L. James,,2-0,,
11:05.0,J. Smith misses 2-pt shot at rim,,2-0,,
11:05.0,,,2-0,,Defensive rebound by T. Jones
10:57.0,,,2-3,3,D. Motiejunas makes 3-pt shot from 25 ft (assist by T. Ariza)
10:38.0,K. Love misses 2-pt shot from 8 ft,,2-3,,
10:37.0,,,2-3,,Defensive rebound by T. Ariza
10:26.0,,,2-5,2,J. Harden makes 2-pt shot at rim
10:05.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,5-5,,
9:49.0,,,5-5,,Turnover by D. Motiejunas (lost ball)
9:29.0,L. James misses 2-pt shot from 8 ft,,5-5,,
9:27.0,Offensive rebound by T. Mozgov,,5-5,,
9:27.0,T. Mozgov makes 2-pt shot at rim,2,7-5,,
9:15.0,,,7-5,,D. Motiejunas misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by K. Love,,7-5,,
8:58.0,T. Mozgov makes 2-pt shot from 4 ft,2,9-5,,
8:53.0,,,9-5,,Turnover by P. Beverley (bad pass)
8:43.0,T. Mozgov makes 2-pt shot from 8 ft (assist by K. Love),2,11-5,,
8:30.0,,,11-8,3,J. Harden makes 3-pt shot from 24 ft
8:13.0,K. Love misses 3-pt shot from 24 ft,,11-8,,
8:11.0,Offensive rebound by J. Smith,,11-8,,
8:07.0,M. Dellavedova misses 3-pt shot from 24 ft,,11-8,,
8:05.0,,,11-8,,Defensive rebound by D. Motiejunas
7:58.0,,,11-8,,J. Harden misses 2-pt shot from 1 ft (block by L. James)
7:56.0,,,11-8,,Offensive rebound by T. Jones
7:54.0,,,11-8,,T. Jones misses 2-pt shot at rim
7:53.0,,,11-8,,Offensive rebound by J. Harden
7:43.0,,,11-11,3,P. Beverley makes 3-pt shot from 24 ft
7:22.0,L. James makes 2-pt shot from 1 ft,2,13-11,,
7:08.0,,,13-11,,P. Beverley misses 3-pt shot from 23 ft
7:05.0,,,13-11,,Offensive rebound by J. Harden
7:04.0,,,13-11,,J. Harden misses 2-pt shot from 5 ft
7:03.0,Defensive rebound by J. Smith,,13-11,,
6:42.0,T. Mozgov misses 2-pt shot from 18 ft,,13-11,,
6:42.0,,,13-11,,Defensive rebound by Team
6:42.0,Offensive foul by K. Love,,13-11,,
6:27.0,,,13-13,2,D. Motiejunas makes 2-pt shot from 6 ft
6:12.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,15-13,,
5:54.0,,,15-13,,Turnover by J. Harden (lost ball; steal by L. James)
5:52.0,,,15-13,,Houston full timeout
5:52.0,I. Shumpert enters the game for L. James,,15-13,,
5:40.0,K. Love misses 2-pt shot from 21 ft,,15-13,,
5:39.0,Offensive rebound by K. Love,,15-13,,
5:34.0,I. Shumpert misses 3-pt shot from 23 ft,,15-13,,
5:32.0,Offensive rebound by K. Love,,15-13,,
5:18.0,T. Mozgov misses 2-pt shot from 5 ft,,15-13,,
5:17.0,,,15-13,,Defensive rebound by T. Jones
5:06.0,,,15-13,,J. Harden misses 3-pt shot from 22 ft
5:04.0,Defensive rebound by K. Love,,15-13,,
4:50.0,Turnover by T. Mozgov (bad pass; steal by T. Ariza),,15-13,,
4:39.0,,,15-16,3,D. Motiejunas makes 3-pt shot from 24 ft (assist by J. Harden)
4:22.0,Turnover by M. Dellavedova (bad pass; steal by T. Ariza),,15-16,,
4:17.0,,,15-18,2,T. Ariza makes 2-pt shot at rim
3:55.0,J. Smith misses 2-pt shot at rim,,15-18,,
3:54.0,,,15-18,,Defensive rebound by T. Ariza
3:47.0,,,15-20,2,J. Harden makes 2-pt shot from 1 ft (assist by P. Beverley)
3:44.0,,,15-20,,Clear path foul by T. Ariza
3:44.0,J. Smith makes clear path free throw 1 of 2,1,16-20,,
3:44.0,J. Smith misses clear path free throw 2 of 2,,16-20,,
3:44.0,Offensive rebound by Team,,16-20,,
3:44.0,,,16-20,,J. Smith enters the game for T. Jones
