time,San Antonio,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Favors,,,,Jump ball: T. Duncan vs. D. Favors
11:46.0,Turnover by K. Leonard (lost ball),,0-0,,
11:36.0,,,0-0,,Turnover by T. Burke (bad pass; steal by K. Leonard)
11:30.0,M. Bonner makes 2-pt shot from 10 ft (assist by K. Leonard),2,2-0,,
11:09.0,,,2-2,2,E. Kanter makes 2-pt shot from 18 ft (assist by G. Hayward)
10:55.0,C. Joseph misses 2-pt shot from 10 ft,,2-2,,
10:49.0,,,2-2,,Defensive rebound by A. Burks
10:40.0,,,2-2,,D. Favors misses 2-pt shot from 15 ft
10:38.0,Defensive rebound by T. Duncan,,2-2,,
10:30.0,D. Green makes 3-pt shot from 25 ft (assist by T. Duncan),3,5-2,,
10:04.0,,,5-2,,T. Burke misses 2-pt shot from 16 ft (block by C. Joseph)
10:02.0,Defensive rebound by M. Bonner,,5-2,,
9:54.0,M. Bonner misses 2-pt shot from 6 ft,,5-2,,
9:52.0,,,5-2,,Defensive rebound by E. Kanter
9:38.0,,,5-2,,A. Burks misses 2-pt shot from 10 ft
9:36.0,Defensive rebound by D. Green,,5-2,,
9:31.0,Turnover by T. Duncan (traveling),,5-2,,
9:18.0,,,5-4,2,T. Burke makes 2-pt shot from 18 ft
8:55.0,K. Leonard misses 2-pt shot from 18 ft,,5-4,,
8:54.0,,,5-4,,Defensive rebound by D. Favors
8:38.0,,,5-4,,A. Burks misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by T. Duncan,,5-4,,
8:29.0,,,5-4,,Personal foul by G. Hayward (drawn by K. Leonard)
8:17.0,K. Leonard misses 2-pt shot from 5 ft,,5-4,,
8:16.0,,,5-4,,Defensive rebound by A. Burks
8:04.0,,,5-6,2,E. Kanter makes 2-pt shot from 8 ft
7:43.0,C. Joseph misses 2-pt shot from 2 ft,,5-6,,
7:42.0,Offensive rebound by T. Duncan,,5-6,,
7:42.0,T. Duncan makes 2-pt shot from 2 ft,2,7-6,,
7:30.0,,,7-6,,Turnover by G. Hayward (traveling)
7:16.0,T. Duncan makes 2-pt shot from 7 ft,2,9-6,,
6:57.0,,,9-8,2,A. Burks makes 2-pt shot from 2 ft
6:40.0,T. Duncan misses 2-pt shot from 3 ft (block by D. Favors),,9-8,,
6:38.0,,,9-8,,Defensive rebound by E. Kanter
6:31.0,,,9-8,,G. Hayward misses 3-pt shot from 24 ft
6:30.0,,,9-8,,Offensive rebound by E. Kanter
6:25.0,Personal foul by C. Joseph (drawn by T. Burke),,9-8,,
6:25.0,M. Ginobili enters the game for D. Green,,9-8,,
