time,Cleveland,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Garnett vs. A. Varejao (D. Williams gains possession),,,,Jump ball: K. Garnett vs. A. Varejao (D. Williams gains possession)
11:47.0,Personal foul by S. Marion (drawn by K. Garnett),,0-0,,
11:41.0,,,0-3,3,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Williams)
11:23.0,K. Love makes 2-pt shot from 15 ft (assist by L. James),2,2-3,,
11:07.0,,,2-5,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by M. Teletovic)
10:51.0,K. Love makes 2-pt shot from 19 ft,2,4-5,,
10:40.0,,,4-5,,B. Bogdanovic misses 3-pt shot from 24 ft
10:38.0,,,4-5,,Offensive rebound by B. Bogdanovic
10:29.0,,,4-7,2,D. Williams makes 2-pt shot from 1 ft
10:23.0,K. Irving misses 2-pt shot from 1 ft,,4-7,,
10:22.0,,,4-7,,Defensive rebound by M. Teletovic
10:15.0,,,4-10,3,D. Williams makes 3-pt shot from 24 ft (assist by M. Teletovic)
9:48.0,L. James makes 3-pt shot from 25 ft,3,7-10,,
9:37.0,,,7-10,,M. Teletovic misses 3-pt shot from 27 ft
9:36.0,Defensive rebound by S. Marion,,7-10,,
9:25.0,K. Love misses 2-pt shot from 12 ft,,7-10,,
9:23.0,,,7-10,,Defensive rebound by K. Garnett
9:15.0,,,7-12,2,M. Teletovic makes 2-pt shot from 3 ft (assist by D. Williams)
8:53.0,S. Marion misses 2-pt shot from 9 ft,,7-12,,
8:52.0,,,7-12,,Defensive rebound by K. Garnett
8:42.0,,,7-12,,D. Williams misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by A. Varejao,,7-12,,
8:18.0,K. Irving misses 3-pt shot from 24 ft,,7-12,,
8:17.0,Offensive rebound by Team,,7-12,,
8:03.0,A. Varejao misses 2-pt shot at rim,,7-12,,
8:03.0,Offensive rebound by A. Varejao,,7-12,,
7:59.0,S. Marion misses 3-pt shot from 22 ft,,7-12,,
7:58.0,,,7-12,,Defensive rebound by A. Anderson
7:53.0,,,7-14,2,A. Anderson makes 2-pt shot from 1 ft
7:45.0,Cleveland full timeout,,7-14,,
7:28.0,L. James misses 2-pt shot from 17 ft,,7-14,,
7:27.0,Offensive rebound by A. Varejao,,7-14,,
