time,Charlotte,pts.away,score,pts.home,Indiana
0:37.0,Charlotte full timeout,,86-86,,
0:37.0,M. Williams enters the game for J. Maxiell,,86-86,,
0:19.0,M. Williams misses 2-pt shot from 19 ft,,86-86,,
0:18.0,,,86-86,,Defensive rebound by S. Hill
0:18.0,,,86-86,,Indiana full timeout
0:18.0,J. Maxiell enters the game for B. Roberts,,86-86,,
0:18.0,,,86-86,,C. Copeland enters the game for R. Hibbert
0:18.0,G. Henderson enters the game for A. Jefferson,,86-86,,
0:01.0,,,86-86,,R. Stuckey misses 2-pt shot from 17 ft
0:01.0,,,86-86,,Offensive rebound by S. Hill
0:00.0,,,86-88,2,S. Hill makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
