time,Utah,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Lopez (D. Exum gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (D. Exum gains possession)
11:42.0,T. Booker makes 3-pt shot from 23 ft (assist by R. Hood),3,3-0,,
11:17.0,,,3-2,2,C. McCollum makes 2-pt shot from 14 ft
10:56.0,J. Ingles misses 2-pt shot from 1 ft,,3-2,,
10:55.0,,,3-2,,Defensive rebound by M. Leonard
10:45.0,,,3-2,,R. Lopez misses 2-pt shot from 2 ft
10:44.0,Defensive rebound by R. Gobert,,3-2,,
10:32.0,R. Gobert misses 2-pt shot at rim,,3-2,,
10:29.0,,,3-2,,Defensive rebound by C. McCollum
10:19.0,,,3-2,,M. Leonard misses 3-pt shot from 25 ft
10:18.0,Defensive rebound by J. Ingles,,3-2,,
10:04.0,T. Booker makes 3-pt shot from 26 ft (assist by J. Ingles),3,6-2,,
9:46.0,,,6-2,,C. McCollum misses 3-pt shot from 28 ft
9:45.0,Defensive rebound by T. Booker,,6-2,,
9:26.0,Shooting foul by M. Leonard (drawn by T. Booker),,6-2,,
9:26.0,T. Booker misses free throw 1 of 2,,6-2,,
9:26.0,Offensive rebound by Team,,6-2,,
9:26.0,T. Booker makes free throw 2 of 2,1,7-2,,
9:09.0,,,7-2,,Turnover by M. Leonard (lost ball; steal by T. Booker)
9:04.0,R. Hood makes 2-pt shot from 1 ft,2,9-2,,
8:39.0,,,9-2,,N. Batum misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by R. Gobert,,9-2,,
8:27.0,T. Booker makes 2-pt shot from 17 ft (assist by R. Hood),2,11-2,,
8:10.0,,,11-4,2,R. Lopez makes 2-pt shot from 18 ft (assist by N. Batum)
7:47.0,J. Ingles misses 3-pt shot from 27 ft,,11-4,,
7:46.0,Offensive rebound by T. Booker,,11-4,,
7:46.0,T. Booker misses 2-pt shot from 1 ft,,11-4,,
7:45.0,Offensive rebound by Team,,11-4,,
