time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. J. Thompson (D. Green gains possession),,,,Jump ball: F. Ezeli vs. J. Thompson (D. Green gains possession)
11:49.0,,,0-0,,Turnover by K. Thompson (bad pass; steal by D. Collison)
11:42.0,J. Thompson makes 2-pt shot from 2 ft (assist by D. Collison),2,2-0,,
11:32.0,,,2-0,,H. Barnes misses 3-pt shot from 23 ft
11:31.0,Defensive rebound by D. Cousins,,2-0,,
11:24.0,R. Gay misses 2-pt shot from 17 ft,,2-0,,
11:23.0,Offensive rebound by J. Thompson,,2-0,,
11:19.0,D. Collison misses 3-pt shot from 27 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by D. Green
11:10.0,Personal foul by D. Collison (drawn by D. Green),,2-0,,
11:03.0,,,2-2,2,F. Ezeli makes 2-pt shot from 2 ft (assist by K. Thompson)
10:44.0,D. Cousins misses 2-pt shot from 10 ft,,2-2,,
10:44.0,,,2-2,,Defensive rebound by D. Green
10:44.0,Personal foul by J. Thompson (drawn by D. Green),,2-2,,
10:24.0,,,2-4,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
10:13.0,Turnover by D. Collison (bad pass; steal by S. Curry),,2-4,,
10:08.0,,,2-4,,S. Curry misses 3-pt shot from 29 ft
10:06.0,,,2-4,,Offensive rebound by F. Ezeli
10:06.0,,,2-6,2,F. Ezeli makes 2-pt shot from 1 ft
9:48.0,D. Cousins misses 2-pt shot from 13 ft,,2-6,,
9:47.0,,,2-6,,Defensive rebound by D. Green
9:34.0,,,2-6,,D. Green misses 2-pt shot from 15 ft
9:32.0,Defensive rebound by B. McLemore,,2-6,,
9:19.0,B. McLemore misses 3-pt shot from 26 ft,,2-6,,
9:17.0,,,2-6,,Defensive rebound by F. Ezeli
9:05.0,,,2-9,3,H. Barnes makes 3-pt shot from 27 ft (assist by D. Green)
8:59.0,Sacramento full timeout,,2-9,,
8:49.0,R. Gay misses 2-pt shot from 18 ft,,2-9,,
8:48.0,Offensive rebound by R. Gay,,2-9,,
8:47.0,R. Gay makes 2-pt shot from 12 ft,2,4-9,,
8:35.0,,,4-9,,Turnover by H. Barnes (lost ball; steal by D. Cousins)
8:26.0,D. Cousins misses 2-pt shot from 2 ft (block by D. Green),,4-9,,
8:25.0,,,4-9,,Defensive rebound by D. Green
8:16.0,,,4-9,,H. Barnes misses 2-pt shot from 2 ft (block by J. Thompson)
8:14.0,,,4-9,,Offensive rebound by H. Barnes
8:13.0,,,4-9,,Turnover by H. Barnes (bad pass; steal by B. McLemore)
8:08.0,D. Collison makes 2-pt shot from 18 ft (assist by B. McLemore),2,6-9,,
7:58.0,,,6-9,,K. Thompson misses 3-pt shot from 25 ft
7:57.0,Defensive rebound by D. Cousins,,6-9,,
7:45.0,Turnover by J. Thompson (lost ball),,6-9,,
7:36.0,,,6-9,,K. Thompson misses 2-pt shot from 22 ft
7:35.0,Defensive rebound by D. Cousins,,6-9,,
7:22.0,B. McLemore makes 3-pt shot from 26 ft (assist by D. Collison),3,9-9,,
7:11.0,,,9-9,,S. Curry misses 2-pt shot from 10 ft
7:11.0,Defensive rebound by Team,,9-9,,
7:11.0,,,9-9,,Personal foul by F. Ezeli (drawn by D. Cousins)
7:11.0,D. Williams enters the game for J. Thompson,,9-9,,
6:57.0,D. Cousins makes 2-pt shot from 17 ft (assist by B. McLemore),2,11-9,,
6:48.0,,,11-9,,D. Green misses 3-pt shot from 26 ft
6:47.0,,,11-9,,Offensive rebound by H. Barnes
6:34.0,Violation by D. Cousins (def goaltending),,11-9,,
6:34.0,,,11-11,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Thompson)
6:19.0,Shooting foul by D. Green (drawn by D. Cousins),,11-11,,
6:19.0,D. Cousins misses free throw 1 of 2,,11-11,,
6:19.0,Offensive rebound by Team,,11-11,,
6:19.0,,,11-11,,A. Iguodala enters the game for H. Barnes
6:19.0,D. Cousins makes free throw 2 of 2,1,12-11,,
6:08.0,,,12-11,,K. Thompson misses 2-pt shot from 10 ft
6:07.0,,,12-11,,Offensive rebound by Team
6:05.0,,,12-13,2,K. Thompson makes 2-pt shot from 16 ft (assist by S. Curry)
5:50.0,,,12-13,,Violation by A. Iguodala (kicked ball)
5:50.0,,,12-13,,M. Speights enters the game for F. Ezeli
5:39.0,D. Cousins misses 2-pt shot from 11 ft,,12-13,,
5:38.0,,,12-13,,Defensive rebound by K. Thompson
5:27.0,,,12-15,2,M. Speights makes 2-pt shot from 18 ft (assist by D. Green)
5:11.0,D. Cousins makes 2-pt shot from 2 ft,2,14-15,,
5:02.0,,,14-15,,M. Speights misses 2-pt shot from 19 ft
5:01.0,Defensive rebound by R. Gay,,14-15,,
4:54.0,Turnover by R. Gay (lost ball; steal by D. Green),,14-15,,
4:48.0,,,14-17,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
4:34.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,16-17,,
4:22.0,,,16-17,,Turnover by S. Curry (bad pass)
4:22.0,J. Thompson enters the game for D. Cousins,,16-17,,
4:22.0,O. Casspi enters the game for R. Gay,,16-17,,
4:13.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Collison),2,18-17,,
3:54.0,,,18-20,3,A. Iguodala makes 3-pt shot from 26 ft (assist by M. Speights)
3:35.0,D. Williams misses 2-pt shot from 17 ft,,18-20,,
3:33.0,,,18-20,,Defensive rebound by M. Speights
3:23.0,,,18-23,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Curry)
