time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. N. Pekovic (D. Gallinari gains possession),,,,Jump ball: K. Faried vs. N. Pekovic (D. Gallinari gains possession)
11:50.0,,,0-0,,Personal foul by K. Martin (drawn by K. Faried)
11:40.0,D. Gallinari misses 2-pt shot from 3 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Garnett
11:23.0,,,0-2,2,N. Pekovic makes 2-pt shot from 5 ft
10:59.0,R. Foye makes 2-pt shot from 2 ft,2,2-2,,
10:41.0,,,2-4,2,K. Garnett makes 2-pt shot from 11 ft
10:32.0,T. Lawson misses 2-pt shot from 2 ft,,2-4,,
10:31.0,,,2-4,,Defensive rebound by K. Martin
10:24.0,,,2-4,,Shooting foul by W. Chandler (drawn by A. Wiggins)
10:24.0,,,2-4,,A. Wiggins misses free throw 1 of 2
10:24.0,,,2-4,,Offensive rebound by Team
10:24.0,,,2-4,,A. Wiggins misses free throw 2 of 2
10:24.0,Defensive rebound by K. Faried,,2-4,,
10:13.0,D. Gallinari misses 3-pt shot from 25 ft,,2-4,,
10:12.0,,,2-4,,Defensive rebound by N. Pekovic
10:01.0,,,2-4,,Shooting foul by D. Gallinari (drawn by K. Garnett)
10:01.0,,,2-5,1,K. Garnett makes free throw 1 of 2
10:01.0,,,2-5,,K. Garnett misses free throw 2 of 2
10:01.0,Defensive rebound by D. Gallinari,,2-5,,
9:49.0,R. Foye misses 2-pt shot from 21 ft,,2-5,,
9:48.0,,,2-5,,Defensive rebound by K. Garnett
9:41.0,,,2-5,,K. Martin misses 2-pt shot from 13 ft
9:40.0,,,2-5,,Offensive rebound by A. Wiggins
9:39.0,,,2-7,2,A. Wiggins makes 2-pt shot at rim
9:18.0,W. Chandler misses 3-pt shot from 24 ft,,2-7,,
9:17.0,,,2-7,,Defensive rebound by A. Wiggins
9:11.0,Personal foul by K. Faried (drawn by N. Pekovic),,2-7,,
9:02.0,,,2-7,,A. Wiggins misses 2-pt shot from 13 ft
9:01.0,Defensive rebound by K. Faried,,2-7,,
8:56.0,K. Faried makes 2-pt shot from 1 ft,2,4-7,,
8:56.0,Shooting foul by K. Garnett (drawn by K. Faried),,4-7,,
8:56.0,K. Faried misses free throw 1 of 1,,4-7,,
8:56.0,,,4-7,,Defensive rebound by N. Pekovic
8:44.0,,,4-9,2,K. Martin makes 2-pt shot from 12 ft (assist by R. Rubio)
8:30.0,R. Foye makes 3-pt shot from 25 ft,3,7-9,,
8:16.0,,,7-9,,K. Martin misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by W. Chandler,,7-9,,
8:09.0,W. Chandler misses 2-pt shot from 5 ft (block by A. Wiggins),,7-9,,
8:07.0,,,7-9,,Defensive rebound by K. Garnett
7:55.0,,,7-9,,R. Rubio misses 2-pt shot from 20 ft
7:54.0,Defensive rebound by R. Foye,,7-9,,
7:49.0,W. Chandler misses 2-pt shot from 20 ft,,7-9,,
7:48.0,,,7-9,,Defensive rebound by K. Garnett
7:34.0,,,7-9,,A. Wiggins misses 2-pt shot from 17 ft
7:33.0,Defensive rebound by K. Faried,,7-9,,
7:22.0,,,7-9,,Personal foul by A. Wiggins (drawn by D. Gallinari)
7:22.0,,,7-9,,G. Dieng enters the game for N. Pekovic
7:22.0,W. Barton enters the game for R. Foye,,7-9,,
7:16.0,W. Chandler misses 3-pt shot from 25 ft,,7-9,,
7:15.0,Offensive rebound by D. Gallinari,,7-9,,
7:11.0,D. Gallinari makes 3-pt shot from 24 ft,3,10-9,,
6:54.0,,,10-11,2,A. Wiggins makes 2-pt shot from 4 ft
6:47.0,,,10-11,,Personal foul by K. Garnett (drawn by K. Faried)
6:35.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,12-11,,
6:14.0,,,12-13,2,G. Dieng makes 2-pt shot from 5 ft (assist by K. Garnett)
6:10.0,Turnover by W. Chandler (bad pass; steal by R. Rubio),,12-13,,
6:08.0,,,12-13,,R. Rubio misses 2-pt shot from 11 ft
6:05.0,,,12-13,,Offensive rebound by R. Rubio
6:00.0,,,12-15,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
5:45.0,T. Lawson misses 2-pt shot from 11 ft,,12-15,,
5:44.0,Offensive rebound by T. Lawson,,12-15,,
5:41.0,T. Lawson misses 3-pt shot from 24 ft,,12-15,,
5:40.0,Offensive rebound by W. Chandler,,12-15,,
5:35.0,T. Lawson misses 2-pt shot from 2 ft (block by K. Garnett),,12-15,,
5:33.0,,,12-15,,Defensive rebound by G. Dieng
5:23.0,,,12-17,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
5:13.0,W. Barton misses 2-pt shot from 5 ft,,12-17,,
5:12.0,,,12-17,,Defensive rebound by K. Garnett
5:07.0,,,12-17,,R. Rubio misses 2-pt shot from 2 ft
5:05.0,,,12-17,,Offensive rebound by A. Wiggins
5:05.0,,,12-19,2,A. Wiggins makes 2-pt shot at rim
5:04.0,Denver full timeout,,12-19,,
5:04.0,D. Arthur enters the game for W. Chandler,,12-19,,
5:04.0,J. Hickson enters the game for K. Faried,,12-19,,
5:04.0,,,12-19,,A. Payne enters the game for K. Garnett
4:48.0,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson),2,14-19,,
4:22.0,,,14-19,,K. Martin misses 3-pt shot from 25 ft
4:22.0,,,14-19,,Offensive rebound by G. Dieng
4:22.0,,,14-19,,Turnover by Team (shot clock)
4:22.0,J. Nelson enters the game for T. Lawson,,14-19,,
4:15.0,,,14-19,,Violation by R. Rubio (kicked ball)
4:09.0,J. Nelson misses 2-pt shot from 18 ft,,14-19,,
4:08.0,,,14-19,,Defensive rebound by G. Dieng
3:56.0,,,14-19,,Turnover by A. Payne (lost ball; steal by W. Barton)
3:48.0,D. Arthur makes 2-pt shot from 15 ft (assist by D. Gallinari),2,16-19,,
3:27.0,,,16-19,,Shooting foul by D. Arthur (drawn by G. Dieng)
3:27.0,,,16-20,1,G. Dieng makes free throw 1 of 2
3:27.0,,,16-20,,G. Neal enters the game for K. Martin
3:27.0,W. Chandler enters the game for D. Gallinari,,16-20,,
3:27.0,,,16-21,1,G. Dieng makes free throw 2 of 2
3:17.0,W. Chandler makes 2-pt shot from 16 ft (assist by J. Nelson),2,18-21,,
2:53.0,,,18-23,2,G. Dieng makes 2-pt shot from 2 ft
2:35.0,D. Arthur makes 2-pt shot from 15 ft (assist by J. Nelson),2,20-23,,
2:18.0,,,20-23,,A. Wiggins misses 2-pt shot from 16 ft
2:17.0,Defensive rebound by W. Chandler,,20-23,,
2:04.0,Turnover by J. Nelson (bad pass),,20-23,,
2:04.0,,,20-23,,Minnesota full timeout
1:42.0,,,20-23,,A. Payne misses 2-pt shot from 19 ft
1:41.0,Defensive rebound by J. Nelson,,20-23,,
1:35.0,W. Barton makes 2-pt shot from 2 ft (assist by J. Nelson),2,22-23,,
1:21.0,,,22-25,2,G. Neal makes 2-pt shot from 19 ft (assist by R. Rubio)
1:08.0,J. Hickson makes 2-pt shot at rim (assist by J. Nelson),2,24-25,,
0:53.0,,,24-27,2,A. Wiggins makes 2-pt shot from 6 ft (assist by R. Rubio)
0:31.0,J. Nelson makes 2-pt shot from 1 ft,2,26-27,,
0:26.0,,,26-27,,G. Neal misses 3-pt shot from 25 ft
0:25.0,,,26-27,,Offensive rebound by A. Payne
