time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. C. Zeller (P. Millsap gains possession),,,,Jump ball: A. Horford vs. C. Zeller (P. Millsap gains possession)
11:38.0,,,0-0,,J. Teague misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:20.0,L. Stephenson misses 3-pt shot from 25 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Carroll
11:08.0,,,0-0,,D. Carroll misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by K. Walker,,0-0,,
11:01.0,Turnover by G. Henderson (traveling),,0-0,,
10:37.0,,,0-0,,J. Teague misses 3-pt shot from 23 ft
10:36.0,Defensive rebound by A. Jefferson,,0-0,,
10:22.0,K. Walker misses 2-pt shot from 15 ft,,0-0,,
10:21.0,,,0-0,,Defensive rebound by P. Millsap
10:16.0,,,0-2,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
10:06.0,Shooting foul by P. Millsap (drawn by A. Jefferson),,0-2,,
10:06.0,A. Jefferson makes free throw 1 of 2,1,1-2,,
10:06.0,A. Jefferson makes free throw 2 of 2,1,2-2,,
9:56.0,,,2-5,3,J. Teague makes 3-pt shot from 26 ft (assist by D. Carroll)
9:40.0,A. Jefferson misses 2-pt shot from 6 ft (block by A. Horford),,2-5,,
9:38.0,Offensive rebound by L. Stephenson,,2-5,,
9:35.0,K. Walker misses 3-pt shot from 24 ft,,2-5,,
9:34.0,,,2-5,,Defensive rebound by P. Millsap
9:26.0,,,2-7,2,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague)
9:12.0,G. Henderson makes 2-pt shot from 19 ft (assist by L. Stephenson),2,4-7,,
8:56.0,,,4-7,,Turnover by J. Teague (bad pass; steal by K. Walker)
8:49.0,G. Henderson makes 2-pt shot from 20 ft (assist by K. Walker),2,6-7,,
8:28.0,,,6-9,2,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague)
8:06.0,Turnover by G. Henderson (back court),,6-9,,
8:00.0,,,6-11,2,K. Korver makes 2-pt shot from 18 ft (assist by J. Teague)
7:44.0,A. Jefferson misses 2-pt shot from 16 ft,,6-11,,
7:42.0,,,6-11,,Defensive rebound by A. Horford
7:30.0,,,6-13,2,D. Carroll makes 2-pt shot from 19 ft (assist by A. Horford)
7:15.0,K. Walker misses 2-pt shot from 15 ft,,6-13,,
7:14.0,,,6-13,,Defensive rebound by K. Korver
7:10.0,,,6-13,,Offensive charge foul by J. Teague
7:10.0,,,6-13,,Turnover by J. Teague (offensive foul)
6:50.0,Turnover by L. Stephenson (lost ball; steal by D. Carroll),,6-13,,
6:50.0,Personal foul by L. Stephenson (drawn by D. Carroll),,6-13,,
6:43.0,,,6-16,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
6:37.0,Charlotte full timeout,,6-16,,
6:28.0,L. Stephenson misses 3-pt shot from 23 ft,,6-16,,
6:26.0,Offensive rebound by A. Jefferson,,6-16,,
6:26.0,A. Jefferson makes 2-pt shot at rim,2,8-16,,
6:15.0,,,8-16,,J. Teague misses 2-pt shot from 6 ft
6:14.0,Defensive rebound by L. Stephenson,,8-16,,
5:58.0,A. Jefferson misses 2-pt shot from 4 ft,,8-16,,
5:56.0,,,8-16,,Defensive rebound by P. Millsap
5:48.0,,,8-16,,J. Teague misses 2-pt shot from 1 ft
5:48.0,Defensive rebound by Team,,8-16,,
5:32.0,G. Henderson misses 2-pt shot from 3 ft,,8-16,,
5:30.0,,,8-16,,Defensive rebound by K. Korver
5:24.0,,,8-18,2,P. Millsap makes 2-pt shot from 5 ft (assist by J. Teague)
4:59.0,K. Walker misses 3-pt shot from 25 ft (block by J. Teague),,8-18,,
4:57.0,,,8-18,,Defensive rebound by A. Horford
4:51.0,Personal foul by G. Henderson (drawn by K. Korver),,8-18,,
4:51.0,,,8-18,,E. Brand enters the game for A. Horford
4:51.0,P. Hairston enters the game for G. Henderson,,8-18,,
4:44.0,,,8-18,,Shooting foul by C. Zeller (drawn by P. Millsap)
4:44.0,,,8-18,,P. Millsap misses free throw 1 of 2
4:44.0,,,8-18,,Offensive rebound by Team
4:44.0,J. Maxiell enters the game for C. Zeller,,8-18,,
4:44.0,,,8-19,1,P. Millsap makes free throw 2 of 2
4:23.0,P. Hairston makes 3-pt shot from 26 ft (assist by K. Walker),3,11-19,,
4:09.0,,,11-19,,J. Teague misses 2-pt shot from 8 ft
4:07.0,Defensive rebound by P. Hairston,,11-19,,
3:58.0,K. Walker makes 2-pt shot from 15 ft,2,13-19,,
3:43.0,,,13-19,,P. Millsap misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by K. Walker,,13-19,,
3:35.0,L. Stephenson makes 2-pt shot from 19 ft (assist by K. Walker),2,15-19,,
3:27.0,,,15-19,,Atlanta full timeout
3:27.0,,,15-19,,S. Mack enters the game for K. Korver
3:27.0,,,15-19,,D. Schroder enters the game for J. Teague
3:27.0,B. Biyombo enters the game for A. Jefferson,,15-19,,
3:10.0,,,15-21,2,D. Schroder makes 2-pt shot from 4 ft
2:53.0,J. Maxiell makes 2-pt shot from 16 ft (assist by K. Walker),2,17-21,,
2:30.0,,,17-23,2,P. Millsap makes 2-pt shot from 4 ft
2:16.0,P. Hairston misses 3-pt shot from 25 ft,,17-23,,
2:15.0,,,17-23,,Defensive rebound by P. Millsap
2:05.0,,,17-23,,D. Carroll misses 2-pt shot from 19 ft
2:03.0,,,17-23,,Offensive rebound by P. Millsap
2:02.0,,,17-23,,P. Millsap misses 2-pt shot at rim (block by B. Biyombo)
2:00.0,,,17-23,,Offensive rebound by Team
2:00.0,,,17-23,,K. Bazemore enters the game for D. Carroll
2:00.0,,,17-23,,M. Scott enters the game for P. Millsap
2:00.0,B. Roberts enters the game for K. Walker,,17-23,,
1:52.0,,,17-23,,S. Mack misses 2-pt shot from 18 ft
1:50.0,,,17-23,,Offensive rebound by E. Brand
1:40.0,Personal foul by B. Roberts (drawn by D. Schroder),,17-23,,
1:29.0,,,17-25,2,E. Brand makes 2-pt shot from 12 ft (assist by K. Bazemore)
1:12.0,L. Stephenson misses 2-pt shot from 9 ft,,17-25,,
1:11.0,,,17-25,,Defensive rebound by E. Brand
1:03.0,,,17-25,,E. Brand misses 2-pt shot from 15 ft
1:01.0,Defensive rebound by B. Biyombo,,17-25,,
0:54.0,J. Maxiell misses 2-pt shot from 19 ft,,17-25,,
0:52.0,,,17-25,,Defensive rebound by K. Bazemore
0:40.0,,,17-25,,D. Schroder misses 2-pt shot from 1 ft
0:39.0,,,17-25,,Offensive rebound by E. Brand
0:37.0,,,17-28,3,S. Mack makes 3-pt shot from 23 ft (assist by E. Brand)
0:25.0,B. Roberts misses 2-pt shot from 10 ft,,17-28,,
0:23.0,Offensive rebound by B. Biyombo,,17-28,,
0:23.0,B. Biyombo misses flagrant free throw 1 of 2,,17-28,,
0:23.0,Offensive rebound by Team,,17-28,,
0:23.0,B. Biyombo misses flagrant free throw 2 of 2,,17-28,,
0:23.0,Offensive rebound by Team,,17-28,,
0:23.0,,,17-28,,T. Sefolosha enters the game for S. Mack
0:04.0,J. Maxiell misses 2-pt shot from 17 ft,,17-28,,
0:03.0,Offensive rebound by B. Biyombo,,17-28,,
0:01.0,B. Biyombo misses 2-pt shot from 1 ft,,17-28,,
0:01.0,,,17-28,,Defensive rebound by K. Bazemore
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:33.0,P. Hairston misses 2-pt shot from 16 ft,,17-28,,
11:30.0,Offensive rebound by B. Roberts,,17-28,,
11:07.0,K. Walker misses 2-pt shot at rim (block by A. Horford),,17-28,,
11:05.0,,,17-28,,Defensive rebound by A. Horford
11:02.0,,,17-28,,Turnover by M. Scott (offensive foul)
11:02.0,,,17-28,,Offensive charge foul by M. Scott
10:49.0,B. Roberts misses 2-pt shot from 17 ft,,17-28,,
10:47.0,,,17-28,,Defensive rebound by K. Bazemore
10:33.0,,,17-30,2,M. Scott makes 2-pt shot from 5 ft (assist by D. Schroder)
10:08.0,Turnover by B. Biyombo (lost ball; steal by K. Bazemore),,17-30,,
9:54.0,,,17-33,3,D. Schroder makes 3-pt shot from 25 ft (assist by M. Scott)
9:35.0,J. Maxiell misses 2-pt shot from 17 ft,,17-33,,
9:31.0,Offensive rebound by Team,,17-33,,
