time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Mozgov (D. Motiejunas gains possession),,,,Jump ball: D. Howard vs. T. Mozgov (D. Motiejunas gains possession)
11:45.0,,,0-0,,Turnover by D. Motiejunas (bad pass; steal by A. Afflalo)
11:37.0,A. Afflalo makes 2-pt shot from 19 ft (assist by W. Chandler),2,2-0,,
11:24.0,,,2-2,2,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden)
11:09.0,Turnover by T. Mozgov (bad pass; steal by P. Beverley),,2-2,,
11:00.0,Personal foul by J. Hickson (drawn by D. Motiejunas),,2-2,,
10:53.0,,,2-2,,D. Motiejunas misses 2-pt shot from 7 ft
10:51.0,Defensive rebound by J. Hickson,,2-2,,
10:38.0,Shooting foul by D. Motiejunas (drawn by J. Hickson),,2-2,,
10:38.0,J. Hickson makes free throw 1 of 2,1,3-2,,
10:38.0,J. Hickson misses free throw 2 of 2,,3-2,,
10:38.0,,,3-2,,Defensive rebound by D. Motiejunas
10:24.0,,,3-2,,T. Ariza misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by J. Hickson,,3-2,,
10:18.0,A. Afflalo misses 2-pt shot from 22 ft,,3-2,,
10:16.0,,,3-2,,Defensive rebound by D. Howard
10:10.0,,,3-5,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:50.0,J. Hickson makes 2-pt shot from 6 ft (assist by T. Mozgov),2,5-5,,
9:28.0,,,5-5,,D. Howard misses 2-pt shot from 6 ft
9:25.0,Defensive rebound by J. Hickson,,5-5,,
9:21.0,Shooting foul by D. Howard (drawn by J. Hickson),,5-5,,
9:21.0,J. Hickson misses free throw 1 of 2,,5-5,,
9:21.0,Offensive rebound by Team,,5-5,,
9:21.0,J. Hickson misses free throw 2 of 2,,5-5,,
9:18.0,Offensive rebound by J. Hickson,,5-5,,
9:04.0,W. Chandler makes 2-pt shot from 8 ft (assist by A. Afflalo),2,7-5,,
8:48.0,,,7-5,,Shooting foul by W. Chandler (drawn by D. Howard)
8:48.0,,,7-5,,D. Howard misses free throw 1 of 2
8:48.0,,,7-5,,Offensive rebound by Team
8:48.0,,,7-5,,D. Howard misses free throw 2 of 2
8:48.0,Defensive rebound by W. Chandler,,7-5,,
8:36.0,W. Chandler makes 2-pt shot from 11 ft (assist by T. Lawson),2,9-5,,
8:25.0,,,9-5,,Shooting foul by T. Mozgov (drawn by D. Howard)
8:25.0,,,9-5,,D. Howard misses free throw 1 of 2
8:25.0,,,9-5,,Offensive rebound by Team
8:25.0,,,9-5,,D. Howard misses free throw 2 of 2
8:25.0,,,9-5,,Offensive rebound by T. Ariza
8:23.0,,,9-5,,T. Ariza misses 2-pt shot from 1 ft (block by J. Hickson)
8:21.0,,,9-5,,Offensive rebound by T. Ariza
8:10.0,,,9-5,,D. Motiejunas misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by W. Chandler,,9-5,,
7:56.0,W. Chandler misses 2-pt shot from 11 ft,,9-5,,
7:54.0,,,9-5,,Defensive rebound by D. Howard
7:50.0,,,9-5,,J. Harden misses 2-pt shot from 1 ft
7:47.0,,,9-5,,Offensive rebound by D. Motiejunas
7:46.0,,,9-5,,D. Motiejunas misses 2-pt shot from 1 ft (block by J. Hickson)
7:44.0,Defensive rebound by A. Afflalo,,9-5,,
7:37.0,W. Chandler misses 3-pt shot from 25 ft,,9-5,,
7:36.0,,,9-5,,Defensive rebound by D. Motiejunas
7:22.0,,,9-5,,Shooting foul by T. Mozgov (drawn by D. Howard)
7:22.0,,,9-6,1,D. Howard makes free throw 1 of 2
7:22.0,J. Nurkic enters the game for T. Mozgov,,9-6,,
7:22.0,,,9-7,1,D. Howard makes free throw 2 of 2
7:05.0,,,9-7,,Personal foul by T. Ariza (drawn by T. Lawson)
7:00.0,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Hickson),2,11-7,,
6:47.0,,,11-7,,J. Harden misses 2-pt shot from 4 ft
6:46.0,,,11-7,,Offensive rebound by D. Motiejunas
6:46.0,,,11-7,,D. Motiejunas misses 2-pt shot at rim
6:44.0,Defensive rebound by A. Afflalo,,11-7,,
6:43.0,Shooting foul by P. Beverley (drawn by T. Lawson),,11-7,,
6:43.0,T. Lawson makes free throw 1 of 2,1,12-7,,
6:43.0,T. Lawson misses free throw 2 of 2,,12-7,,
6:43.0,Offensive rebound by Team,,12-7,,
6:43.0,,,12-7,,Loose ball foul by D. Motiejunas (drawn by J. Nurkic)
6:43.0,J. Nurkic misses free throw 1 of 2,,12-7,,
6:43.0,Offensive rebound by Team,,12-7,,
6:43.0,,,12-7,,T. Black enters the game for D. Motiejunas
6:43.0,J. Nurkic makes free throw 2 of 2,1,13-7,,
6:28.0,,,13-10,3,J. Harden makes 3-pt shot from 25 ft (assist by T. Ariza)
6:15.0,Denver full timeout,,13-10,,
6:01.0,A. Afflalo misses 3-pt shot from 25 ft,,13-10,,
5:59.0,,,13-10,,Defensive rebound by J. Harden
5:51.0,,,13-10,,Shooting foul by J. Nurkic (drawn by J. Harden)
5:51.0,,,13-11,1,J. Harden makes free throw 1 of 2
5:51.0,,,13-12,1,J. Harden makes free throw 2 of 2
5:39.0,,,13-12,,Personal block foul by D. Howard (drawn by J. Nurkic)
5:39.0,J. Nurkic misses free throw 1 of 2,,13-12,,
5:39.0,Offensive rebound by Team,,13-12,,
5:39.0,,,13-12,,J. Dorsey enters the game for D. Howard
5:39.0,J. Nurkic misses free throw 2 of 2,,13-12,,
5:39.0,,,13-12,,Defensive rebound by T. Black
5:25.0,,,13-15,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
5:13.0,J. Hickson makes 2-pt shot at rim (assist by T. Lawson),2,15-15,,
5:01.0,,,15-15,,Turnover by P. Beverley (lost ball)
4:50.0,J. Nurkic makes 2-pt shot from 6 ft (assist by J. Hickson),2,17-15,,
4:40.0,,,17-15,,J. Harden misses 2-pt shot from 3 ft
4:40.0,,,17-15,,Offensive rebound by T. Black
4:38.0,,,17-15,,Shooting foul by J. Nurkic (drawn by T. Black)
4:38.0,,,17-16,1,T. Black makes free throw 1 of 2
4:38.0,,,17-16,,J. Terry enters the game for P. Beverley
4:38.0,K. Faried enters the game for J. Nurkic,,17-16,,
4:38.0,,,17-16,,T. Black misses free throw 2 of 2
4:38.0,Defensive rebound by J. Hickson,,17-16,,
4:25.0,J. Hickson makes 2-pt shot at rim (assist by K. Faried),2,19-16,,
3:55.0,,,19-18,2,T. Ariza makes 2-pt shot from 18 ft
3:44.0,T. Lawson makes 3-pt shot from 24 ft,3,22-18,,
3:18.0,,,22-18,,T. Black misses 2-pt shot from 5 ft
3:16.0,,,22-18,,Offensive rebound by J. Dorsey
3:11.0,,,22-18,,T. Ariza misses 3-pt shot from 24 ft
3:10.0,,,22-18,,Offensive rebound by T. Black
3:07.0,,,22-18,,J. Terry misses 3-pt shot from 25 ft
3:05.0,,,22-18,,Offensive rebound by T. Ariza
3:00.0,,,22-18,,J. Harden misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by T. Lawson,,22-18,,
2:54.0,T. Lawson makes 2-pt shot at rim,2,24-18,,
