time,Cleveland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Varejao (K. Love gains possession),,,,Jump ball: M. Gortat vs. A. Varejao (K. Love gains possession)
11:36.0,L. James misses 3-pt shot from 25 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by Team
11:13.0,,,0-2,2,M. Gortat makes 2-pt shot from 4 ft
10:53.0,A. Varejao makes 2-pt shot from 1 ft (assist by L. James),2,2-2,,
10:37.0,,,2-4,2,N. Hilario makes 2-pt shot from 17 ft
10:09.0,S. Marion misses 2-pt shot from 10 ft (block by M. Gortat),,2-4,,
10:08.0,,,2-4,,Defensive rebound by G. Temple
9:56.0,,,2-6,2,N. Hilario makes 2-pt shot from 9 ft (assist by J. Wall)
9:42.0,K. Irving makes 2-pt shot from 2 ft,2,4-6,,
9:28.0,,,4-6,,Turnover by G. Temple (lost ball; steal by A. Varejao)
9:24.0,Turnover by A. Varejao (lost ball),,4-6,,
9:09.0,,,4-6,,N. Hilario misses 2-pt shot from 4 ft
9:07.0,,,4-6,,Offensive rebound by M. Gortat
9:05.0,,,4-6,,M. Gortat misses 2-pt shot from 1 ft
9:04.0,Defensive rebound by S. Marion,,4-6,,
8:57.0,Turnover by A. Varejao (lost ball; steal by G. Temple),,4-6,,
8:44.0,,,4-6,,N. Hilario misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by K. Irving,,4-6,,
8:39.0,Shooting foul by P. Pierce (drawn by K. Irving),,4-6,,
8:39.0,K. Irving misses free throw 1 of 2,,4-6,,
8:39.0,Offensive rebound by Team,,4-6,,
8:39.0,K. Irving makes free throw 2 of 2,1,5-6,,
8:23.0,,,5-8,2,P. Pierce makes 2-pt shot from 16 ft (assist by J. Wall)
8:13.0,Turnover by K. Love (lost ball),,5-8,,
7:58.0,,,5-8,,P. Pierce misses 3-pt shot from 24 ft
7:56.0,Defensive rebound by A. Varejao,,5-8,,
7:35.0,L. James makes 2-pt shot from 14 ft,2,7-8,,
7:28.0,,,7-8,,Turnover by J. Wall (bad pass; steal by A. Varejao)
7:22.0,L. James misses 2-pt shot from 2 ft,,7-8,,
7:20.0,Offensive rebound by K. Love,,7-8,,
7:18.0,A. Varejao makes 2-pt shot from 1 ft (assist by K. Love),2,9-8,,
6:55.0,,,9-8,,G. Temple misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by A. Varejao,,9-8,,
6:51.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,11-8,,
6:46.0,,,11-8,,Turnover by M. Gortat (bad pass; steal by K. Irving)
6:37.0,K. Irving misses 3-pt shot from 22 ft,,11-8,,
6:36.0,Offensive rebound by L. James,,11-8,,
6:36.0,L. James makes 2-pt shot from 1 ft,2,13-8,,
6:36.0,,,13-8,,Washington full timeout
6:36.0,,,13-8,,B. Beal enters the game for G. Temple
6:24.0,,,13-8,,J. Wall misses 2-pt shot from 21 ft
6:23.0,Defensive rebound by A. Varejao,,13-8,,
6:06.0,Turnover by L. James (bad pass; steal by B. Beal),,13-8,,
6:01.0,,,13-10,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
5:57.0,Turnover by K. Irving (bad pass; steal by B. Beal),,13-10,,
5:53.0,,,13-12,2,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal)
5:53.0,,,13-12,,Shooting foul by K. Irving (drawn by J. Wall)
5:53.0,,,13-13,1,J. Wall makes free throw 1 of 1
5:43.0,,,13-13,,Personal foul by N. Hilario (drawn by K. Love)
5:43.0,J. Harris enters the game for K. Irving,,13-13,,
5:43.0,M. Miller enters the game for S. Marion,,13-13,,
5:33.0,L. James misses 2-pt shot from 20 ft,,13-13,,
5:32.0,,,13-13,,Defensive rebound by J. Wall
5:25.0,,,13-13,,Turnover by J. Wall (lost ball; steal by K. Love)
5:18.0,J. Harris misses 3-pt shot from 23 ft,,13-13,,
5:16.0,,,13-13,,Defensive rebound by B. Beal
5:07.0,T. Thompson enters the game for A. Varejao,,13-13,,
5:05.0,,,13-15,2,B. Beal makes 2-pt shot from 20 ft (assist by P. Pierce)
4:47.0,L. James makes 3-pt shot from 26 ft,3,16-15,,
4:24.0,,,16-17,2,B. Beal makes 2-pt shot from 4 ft
4:10.0,Turnover by K. Love (lost ball; steal by J. Wall),,16-17,,
4:01.0,,,16-17,,Turnover by B. Beal (bad pass; steal by T. Thompson)
3:56.0,T. Thompson misses 2-pt shot from 1 ft,,16-17,,
3:54.0,,,16-17,,Defensive rebound by B. Beal
3:47.0,,,16-17,,B. Beal misses 2-pt shot from 10 ft
3:45.0,Defensive rebound by T. Thompson,,16-17,,
3:39.0,K. Love makes 3-pt shot from 26 ft (assist by L. James),3,19-17,,
3:20.0,Personal foul by J. Harris (drawn by P. Pierce),,19-17,,
3:20.0,,,19-17,,K. Humphries enters the game for N. Hilario
3:20.0,,,19-17,,O. Porter enters the game for P. Pierce
3:20.0,B. Haywood enters the game for K. Love,,19-17,,
3:13.0,Personal foul by B. Haywood (drawn by B. Beal),,19-17,,
3:05.0,,,19-17,,O. Porter misses 2-pt shot from 20 ft
3:04.0,Defensive rebound by B. Haywood,,19-17,,
2:55.0,Cleveland full timeout,,19-17,,
2:40.0,L. James makes 2-pt shot from 1 ft,2,21-17,,
2:21.0,,,21-17,,O. Porter misses 2-pt shot from 7 ft
2:20.0,Defensive rebound by L. James,,21-17,,
2:02.0,M. Miller misses 3-pt shot from 27 ft,,21-17,,
2:01.0,,,21-17,,Defensive rebound by K. Humphries
1:54.0,,,21-19,2,J. Wall makes 2-pt shot from 1 ft
1:39.0,L. James misses 2-pt shot from 7 ft,,21-19,,
1:38.0,,,21-19,,Defensive rebound by J. Wall
