time,Chicago,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession),,,,Jump ball: P. Gasol vs. J. Hill (J. Noah gains possession)
11:40.0,P. Gasol misses 2-pt shot from 2 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by R. Sacre
11:19.0,,,0-3,3,J. Clarkson makes 3-pt shot from 24 ft (assist by R. Sacre)
11:05.0,D. Rose misses 3-pt shot from 25 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by Team
10:49.0,,,0-6,3,R. Kelly makes 3-pt shot from 23 ft (assist by J. Hill)
10:32.0,P. Gasol makes 2-pt shot from 4 ft (assist by J. Noah),2,2-6,,
10:09.0,,,2-6,,R. Sacre misses 2-pt shot from 11 ft
10:03.0,Defensive rebound by J. Noah,,2-6,,
9:49.0,D. Rose misses 2-pt shot from 3 ft (block by R. Sacre),,2-6,,
9:49.0,Offensive rebound by Team,,2-6,,
9:46.0,J. Butler makes 2-pt shot from 14 ft (assist by D. Rose),2,4-6,,
9:22.0,,,4-8,2,R. Sacre makes 2-pt shot from 18 ft (assist by W. Ellington)
9:06.0,J. Butler misses 2-pt shot at rim,,4-8,,
9:04.0,Offensive rebound by J. Butler,,4-8,,
8:58.0,J. Butler misses 3-pt shot from 24 ft,,4-8,,
8:57.0,,,4-8,,Defensive rebound by J. Hill
8:43.0,,,4-8,,Turnover by J. Clarkson (bad pass; steal by N. Mirotic)
8:43.0,,,4-8,,Personal foul by R. Sacre (drawn by D. Rose)
8:31.0,Turnover by D. Rose (bad pass),,4-8,,
8:18.0,,,4-8,,W. Ellington misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by Team,,4-8,,
8:03.0,P. Gasol misses 2-pt shot from 6 ft,,4-8,,
7:59.0,,,4-8,,Defensive rebound by W. Ellington
7:51.0,,,4-10,2,W. Ellington makes 2-pt shot from 2 ft
7:42.0,J. Noah makes 2-pt shot from 16 ft (assist by D. Rose),2,6-10,,
7:24.0,,,6-10,,Turnover by J. Hill (lost ball; steal by D. Rose)
7:23.0,Turnover by D. Rose (traveling),,6-10,,
7:15.0,,,6-10,,J. Hill misses 2-pt shot from 3 ft (block by P. Gasol)
7:14.0,Defensive rebound by J. Butler,,6-10,,
7:07.0,,,6-10,,Personal foul by R. Sacre (drawn by N. Mirotic)
7:07.0,,,6-10,,C. Boozer enters the game for R. Sacre
7:02.0,D. Rose misses 2-pt shot from 3 ft (block by C. Boozer),,6-10,,
7:00.0,Offensive rebound by D. Rose,,6-10,,
6:57.0,D. Rose makes 2-pt shot from 2 ft,2,8-10,,
6:37.0,,,8-10,,R. Kelly misses 2-pt shot from 3 ft
6:35.0,,,8-10,,Offensive rebound by R. Kelly
6:31.0,,,8-12,2,C. Boozer makes 2-pt shot from 12 ft (assist by R. Kelly)
6:11.0,N. Mirotic misses 3-pt shot from 24 ft,,8-12,,
6:10.0,,,8-12,,Defensive rebound by J. Hill
5:57.0,,,8-14,2,J. Hill makes 2-pt shot from 5 ft
5:41.0,Turnover by N. Mirotic (lost ball; steal by J. Hill),,8-14,,
5:35.0,,,8-14,,J. Hill misses 2-pt shot from 1 ft
5:33.0,,,8-14,,Offensive rebound by W. Ellington
5:30.0,,,8-14,,W. Ellington misses 2-pt shot from 5 ft
5:27.0,,,8-14,,Offensive rebound by C. Boozer
5:27.0,,,8-16,2,C. Boozer makes 2-pt shot from 2 ft
5:25.0,Chicago full timeout,,8-16,,
5:25.0,,,8-16,,J. Lin enters the game for W. Ellington
5:12.0,D. Rose makes 2-pt shot from 13 ft (assist by P. Gasol),2,10-16,,
4:59.0,,,10-18,2,J. Clarkson makes 2-pt shot from 2 ft
4:31.0,P. Gasol makes 2-pt shot from 7 ft (assist by D. Rose),2,12-18,,
4:22.0,,,12-18,,Turnover by J. Lin (lost ball; steal by J. Butler)
4:06.0,P. Gasol misses 2-pt shot from 13 ft,,12-18,,
4:05.0,,,12-18,,Defensive rebound by C. Boozer
3:51.0,,,12-20,2,J. Hill makes 2-pt shot at rim
3:33.0,D. Rose makes 2-pt shot from 2 ft (assist by P. Gasol),2,14-20,,
3:16.0,,,14-20,,J. Lin misses 2-pt shot from 1 ft (block by P. Gasol)
3:16.0,,,14-20,,Offensive rebound by Team
3:16.0,,,14-20,,W. Johnson enters the game for R. Kelly
3:16.0,,,14-20,,E. Davis enters the game for J. Hill
3:16.0,K. Hinrich enters the game for D. Rose,,14-20,,
3:16.0,T. Gibson enters the game for J. Noah,,14-20,,
3:16.0,T. Snell enters the game for N. Mirotic,,14-20,,
3:02.0,,,14-22,2,J. Lin makes 2-pt shot from 15 ft
2:46.0,T. Snell misses 3-pt shot from 25 ft,,14-22,,
2:46.0,,,14-22,,Defensive rebound by Team
2:46.0,,,14-22,,LA Lakers full timeout
2:28.0,,,14-22,,C. Boozer misses 2-pt shot from 16 ft
2:26.0,Defensive rebound by P. Gasol,,14-22,,
2:16.0,,,14-22,,Personal foul by C. Boozer (drawn by T. Gibson)
2:02.0,T. Snell misses 2-pt shot from 5 ft,,14-22,,
2:02.0,Offensive rebound by Team,,14-22,,
2:02.0,Turnover by Team (shot clock),,14-22,,
1:51.0,,,14-24,2,J. Lin makes 2-pt shot from 2 ft (assist by J. Clarkson)
