time,Charlotte,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. C. Zeller (K. Leonard gains possession),,,,Jump ball: T. Duncan vs. C. Zeller (K. Leonard gains possession)
11:39.0,,,0-0,,T. Parker misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by A. Jefferson,,0-0,,
11:25.0,C. Zeller misses 2-pt shot from 15 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by K. Leonard
11:07.0,,,0-0,,K. Leonard misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by Team,,0-0,,
10:52.0,G. Henderson misses 2-pt shot from 13 ft,,0-0,,
10:51.0,,,0-0,,Defensive rebound by T. Duncan
10:40.0,,,0-2,2,T. Parker makes 2-pt shot from 3 ft (assist by T. Duncan)
10:18.0,M. Kidd-Gilchrist misses 2-pt shot from 6 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by M. Bonner
10:08.0,,,0-4,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Parker)
9:50.0,A. Jefferson makes 2-pt shot from 1 ft,2,2-4,,
9:39.0,,,2-6,2,T. Parker makes 2-pt shot from 7 ft
9:39.0,,,2-6,,Shooting foul by A. Jefferson (drawn by T. Parker)
9:39.0,,,2-7,1,T. Parker makes free throw 1 of 1
9:17.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by A. Jefferson),2,4-7,,
8:55.0,,,4-7,,T. Parker misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by A. Jefferson,,4-7,,
8:29.0,A. Jefferson makes 2-pt shot from 5 ft,2,6-7,,
8:15.0,,,6-7,,T. Duncan misses 2-pt shot from 3 ft (block by G. Henderson)
8:14.0,,,6-7,,Offensive rebound by Team
8:06.0,,,6-9,2,T. Parker makes 2-pt shot from 2 ft
7:48.0,G. Henderson makes 2-pt shot from 2 ft (assist by C. Zeller),2,8-9,,
7:34.0,,,8-9,,Shooting foul by A. Jefferson (drawn by T. Duncan)
7:34.0,,,8-10,1,T. Duncan makes free throw 1 of 2
7:34.0,J. Maxiell enters the game for A. Jefferson,,8-10,,
7:34.0,,,8-11,1,T. Duncan makes free throw 2 of 2
7:20.0,G. Henderson makes 2-pt shot from 16 ft (assist by B. Roberts),2,10-11,,
7:08.0,,,10-11,,D. Green misses 2-pt shot from 3 ft
7:07.0,Defensive rebound by C. Zeller,,10-11,,
6:55.0,C. Zeller misses 2-pt shot from 16 ft,,10-11,,
6:54.0,,,10-11,,Defensive rebound by T. Duncan
