time,Cleveland,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (R. Jackson gains possession)
11:48.0,,,0-2,2,R. Jackson makes 2-pt shot from 15 ft
11:30.0,J. Smith misses 3-pt shot from 25 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by R. Jackson
11:17.0,,,0-2,,A. Drummond misses 2-pt shot from 5 ft
11:16.0,Defensive rebound by K. Love,,0-2,,
11:08.0,L. James makes 2-pt shot at rim,2,2-2,,
10:52.0,,,2-2,,K. Caldwell-Pope misses 2-pt shot from 18 ft
10:48.0,Defensive rebound by K. Love,,2-2,,
10:43.0,Turnover by L. James (bad pass; steal by A. Drummond),,2-2,,
10:40.0,,,2-2,,Turnover by G. Monroe (lost ball)
10:26.0,K. Love misses 3-pt shot from 24 ft,,2-2,,
10:24.0,Offensive rebound by J. Smith,,2-2,,
10:21.0,L. James misses 3-pt shot from 26 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by Team
10:04.0,,,2-4,2,K. Caldwell-Pope makes 2-pt shot from 19 ft (assist by R. Jackson)
9:48.0,K. Irving makes 2-pt shot at rim,2,4-4,,
9:35.0,,,4-4,,G. Monroe misses 2-pt shot from 5 ft
9:34.0,,,4-4,,Offensive rebound by A. Drummond
9:30.0,,,4-4,,A. Drummond misses 2-pt shot from 4 ft
9:29.0,Defensive rebound by L. James,,4-4,,
9:27.0,L. James misses 2-pt shot from 3 ft (block by T. Prince),,4-4,,
9:26.0,Offensive rebound by Team,,4-4,,
9:22.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,6-4,,
9:11.0,,,6-6,2,R. Jackson makes 2-pt shot from 10 ft
9:11.0,,,6-6,,Shooting foul by J. Smith (drawn by R. Jackson)
9:11.0,,,6-6,,R. Jackson misses free throw 1 of 1
9:09.0,Defensive rebound by K. Love,,6-6,,
9:00.0,Turnover by L. James (bad pass; steal by T. Prince),,6-6,,
8:56.0,,,6-6,,Turnover by G. Monroe (bad pass; steal by L. James)
8:53.0,L. James makes 2-pt shot at rim,2,8-6,,
8:44.0,,,8-6,,T. Prince misses 2-pt shot from 1 ft (block by T. Mozgov)
8:43.0,,,8-6,,Offensive rebound by A. Drummond
8:42.0,,,8-8,2,A. Drummond makes 2-pt shot from 1 ft
