time,Indiana,pts.away,score,pts.home,Toronto
1:58.0,,,16-23,,J. Johnson enters the game for T. Ross
1:58.0,,,16-23,,Personal foul by G. Vasquez (drawn by S. Hill)
1:58.0,S. Hill makes free throw 1 of 2,1,17-23,,
1:58.0,D. Sloan enters the game for C. Watson,,17-23,,
1:58.0,S. Hill makes free throw 2 of 2,1,18-23,,
1:47.0,,,18-26,3,P. Patterson makes 3-pt shot from 26 ft (assist by G. Vasquez)
1:28.0,C. Copeland misses 3-pt shot from 26 ft,,18-26,,
1:27.0,,,18-26,,Defensive rebound by T. Hansbrough
1:13.0,,,18-26,,Turnover by G. Vasquez (bad pass)
0:58.0,L. Allen misses 2-pt shot from 20 ft,,18-26,,
0:57.0,,,18-26,,Defensive rebound by J. Johnson
0:50.0,,,18-26,,J. Johnson misses 2-pt shot from 4 ft
0:49.0,Defensive rebound by C. Copeland,,18-26,,
0:40.0,S. Hill makes 2-pt shot at rim (assist by D. West),2,20-26,,
0:34.0,,,20-26,,Shooting foul by S. Hill (drawn by L. Williams)
0:34.0,,,20-27,1,L. Williams makes free throw 1 of 2
0:34.0,,,20-28,1,L. Williams makes free throw 2 of 2
0:29.0,D. Sloan misses 2-pt shot from 19 ft,,20-28,,
0:28.0,,,20-28,,Defensive rebound by P. Patterson
0:06.0,,,20-28,,G. Vasquez misses 3-pt shot from 26 ft
0:04.0,Defensive rebound by L. Allen,,20-28,,
0:00.0,D. Sloan misses 2-pt shot from 16 ft,,20-28,,
0:00.0,Offensive rebound by Team,,20-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-28,,P. Patterson misses 2-pt shot from 16 ft
11:48.0,Defensive rebound by L. Allen,,20-28,,
11:29.0,L. Scola misses 2-pt shot from 11 ft,,20-28,,
11:28.0,,,20-28,,Defensive rebound by T. Hansbrough
11:23.0,,,20-28,,Shooting foul by C. Copeland (drawn by L. Williams)
11:23.0,,,20-30,2,L. Williams makes 2-pt shot from 4 ft (assist by T. Hansbrough)
11:23.0,,,20-31,1,L. Williams makes free throw 1 of 1
11:10.0,C. Copeland makes 3-pt shot from 25 ft (assist by D. Sloan),3,23-31,,
10:48.0,,,23-31,,L. Williams misses 3-pt shot from 26 ft
10:47.0,Defensive rebound by L. Scola,,23-31,,
10:36.0,L. Scola makes 2-pt shot from 2 ft (assist by C. Copeland),2,25-31,,
10:19.0,,,25-31,,G. Vasquez misses 2-pt shot from 18 ft
10:18.0,,,25-31,,Offensive rebound by T. Hansbrough
10:18.0,,,25-31,,Shooting foul by L. Allen (drawn by T. Hansbrough)
10:18.0,,,25-32,1,T. Hansbrough makes free throw 1 of 2
10:18.0,,,25-32,,K. Lowry enters the game for G. Vasquez
10:18.0,,,25-33,1,T. Hansbrough makes free throw 2 of 2
10:05.0,C. Copeland misses 3-pt shot from 25 ft,,25-33,,
10:04.0,,,25-33,,Defensive rebound by P. Patterson
9:46.0,,,25-33,,J. Johnson misses 2-pt shot from 2 ft
9:45.0,,,25-33,,Offensive rebound by K. Lowry
9:43.0,,,25-35,2,K. Lowry makes 2-pt shot from 2 ft
9:32.0,Offensive foul by L. Allen,,25-35,,
9:32.0,Turnover by L. Allen (offensive foul),,25-35,,
9:15.0,,,25-35,,Turnover by L. Williams (bad pass; steal by L. Allen)
9:11.0,Shooting foul by P. Patterson (drawn by L. Scola),,25-35,,
9:11.0,L. Scola makes free throw 1 of 2,1,26-35,,
9:11.0,L. Scola makes free throw 2 of 2,1,27-35,,
9:00.0,,,27-35,,P. Patterson misses 2-pt shot from 13 ft
8:59.0,,,27-35,,Offensive rebound by T. Hansbrough
8:57.0,,,27-35,,Turnover by T. Hansbrough (traveling)
8:57.0,Official timeout,,27-35,,
8:43.0,C. Copeland makes 2-pt shot from 3 ft (assist by S. Hill),2,29-35,,
8:29.0,Personal block foul by S. Hill (drawn by L. Williams),,29-35,,
8:29.0,R. Stuckey enters the game for S. Hill,,29-35,,
8:21.0,,,29-38,3,J. Johnson makes 3-pt shot from 23 ft (assist by K. Lowry)
8:11.0,,,29-38,,Violation by L. Williams (kicked ball)
7:59.0,R. Stuckey makes 3-pt shot from 23 ft (assist by D. Sloan),3,32-38,,
7:45.0,R. Hibbert enters the game for L. Allen,,32-38,,
7:45.0,,,32-38,,J. Valanciunas enters the game for T. Hansbrough
7:45.0,,,32-38,,A. Johnson enters the game for P. Patterson
7:38.0,,,32-41,3,L. Williams makes 3-pt shot from 24 ft (assist by K. Lowry)
7:27.0,D. Sloan makes 3-pt shot from 25 ft,3,35-41,,
7:07.0,,,35-43,2,J. Johnson makes 2-pt shot from 1 ft (assist by L. Williams)
6:44.0,L. Scola misses 2-pt shot from 5 ft,,35-43,,
6:43.0,,,35-43,,Defensive rebound by A. Johnson
6:38.0,,,35-46,3,L. Williams makes 3-pt shot from 23 ft (assist by K. Lowry)
6:37.0,Indiana full timeout,,35-46,,
