time,Oklahoma City,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Len (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. A. Len (R. Westbrook gains possession)
11:41.0,E. Kanter makes 2-pt shot from 1 ft,2,2-0,,
11:16.0,,,2-2,2,M. Morris makes 2-pt shot from 18 ft (assist by M. Morris)
11:03.0,Shooting foul by M. Morris (drawn by K. Singler),,2-2,,
11:03.0,Technical foul by R. Westbrook,,2-2,,
11:03.0,,,2-2,,E. Bledsoe misses technical free throw
11:03.0,Offensive rebound by Team,,2-2,,
11:03.0,K. Singler misses free throw 1 of 2,,2-2,,
11:03.0,Offensive rebound by Team,,2-2,,
11:03.0,K. Singler makes free throw 2 of 2,1,3-2,,
10:53.0,,,3-4,2,M. Morris makes 2-pt shot from 8 ft (assist by P. Tucker)
10:39.0,R. Westbrook misses 3-pt shot from 25 ft,,3-4,,
10:38.0,,,3-4,,Defensive rebound by M. Morris
10:28.0,,,3-7,3,M. Morris makes 3-pt shot from 24 ft (assist by P. Tucker)
10:14.0,E. Kanter makes 2-pt shot from 1 ft,2,5-7,,
10:14.0,Shooting foul by A. Len (drawn by E. Kanter),,5-7,,
10:14.0,E. Kanter makes free throw 1 of 1,1,6-7,,
9:57.0,,,6-9,2,M. Morris makes 2-pt shot from 18 ft (assist by E. Bledsoe)
9:42.0,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook),2,8-9,,
9:34.0,,,8-11,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:17.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,10-11,,
9:02.0,,,10-11,,M. Morris misses 2-pt shot from 10 ft
9:01.0,,,10-11,,Offensive rebound by A. Len
8:51.0,,,10-11,,Shooting foul by K. Singler (drawn by M. Morris)
8:51.0,,,10-12,1,M. Morris makes free throw 1 of 2
8:51.0,,,10-13,1,M. Morris makes free throw 2 of 2
8:38.0,R. Westbrook misses 2-pt shot from 21 ft,,10-13,,
8:37.0,,,10-13,,Defensive rebound by M. Morris
8:22.0,,,10-13,,P. Tucker misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by K. Singler,,10-13,,
8:13.0,D. Waiters misses 3-pt shot from 24 ft,,10-13,,
8:12.0,,,10-13,,Defensive rebound by M. Morris
8:04.0,,,10-15,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
7:43.0,E. Kanter misses 2-pt shot from 7 ft,,10-15,,
7:43.0,,,10-15,,Defensive rebound by M. Morris
7:31.0,Personal foul by D. Waiters (drawn by P. Tucker),,10-15,,
7:20.0,,,10-17,2,P. Tucker makes 2-pt shot from 1 ft
7:20.0,,,10-17,,Shooting foul by D. Waiters (drawn by P. Tucker)
7:20.0,A. Morrow enters the game for D. Waiters,,10-17,,
7:20.0,,,10-18,1,P. Tucker makes free throw 1 of 1
7:15.0,Oklahoma City full timeout,,10-18,,
7:02.0,R. Westbrook misses 2-pt shot from 3 ft,,10-18,,
7:01.0,Offensive rebound by E. Kanter,,10-18,,
7:00.0,E. Kanter misses 2-pt shot from 1 ft,,10-18,,
6:59.0,,,10-18,,Defensive rebound by P. Tucker
6:42.0,,,10-18,,Shooting foul by S. Adams (drawn by M. Morris)
6:42.0,,,10-18,,M. Morris misses free throw 1 of 2
6:42.0,,,10-18,,Offensive rebound by Team
6:42.0,,,10-18,,B. Knight enters the game for P. Tucker
6:42.0,,,10-19,1,M. Morris makes free throw 2 of 2
6:31.0,R. Westbrook misses 2-pt shot from 20 ft,,10-19,,
6:30.0,,,10-19,,Defensive rebound by M. Morris
6:25.0,Violation by A. Morrow (kicked ball),,10-19,,
6:19.0,,,10-19,,B. Knight misses 2-pt shot from 19 ft
6:18.0,Defensive rebound by K. Singler,,10-19,,
6:09.0,R. Westbrook misses 2-pt shot from 10 ft,,10-19,,
6:08.0,,,10-19,,Defensive rebound by A. Len
5:58.0,,,10-19,,A. Len misses 2-pt shot from 2 ft (block by E. Kanter)
5:57.0,,,10-19,,Offensive rebound by A. Len
5:53.0,,,10-21,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
5:38.0,R. Westbrook makes 2-pt shot from 1 ft,2,12-21,,
5:24.0,,,12-21,,Turnover by A. Len (3 sec)
5:09.0,R. Westbrook misses 3-pt shot from 24 ft,,12-21,,
5:08.0,,,12-21,,Defensive rebound by M. Morris
4:55.0,,,12-21,,Turnover by E. Bledsoe (bad pass)
4:55.0,,,12-21,,T. Warren enters the game for M. Morris
4:37.0,Turnover by A. Morrow (bad pass; steal by M. Morris),,12-21,,
4:32.0,,,12-21,,E. Bledsoe misses 2-pt shot from 2 ft
4:31.0,,,12-21,,Offensive rebound by M. Morris
4:31.0,,,12-23,2,M. Morris makes 2-pt shot from 2 ft
4:11.0,A. Morrow makes 2-pt shot from 16 ft,2,14-23,,
3:59.0,,,14-25,2,T. Warren makes 2-pt shot from 3 ft (assist by E. Bledsoe)
3:51.0,,,14-25,,Shooting block foul by M. Morris (drawn by R. Westbrook)
3:51.0,R. Westbrook makes free throw 1 of 2,1,15-25,,
3:51.0,D. Augustin enters the game for K. Singler,,15-25,,
3:51.0,M. McGary enters the game for E. Kanter,,15-25,,
3:51.0,,,15-25,,B. Wright enters the game for A. Len
3:51.0,R. Westbrook makes free throw 2 of 2,1,16-25,,
3:41.0,,,16-25,,B. Knight misses 3-pt shot from 25 ft
3:40.0,Defensive rebound by S. Adams,,16-25,,
3:34.0,R. Westbrook makes 2-pt shot at rim,2,18-25,,
3:13.0,,,18-27,2,B. Wright makes 2-pt shot from 1 ft (assist by T. Warren)
2:53.0,D. Augustin misses 2-pt shot from 7 ft,,18-27,,
2:52.0,,,18-27,,Defensive rebound by T. Warren
