time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Favors (C. Parsons gains possession),,,,Jump ball: T. Chandler vs. D. Favors (C. Parsons gains possession)
11:40.0,M. Ellis misses 2-pt shot from 5 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by E. Kanter
11:21.0,,,0-0,,A. Burks misses 2-pt shot from 20 ft
11:20.0,Defensive rebound by D. Nowitzki,,0-0,,
10:56.0,C. Parsons misses 2-pt shot from 2 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by D. Favors
10:44.0,,,0-2,2,E. Kanter makes 2-pt shot from 1 ft
10:25.0,D. Nowitzki misses 2-pt shot from 14 ft,,0-2,,
10:24.0,,,0-2,,Defensive rebound by D. Favors
10:15.0,,,0-2,,E. Kanter misses 2-pt shot from 2 ft
10:14.0,Defensive rebound by D. Nowitzki,,0-2,,
10:04.0,J. Nelson makes 3-pt shot from 22 ft (assist by M. Ellis),3,3-2,,
9:44.0,,,3-2,,T. Burke misses 3-pt shot from 25 ft
9:43.0,,,3-2,,Offensive rebound by D. Favors
9:31.0,,,3-2,,Turnover by E. Kanter (bad pass; steal by M. Ellis)
9:16.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,5-2,,
9:02.0,,,5-4,2,T. Burke makes 2-pt shot from 1 ft
8:52.0,D. Nowitzki misses 3-pt shot from 24 ft,,5-4,,
8:50.0,,,5-4,,Defensive rebound by D. Favors
8:45.0,,,5-4,,Offensive foul by D. Favors
8:45.0,,,5-4,,Turnover by D. Favors (offensive foul)
8:34.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Nelson),2,7-4,,
8:15.0,,,7-4,,Shooting foul by D. Nowitzki (drawn by D. Favors)
8:15.0,,,7-5,1,D. Favors makes free throw 1 of 2
8:15.0,,,7-6,1,D. Favors makes free throw 2 of 2
8:04.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Nelson),2,9-6,,
7:47.0,,,9-6,,Turnover by E. Kanter (traveling)
7:36.0,J. Nelson makes 2-pt shot from 9 ft,2,11-6,,
7:21.0,,,11-8,2,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke)
