time,Sacramento,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Hollins (T. Parker gains possession),,,,Jump ball: T. Duncan vs. R. Hollins (T. Parker gains possession)
11:47.0,,,0-0,,T. Duncan misses 2-pt shot from 5 ft
11:46.0,Defensive rebound by R. Hollins,,0-0,,
11:33.0,R. Hollins makes 2-pt shot at rim (assist by R. Gay),2,2-0,,
11:12.0,,,2-0,,T. Duncan misses 2-pt shot from 3 ft
11:11.0,Defensive rebound by R. Gay,,2-0,,
10:59.0,J. Thompson makes 2-pt shot from 15 ft (assist by R. Gay),2,4-0,,
10:43.0,,,4-2,2,T. Parker makes 2-pt shot from 6 ft
10:32.0,Turnover by D. Collison (bad pass; steal by D. Green),,4-2,,
10:19.0,,,4-4,2,T. Parker makes 2-pt shot from 5 ft
9:57.0,Turnover by R. Gay (bad pass; steal by D. Green),,4-4,,
9:51.0,,,4-6,2,D. Green makes 2-pt shot at rim
9:40.0,R. Hollins makes 2-pt shot from 4 ft (assist by B. McLemore),2,6-6,,
9:23.0,,,6-8,2,T. Parker makes 2-pt shot from 6 ft
9:05.0,B. McLemore misses 2-pt shot from 2 ft (block by T. Duncan),,6-8,,
9:04.0,,,6-8,,Defensive rebound by D. Green
8:49.0,,,6-8,,K. Leonard misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by B. McLemore,,6-8,,
8:42.0,D. Collison misses 2-pt shot from 5 ft (block by D. Green),,6-8,,
8:40.0,,,6-8,,Defensive rebound by T. Duncan
8:26.0,,,6-8,,T. Parker misses 2-pt shot from 9 ft
8:25.0,Defensive rebound by R. Hollins,,6-8,,
8:17.0,D. Collison misses 2-pt shot from 5 ft (block by D. Green),,6-8,,
8:16.0,Offensive rebound by R. Hollins,,6-8,,
8:09.0,R. Gay makes 2-pt shot from 16 ft,2,8-8,,
7:54.0,,,8-8,,D. Green misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by R. Gay,,8-8,,
7:39.0,R. Hollins makes 2-pt shot from 4 ft (assist by R. Gay),2,10-8,,
7:21.0,,,10-10,2,T. Duncan makes 2-pt shot from 1 ft
7:04.0,D. Collison misses 3-pt shot from 23 ft,,10-10,,
7:03.0,,,10-10,,Defensive rebound by T. Duncan
6:42.0,,,10-10,,B. Diaw misses 2-pt shot from 14 ft
6:36.0,Defensive rebound by J. Thompson,,10-10,,
6:32.0,R. Gay misses 2-pt shot from 1 ft,,10-10,,
6:30.0,Offensive rebound by R. Hollins,,10-10,,
6:30.0,R. Hollins makes 2-pt shot from 2 ft,2,12-10,,
6:30.0,,,12-10,,San Antonio full timeout
6:21.0,,,12-10,,K. Leonard misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by J. Thompson,,12-10,,
6:04.0,R. Gay makes 2-pt shot from 8 ft,2,14-10,,
5:49.0,,,14-13,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
5:34.0,B. McLemore misses 2-pt shot from 18 ft,,14-13,,
5:33.0,,,14-13,,Defensive rebound by D. Green
5:26.0,Personal foul by B. McLemore (drawn by T. Duncan),,14-13,,
5:26.0,,,14-13,,M. Ginobili enters the game for D. Green
5:17.0,,,14-13,,T. Duncan misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by J. Thompson,,14-13,,
5:01.0,Turnover by R. Hollins (lost ball; steal by K. Leonard),,14-13,,
4:56.0,,,14-13,,Shooting foul by R. Hollins (drawn by T. Duncan)
4:56.0,,,14-14,1,T. Duncan makes free throw 1 of 2
4:56.0,,,14-14,,C. Joseph enters the game for T. Parker
4:56.0,,,14-14,,M. Bonner enters the game for B. Diaw
4:56.0,O. Casspi enters the game for R. Gay,,14-14,,
4:56.0,,,14-14,,T. Duncan misses free throw 2 of 2
4:55.0,Defensive rebound by B. McLemore,,14-14,,
4:42.0,,,14-14,,Personal foul by C. Joseph (drawn by D. Collison)
4:42.0,D. Williams enters the game for R. Hollins,,14-14,,
4:34.0,Turnover by B. McLemore (lost ball; steal by M. Bonner),,14-14,,
4:20.0,Personal block foul by D. Williams (drawn by M. Ginobili),,14-14,,
4:06.0,,,14-14,,C. Joseph misses 3-pt shot from 22 ft
4:05.0,Defensive rebound by J. Thompson,,14-14,,
3:57.0,D. Collison makes 2-pt shot from 16 ft,2,16-14,,
3:40.0,,,16-14,,K. Leonard misses 2-pt shot from 18 ft
3:39.0,Defensive rebound by J. Thompson,,16-14,,
3:27.0,D. Collison misses 2-pt shot from 16 ft,,16-14,,
3:26.0,,,16-14,,Defensive rebound by M. Ginobili
3:18.0,,,16-16,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili)
2:52.0,B. McLemore misses 2-pt shot from 13 ft,,16-16,,
2:51.0,,,16-16,,Defensive rebound by T. Duncan
2:44.0,,,16-18,2,K. Leonard makes 2-pt shot from 1 ft (assist by M. Ginobili)
2:37.0,Sacramento full timeout,,16-18,,
2:37.0,,,16-18,,M. Belinelli enters the game for K. Leonard
2:37.0,,,16-18,,A. Baynes enters the game for T. Duncan
2:37.0,R. Sessions enters the game for D. Collison,,16-18,,
2:37.0,,,16-18,,T. Parker enters the game for C. Joseph
2:21.0,D. Williams makes 2-pt shot from 7 ft (assist by O. Casspi),2,18-18,,
2:05.0,,,18-18,,A. Baynes misses 2-pt shot from 1 ft (block by J. Thompson)
2:04.0,,,18-18,,Offensive rebound by A. Baynes
2:03.0,,,18-18,,Turnover by A. Baynes (traveling)
