time,Chicago,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat,,,,Jump ball: P. Gasol vs. M. Gortat
12:00.0,,,0-0,,Violation by Team (jump ball)
11:48.0,D. Rose misses 2-pt shot from 6 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by N. Hilario
11:40.0,,,0-0,,J. Wall misses 2-pt shot from 1 ft
11:39.0,Defensive rebound by P. Gasol,,0-0,,
11:23.0,D. Rose makes 2-pt shot from 1 ft,2,2-0,,
11:02.0,,,2-0,,M. Gortat misses 2-pt shot from 4 ft
11:01.0,Defensive rebound by J. Noah,,2-0,,
10:49.0,D. Rose misses 3-pt shot from 25 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by M. Gortat
10:36.0,,,2-2,2,N. Hilario makes 2-pt shot from 14 ft
10:15.0,J. Butler misses 2-pt shot from 6 ft,,2-2,,
10:14.0,,,2-2,,Defensive rebound by M. Gortat
9:51.0,,,2-5,3,P. Pierce makes 3-pt shot from 22 ft (assist by J. Wall)
9:24.0,J. Butler misses 3-pt shot from 24 ft,,2-5,,
9:23.0,,,2-5,,Defensive rebound by N. Hilario
9:19.0,,,2-5,,Turnover by P. Pierce (step out of bounds)
9:06.0,J. Butler misses 2-pt shot from 14 ft (block by P. Pierce),,2-5,,
9:05.0,,,2-5,,Defensive rebound by Team
8:59.0,,,2-7,2,N. Hilario makes 2-pt shot at rim (assist by P. Pierce)
8:38.0,P. Gasol misses 2-pt shot from 18 ft,,2-7,,
8:37.0,,,2-7,,Defensive rebound by P. Pierce
8:30.0,,,2-7,,Turnover by J. Wall (bad pass; steal by J. Butler)
8:11.0,J. Butler misses 3-pt shot from 24 ft,,2-7,,
8:10.0,,,2-7,,Defensive rebound by N. Hilario
7:57.0,,,2-7,,Shooting foul by J. Noah (drawn by P. Pierce)
7:57.0,,,2-8,1,P. Pierce makes free throw 1 of 2
7:57.0,,,2-8,,P. Pierce misses free throw 2 of 2
7:55.0,Defensive rebound by P. Gasol,,2-8,,
7:42.0,J. Noah misses 2-pt shot from 6 ft,,2-8,,
7:41.0,,,2-8,,Defensive rebound by N. Hilario
7:36.0,,,2-8,,P. Pierce misses 3-pt shot from 26 ft
7:34.0,,,2-8,,Offensive rebound by M. Gortat
7:26.0,,,2-10,2,N. Hilario makes 2-pt shot from 2 ft
7:20.0,Chicago full timeout,,2-10,,
7:02.0,D. Rose makes 2-pt shot from 19 ft,2,4-10,,
6:50.0,,,4-12,2,M. Gortat makes 2-pt shot from 2 ft (assist by B. Beal)
6:41.0,Shooting foul by N. Hilario (drawn by P. Gasol),,4-12,,
6:41.0,P. Gasol misses free throw 1 of 2,,4-12,,
6:41.0,Offensive rebound by Team,,4-12,,
6:41.0,P. Gasol misses free throw 2 of 2,,4-12,,
6:40.0,Offensive rebound by J. Noah,,4-12,,
