time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (M. Carter-Williams gains possession)
11:46.0,Z. Pachulia makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,2-0,,
11:32.0,,,2-0,,Turnover by M. Dunleavy (lost ball)
11:26.0,K. Middleton makes 2-pt shot from 18 ft,2,4-0,,
11:13.0,,,4-2,2,J. Noah makes 2-pt shot from 1 ft (assist by D. Rose)
10:57.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,4-2,,
10:55.0,Offensive rebound by E. Ilyasova,,4-2,,
10:55.0,E. Ilyasova makes 2-pt shot from 1 ft,2,6-2,,
10:30.0,,,6-2,,D. Rose misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by Team,,6-2,,
10:16.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,8-2,,
9:57.0,,,8-4,2,P. Gasol makes 2-pt shot from 21 ft (assist by J. Butler)
9:33.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,10-4,,
9:26.0,,,10-6,2,D. Rose makes 2-pt shot at rim
9:17.0,E. Ilyasova misses 3-pt shot from 26 ft,,10-6,,
9:16.0,,,10-6,,Defensive rebound by J. Noah
9:01.0,,,10-6,,D. Rose misses 3-pt shot from 25 ft
9:00.0,Defensive rebound by Z. Pachulia,,10-6,,
8:56.0,Offensive charge foul by G. Antetokounmpo,,10-6,,
8:56.0,Turnover by G. Antetokounmpo (offensive foul),,10-6,,
8:33.0,,,10-6,,Turnover by J. Noah (bad pass; steal by K. Middleton)
8:27.0,G. Antetokounmpo misses 2-pt shot from 7 ft (block by D. Rose),,10-6,,
8:25.0,,,10-6,,Defensive rebound by J. Noah
8:13.0,,,10-9,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by D. Rose)
7:56.0,Jump ball: J. Butler vs. M. Carter-Williams (J. Noah gains possession),,,,Jump ball: J. Butler vs. M. Carter-Williams (J. Noah gains possession)
7:56.0,Turnover by M. Carter-Williams (lost ball; steal by J. Butler),,10-9,,
7:43.0,Personal foul by M. Carter-Williams (drawn by D. Rose),,10-9,,
7:32.0,,,10-11,2,P. Gasol makes 2-pt shot from 9 ft (assist by M. Dunleavy)
7:19.0,M. Carter-Williams makes 2-pt shot from 15 ft,2,12-11,,
7:05.0,,,12-14,3,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose)
6:49.0,K. Middleton misses 2-pt shot from 21 ft,,12-14,,
6:49.0,,,12-14,,Defensive rebound by J. Butler
6:40.0,,,12-16,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
6:28.0,Turnover by M. Carter-Williams (bad pass; steal by M. Dunleavy),,12-16,,
6:11.0,,,12-16,,Shooting foul by K. Middleton (drawn by J. Butler)
6:11.0,,,12-17,1,J. Butler makes free throw 1 of 2
6:11.0,,,12-17,,T. Snell enters the game for D. Rose
6:11.0,,,12-18,1,J. Butler makes free throw 2 of 2
5:54.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,14-18,,
5:35.0,,,14-18,,P. Gasol misses 3-pt shot from 23 ft
5:34.0,Defensive rebound by M. Carter-Williams,,14-18,,
5:29.0,M. Carter-Williams makes 2-pt shot from 9 ft,2,16-18,,
5:29.0,Shooting foul by M. Dunleavy (drawn by M. Carter-Williams),,16-18,,
5:29.0,,,16-18,,Chicago full timeout
5:29.0,J. Bayless enters the game for G. Antetokounmpo,,16-18,,
5:29.0,,,16-18,,A. Brooks enters the game for T. Snell
5:29.0,M. Carter-Williams makes free throw 1 of 1,1,17-18,,
5:17.0,,,17-18,,Turnover by J. Noah (bad pass; steal by M. Carter-Williams)
5:13.0,E. Ilyasova makes 2-pt shot from 14 ft (assist by K. Middleton),2,19-18,,
4:58.0,,,19-20,2,P. Gasol makes 2-pt shot from 2 ft (assist by J. Noah)
4:44.0,Turnover by M. Carter-Williams (traveling),,19-20,,
4:31.0,,,19-22,2,J. Butler makes 2-pt shot at rim (assist by J. Noah)
4:16.0,K. Middleton makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,22-22,,
3:55.0,,,22-25,3,A. Brooks makes 3-pt shot from 26 ft (assist by P. Gasol)
3:32.0,Z. Pachulia misses 2-pt shot from 17 ft,,22-25,,
3:31.0,,,22-25,,Defensive rebound by J. Noah
3:21.0,,,22-25,,Turnover by A. Brooks (lost ball; steal by E. Ilyasova)
3:17.0,J. Bayless makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,24-25,,
2:53.0,,,24-25,,P. Gasol misses 2-pt shot from 7 ft
2:52.0,Defensive rebound by Z. Pachulia,,24-25,,
2:37.0,Turnover by Z. Pachulia (lost ball; steal by J. Noah),,24-25,,
2:37.0,Personal foul by Z. Pachulia (drawn by J. Noah),,24-25,,
2:37.0,Milwaukee full timeout,,24-25,,
2:37.0,,,24-25,,T. Gibson enters the game for J. Noah
2:37.0,O. Mayo enters the game for M. Carter-Williams,,24-25,,
2:37.0,J. Henson enters the game for Z. Pachulia,,24-25,,
2:21.0,,,24-25,,Offensive charge foul by A. Brooks
2:21.0,,,24-25,,Turnover by A. Brooks (offensive foul)
2:09.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by J. Bayless),3,27-25,,
2:04.0,Personal foul by O. Mayo (drawn by M. Dunleavy),,27-25,,
1:56.0,,,27-25,,P. Gasol misses 2-pt shot from 6 ft
1:55.0,Defensive rebound by O. Mayo,,27-25,,
1:50.0,O. Mayo misses 2-pt shot from 6 ft,,27-25,,
1:49.0,,,27-25,,Defensive rebound by P. Gasol
1:43.0,,,27-25,,M. Dunleavy misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by J. Henson,,27-25,,
1:30.0,K. Middleton misses 2-pt shot from 11 ft,,27-25,,
1:29.0,,,27-25,,Defensive rebound by P. Gasol
1:27.0,,,27-25,,Shooting foul by J. Henson (drawn by J. Butler)
1:27.0,,,27-26,1,J. Butler makes free throw 1 of 2
1:27.0,,,27-26,,N. Mirotic enters the game for M. Dunleavy
1:27.0,G. Antetokounmpo enters the game for K. Middleton,,27-26,,
1:27.0,,,27-27,1,J. Butler makes free throw 2 of 2
1:08.0,E. Ilyasova misses 2-pt shot from 5 ft (block by P. Gasol),,27-27,,
1:08.0,Offensive rebound by Team,,27-27,,
1:03.0,J. Bayless makes 2-pt shot from 22 ft (assist by E. Ilyasova),2,29-27,,
0:37.0,,,29-27,,A. Brooks misses 2-pt shot from 17 ft
0:35.0,Defensive rebound by O. Mayo,,29-27,,
0:26.0,G. Antetokounmpo misses 2-pt shot from 21 ft,,29-27,,
0:24.0,,,29-27,,Defensive rebound by P. Gasol
0:03.0,,,29-27,,P. Gasol misses 3-pt shot from 23 ft
0:01.0,,,29-27,,Offensive rebound by A. Brooks
0:00.0,,,29-30,3,A. Brooks makes 3-pt shot from 25 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-30,,N. Mirotic misses 3-pt shot from 26 ft
11:47.0,Defensive rebound by Team,,29-30,,
11:47.0,,,29-30,,Loose ball foul by J. Noah (drawn by G. Antetokounmpo)
11:35.0,J. Dudley misses 3-pt shot from 25 ft,,29-30,,
11:34.0,,,29-30,,Defensive rebound by T. Snell
11:10.0,,,29-32,2,T. Snell makes 2-pt shot from 19 ft (assist by A. Brooks)
11:00.0,O. Mayo misses 3-pt shot from 25 ft,,29-32,,
10:59.0,,,29-32,,Defensive rebound by N. Mirotic
10:43.0,,,29-32,,J. Noah misses 2-pt shot from 13 ft
10:42.0,,,29-32,,Offensive rebound by T. Gibson
10:42.0,,,29-32,,Shooting foul by J. Dudley (drawn by T. Gibson)
10:42.0,,,29-33,1,T. Gibson makes free throw 1 of 2
10:42.0,,,29-33,,T. Gibson misses free throw 2 of 2
10:40.0,,,29-33,,Offensive rebound by T. Gibson
10:37.0,,,29-33,,T. Snell misses 3-pt shot from 25 ft
10:35.0,,,29-33,,Offensive rebound by T. Gibson
10:30.0,,,29-35,2,A. Brooks makes 2-pt shot from 3 ft (assist by T. Snell)
10:17.0,Shooting foul by A. Brooks (drawn by J. Bayless),,29-35,,
10:17.0,J. Bayless makes free throw 1 of 2,1,30-35,,
10:17.0,J. Bayless misses free throw 2 of 2,,30-35,,
10:16.0,,,30-35,,Defensive rebound by J. Noah
10:09.0,,,30-35,,Shooting foul by J. Bayless (drawn by A. Brooks)
10:09.0,,,30-36,1,A. Brooks makes free throw 1 of 2
10:09.0,,,30-37,1,A. Brooks makes free throw 2 of 2
9:59.0,Turnover by J. Henson (bad pass; steal by J. Noah),,30-37,,
9:54.0,,,30-37,,Turnover by N. Mirotic (bad pass; steal by J. Henson)
9:41.0,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by J. Dudley),2,32-37,,
9:20.0,,,32-39,2,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Noah)
9:03.0,J. Bayless misses 2-pt shot from 15 ft,,32-39,,
9:02.0,,,32-39,,Defensive rebound by T. Gibson
8:53.0,,,32-39,,Shooting foul by J. Dudley (drawn by J. Noah)
8:53.0,,,32-39,,Chicago full timeout
8:53.0,M. Carter-Williams enters the game for J. Bayless,,32-39,,
8:53.0,,,32-39,,J. Noah misses free throw 1 of 2
8:53.0,,,32-39,,Offensive rebound by Team
8:53.0,,,32-39,,J. Noah misses free throw 2 of 2
8:52.0,Defensive rebound by G. Antetokounmpo,,32-39,,
8:36.0,J. Henson makes 2-pt shot from 2 ft (assist by G. Antetokounmpo),2,34-39,,
8:19.0,,,34-42,3,N. Mirotic makes 3-pt shot from 25 ft (assist by A. Brooks)
8:06.0,,,34-42,,Def 3 sec tech foul by J. Noah
8:06.0,O. Mayo makes technical free throw,1,35-42,,
8:06.0,,,35-42,,D. Rose enters the game for A. Brooks
7:56.0,Shooting foul by N. Mirotic (drawn by G. Antetokounmpo),,35-42,,
7:56.0,G. Antetokounmpo makes free throw 1 of 2,1,36-42,,
7:56.0,G. Antetokounmpo makes free throw 2 of 2,1,37-42,,
7:48.0,,,37-44,2,D. Rose makes 2-pt shot from 2 ft
7:34.0,M. Carter-Williams misses 2-pt shot from 20 ft,,37-44,,
7:33.0,Offensive rebound by J. Henson,,37-44,,
7:29.0,J. Dudley makes 2-pt shot from 22 ft (assist by O. Mayo),2,39-44,,
7:11.0,,,39-46,2,D. Rose makes 2-pt shot from 7 ft (assist by N. Mirotic)
6:56.0,M. Carter-Williams makes 2-pt shot from 14 ft,2,41-46,,
6:56.0,Shooting foul by D. Rose (drawn by M. Carter-Williams),,41-46,,
6:56.0,Z. Pachulia enters the game for J. Henson,,41-46,,
6:56.0,M. Carter-Williams misses free throw 1 of 1,,41-46,,
6:54.0,,,41-46,,Defensive rebound by J. Noah
6:33.0,,,41-46,,T. Gibson misses 2-pt shot from 15 ft
6:32.0,Defensive rebound by O. Mayo,,41-46,,
6:16.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,41-46,,
6:15.0,,,41-46,,Defensive rebound by N. Mirotic
6:07.0,,,41-46,,N. Mirotic misses 3-pt shot from 25 ft
6:06.0,Defensive rebound by M. Carter-Williams,,41-46,,
5:59.0,M. Carter-Williams misses 2-pt shot from 19 ft,,41-46,,
5:59.0,Offensive rebound by G. Antetokounmpo,,41-46,,
5:59.0,G. Antetokounmpo misses 2-pt shot from 2 ft,,41-46,,
5:56.0,,,41-46,,Defensive rebound by T. Gibson
5:56.0,,,41-46,,Turnover by T. Gibson (offensive foul)
5:56.0,,,41-46,,Chicago full timeout
5:56.0,O. Mayo makes flagrant free throw 1 of 2,1,42-46,,
5:56.0,O. Mayo makes flagrant free throw 2 of 2,1,43-46,,
5:56.0,K. Middleton enters the game for O. Mayo,,43-46,,
5:56.0,,,43-46,,J. Butler enters the game for T. Snell
5:56.0,,,43-46,,M. Dunleavy enters the game for N. Mirotic
5:56.0,E. Ilyasova enters the game for J. Dudley,,43-46,,
5:46.0,K. Middleton misses 2-pt shot from 17 ft,,43-46,,
5:45.0,Offensive rebound by Z. Pachulia,,43-46,,
5:44.0,Z. Pachulia misses 2-pt shot from 3 ft (block by J. Noah),,43-46,,
5:42.0,Offensive rebound by Z. Pachulia,,43-46,,
5:40.0,Z. Pachulia makes 2-pt shot from 3 ft,2,45-46,,
5:21.0,,,45-46,,Offensive foul by D. Rose
5:21.0,,,45-46,,Turnover by D. Rose (offensive foul)
5:07.0,Z. Pachulia misses 2-pt shot from 9 ft,,45-46,,
5:06.0,,,45-46,,Defensive rebound by T. Gibson
5:00.0,,,45-48,2,D. Rose makes 2-pt shot from 2 ft
4:50.0,E. Ilyasova misses 2-pt shot from 19 ft,,45-48,,
4:49.0,,,45-48,,Defensive rebound by J. Noah
4:43.0,,,45-48,,Turnover by D. Rose (lost ball; steal by K. Middleton)
4:33.0,G. Antetokounmpo misses 2-pt shot from 22 ft,,45-48,,
4:32.0,,,45-48,,Defensive rebound by M. Dunleavy
4:15.0,,,45-48,,J. Butler misses 3-pt shot from 23 ft
4:13.0,,,45-48,,Offensive rebound by T. Gibson
4:03.0,,,45-48,,Turnover by D. Rose (lost ball; steal by K. Middleton)
4:00.0,Shooting foul by M. Dunleavy (drawn by G. Antetokounmpo),,45-48,,
4:00.0,G. Antetokounmpo makes free throw 1 of 2,1,46-48,,
4:00.0,,,46-48,,P. Gasol enters the game for J. Noah
4:00.0,G. Antetokounmpo makes free throw 2 of 2,1,47-48,,
3:40.0,,,47-50,2,J. Butler makes 2-pt shot from 22 ft (assist by T. Gibson)
3:28.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,49-50,,
3:19.0,,,49-53,3,J. Butler makes 3-pt shot from 25 ft (assist by D. Rose)
3:04.0,E. Ilyasova misses 3-pt shot from 24 ft,,49-53,,
3:01.0,Offensive rebound by Z. Pachulia,,49-53,,
2:55.0,M. Carter-Williams misses 2-pt shot from 13 ft,,49-53,,
2:54.0,,,49-53,,Defensive rebound by Team
2:54.0,Loose ball foul by Z. Pachulia (drawn by M. Dunleavy),,49-53,,
2:54.0,Milwaukee full timeout,,49-53,,
2:54.0,J. Henson enters the game for Z. Pachulia,,49-53,,
2:30.0,,,49-53,,J. Butler misses 3-pt shot from 27 ft
2:30.0,Defensive rebound by Team,,49-53,,
2:21.0,Turnover by E. Ilyasova (bad pass; steal by D. Rose),,49-53,,
2:16.0,,,49-55,2,D. Rose makes 2-pt shot at rim (assist by J. Butler)
1:59.0,M. Carter-Williams misses 2-pt shot from 9 ft (block by P. Gasol),,49-55,,
1:57.0,,,49-55,,Defensive rebound by P. Gasol
1:50.0,,,49-57,2,D. Rose makes 2-pt shot from 2 ft
1:37.0,Shooting foul by D. Rose (drawn by M. Carter-Williams),,49-57,,
1:37.0,M. Carter-Williams misses free throw 1 of 2,,49-57,,
1:37.0,Offensive rebound by Team,,49-57,,
1:37.0,,,49-57,,A. Brooks enters the game for D. Rose
1:37.0,M. Carter-Williams misses free throw 2 of 2,,49-57,,
1:36.0,,,49-57,,Defensive rebound by P. Gasol
1:19.0,,,49-57,,M. Dunleavy misses 3-pt shot from 26 ft
1:19.0,,,49-57,,Offensive rebound by Team
1:19.0,Loose ball foul by G. Antetokounmpo (drawn by T. Gibson),,49-57,,
1:19.0,,,49-58,1,T. Gibson makes free throw 1 of 2
1:19.0,,,49-58,,T. Snell enters the game for A. Brooks
1:19.0,,,49-59,1,T. Gibson makes free throw 2 of 2
1:05.0,E. Ilyasova misses 3-pt shot from 25 ft,,49-59,,
1:04.0,Offensive rebound by J. Henson,,49-59,,
0:56.0,Offensive foul by K. Middleton,,49-59,,
0:56.0,Turnover by K. Middleton (offensive foul),,49-59,,
0:56.0,,,49-59,,A. Brooks enters the game for T. Snell
0:36.0,,,49-59,,Shooting foul by G. Antetokounmpo (drawn by J. Butler)
0:36.0,,,49-59,,J. Butler misses free throw 1 of 2
0:36.0,,,49-59,,Offensive rebound by Team
0:36.0,O. Mayo enters the game for G. Antetokounmpo,,49-59,,
0:36.0,,,49-59,,J. Noah enters the game for P. Gasol
0:36.0,,,49-59,,T. Snell enters the game for A. Brooks
0:36.0,,,49-60,1,J. Butler makes free throw 2 of 2
0:28.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by T. Snell),,49-60,,
0:27.0,Offensive rebound by J. Henson,,49-60,,
0:27.0,J. Henson makes 2-pt shot at rim,2,51-60,,
0:22.0,,,51-60,,Chicago full timeout
0:22.0,,,51-60,,A. Brooks enters the game for T. Snell
0:22.0,,,51-60,,P. Gasol enters the game for T. Gibson
0:04.0,,,51-60,,A. Brooks misses 2-pt shot from 7 ft
0:04.0,Defensive rebound by Team,,51-60,,
0:04.0,,,51-60,,Loose ball foul by P. Gasol (drawn by E. Ilyasova)
0:04.0,E. Ilyasova misses free throw 1 of 2,,51-60,,
0:04.0,Offensive rebound by Team,,51-60,,
0:04.0,J. Bayless enters the game for K. Middleton,,51-60,,
0:04.0,,,51-60,,N. Mirotic enters the game for J. Noah
0:04.0,E. Ilyasova misses free throw 2 of 2,,51-60,,
0:03.0,,,51-60,,Defensive rebound by P. Gasol
0:00.0,,,51-60,,P. Gasol misses 3-pt shot from 42 ft
0:00.0,,,51-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:33.0,,,51-60,,P. Gasol misses 2-pt shot from 21 ft
11:32.0,Defensive rebound by Z. Pachulia,,51-60,,
11:16.0,K. Middleton misses 2-pt shot from 8 ft,,51-60,,
11:15.0,Offensive rebound by K. Middleton,,51-60,,
11:13.0,K. Middleton makes 2-pt shot from 5 ft,2,53-60,,
10:51.0,,,53-60,,D. Rose misses 2-pt shot from 2 ft
10:50.0,Defensive rebound by Z. Pachulia,,53-60,,
10:47.0,Turnover by Z. Pachulia (lost ball; steal by D. Rose),,53-60,,
