time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: I. Mahinmi vs. T. Thompson (K. Love gains possession),,,,Jump ball: I. Mahinmi vs. T. Thompson (K. Love gains possession)
11:42.0,,,0-2,2,K. Love makes 2-pt shot from 14 ft
11:19.0,I. Mahinmi makes 2-pt shot from 10 ft (assist by R. Stuckey),2,2-2,,
11:00.0,,,2-2,,L. James misses 2-pt shot from 15 ft
10:59.0,Defensive rebound by R. Stuckey,,2-2,,
10:53.0,R. Stuckey misses 2-pt shot at rim (block by S. Marion),,2-2,,
10:51.0,,,2-2,,Defensive rebound by T. Thompson
10:44.0,,,2-4,2,K. Irving makes 2-pt shot from 21 ft
10:22.0,D. West misses 3-pt shot from 26 ft,,2-4,,
10:21.0,Offensive rebound by I. Mahinmi,,2-4,,
10:05.0,R. Stuckey misses 2-pt shot from 5 ft,,2-4,,
10:05.0,,,2-4,,Defensive rebound by Team
10:05.0,Loose ball foul by D. West (drawn by K. Love),,2-4,,
9:51.0,,,2-6,2,L. James makes 2-pt shot from 1 ft (assist by K. Irving)
9:42.0,Turnover by I. Mahinmi (bad pass; steal by K. Love),,2-6,,
9:37.0,,,2-6,,Shooting foul by I. Mahinmi (drawn by K. Love)
9:37.0,,,2-7,1,K. Love makes free throw 1 of 2
9:37.0,,,2-8,1,K. Love makes free throw 2 of 2
9:17.0,D. West makes 2-pt shot from 8 ft,2,4-8,,
9:06.0,,,4-11,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
8:49.0,D. West misses 2-pt shot from 18 ft,,4-11,,
8:48.0,,,4-11,,Defensive rebound by S. Marion
8:39.0,,,4-13,2,K. Love makes 2-pt shot from 1 ft (assist by L. James)
8:38.0,Indiana full timeout,,4-13,,
8:24.0,R. Stuckey misses 2-pt shot from 18 ft,,4-13,,
8:23.0,,,4-13,,Defensive rebound by K. Irving
8:12.0,,,4-16,3,K. Love makes 3-pt shot from 26 ft (assist by S. Marion)
7:55.0,D. West misses 2-pt shot from 16 ft,,4-16,,
7:53.0,Offensive rebound by I. Mahinmi,,4-16,,
7:53.0,I. Mahinmi misses 2-pt shot from 2 ft,,4-16,,
7:47.0,Offensive rebound by I. Mahinmi,,4-16,,
7:46.0,D. Sloan misses 3-pt shot from 24 ft,,4-16,,
7:45.0,,,4-16,,Defensive rebound by L. James
7:37.0,,,4-18,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
7:17.0,D. West makes 2-pt shot from 18 ft (assist by D. Sloan),2,6-18,,
7:04.0,,,6-18,,K. Love misses 2-pt shot from 12 ft
7:01.0,Defensive rebound by D. West,,6-18,,
7:01.0,Turnover by S. Hill (offensive foul),,6-18,,
7:01.0,Offensive charge foul by S. Hill,,6-18,,
6:44.0,,,6-20,2,K. Love makes 2-pt shot from 6 ft
6:31.0,Turnover by D. Sloan (bad pass; steal by L. James),,6-20,,
6:26.0,,,6-22,2,L. James makes 2-pt shot at rim
6:26.0,Indiana full timeout,,6-22,,
6:26.0,C. Miles enters the game for R. Stuckey,,6-22,,
6:26.0,L. Allen enters the game for S. Hill,,6-22,,
6:26.0,C. Copeland enters the game for I. Mahinmi,,6-22,,
6:03.0,C. Copeland misses 3-pt shot from 26 ft,,6-22,,
5:59.0,,,6-22,,Defensive rebound by K. Irving
5:55.0,,,6-24,2,S. Marion makes 2-pt shot at rim (assist by K. Irving)
5:42.0,C. Watson enters the game for D. Sloan,,6-24,,
5:37.0,D. West makes 2-pt shot from 17 ft (assist by C. Copeland),2,8-24,,
5:18.0,,,8-24,,K. Irving misses 2-pt shot from 3 ft
5:15.0,,,8-24,,Offensive rebound by K. Love
5:15.0,,,8-24,,K. Love misses 2-pt shot at rim
5:14.0,,,8-24,,Offensive rebound by K. Love
5:14.0,,,8-24,,Shooting foul by L. Allen (drawn by K. Love)
5:14.0,,,8-25,1,K. Love makes free throw 1 of 2
5:14.0,,,8-25,,D. Waiters enters the game for S. Marion
5:14.0,,,8-26,1,K. Love makes free throw 2 of 2
4:58.0,D. West misses 2-pt shot from 15 ft,,8-26,,
4:56.0,,,8-26,,Defensive rebound by D. Waiters
4:51.0,,,8-26,,Shooting foul by C. Copeland (drawn by D. Waiters)
4:51.0,,,8-27,1,D. Waiters makes free throw 1 of 2
4:51.0,,,8-27,,D. Waiters misses free throw 2 of 2
4:49.0,Defensive rebound by D. West,,8-27,,
4:34.0,C. Watson misses 2-pt shot from 4 ft (block by K. Irving),,8-27,,
4:32.0,,,8-27,,Defensive rebound by K. Irving
4:30.0,,,8-27,,Turnover by L. James (bad pass)
4:13.0,C. Miles misses 2-pt shot from 20 ft,,8-27,,
4:12.0,,,8-27,,Defensive rebound by K. Love
3:54.0,,,8-27,,K. Love misses 3-pt shot from 23 ft
3:53.0,Defensive rebound by C. Watson,,8-27,,
3:48.0,C. Watson misses 2-pt shot from 3 ft,,8-27,,
3:47.0,,,8-27,,Defensive rebound by K. Love
3:39.0,,,8-27,,K. Irving misses 2-pt shot from 1 ft
3:36.0,Defensive rebound by L. Allen,,8-27,,
3:24.0,D. West makes 2-pt shot from 7 ft,2,10-27,,
3:23.0,,,10-27,,Cleveland full timeout
3:23.0,,,10-27,,W. Cherry enters the game for K. Irving
3:12.0,,,10-27,,L. James misses 2-pt shot from 13 ft
3:11.0,Defensive rebound by L. Allen,,10-27,,
3:08.0,,,10-27,,Personal foul by K. Love (drawn by D. West)
3:08.0,,,10-27,,L. Amundson enters the game for T. Thompson
2:52.0,C. Miles misses 2-pt shot from 8 ft,,10-27,,
2:49.0,Offensive rebound by C. Miles,,10-27,,
2:47.0,L. Allen makes 2-pt shot at rim (assist by C. Miles),2,12-27,,
2:33.0,,,12-27,,D. Waiters misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by L. Allen,,12-27,,
2:18.0,C. Miles makes 3-pt shot from 25 ft (assist by C. Copeland),3,15-27,,
2:00.0,,,15-27,,L. Amundson misses 2-pt shot from 2 ft
1:59.0,Defensive rebound by C. Copeland,,15-27,,
1:49.0,D. West misses 2-pt shot from 16 ft,,15-27,,
1:48.0,Offensive rebound by L. Allen,,15-27,,
1:45.0,L. Allen makes 2-pt shot at rim,2,17-27,,
1:23.0,,,17-27,,L. Amundson misses 2-pt shot from 6 ft
1:22.0,Defensive rebound by C. Watson,,17-27,,
1:18.0,,,17-27,,Personal foul by L. James (drawn by C. Copeland)
1:18.0,L. Scola enters the game for D. West,,17-27,,
1:18.0,,,17-27,,T. Thompson enters the game for K. Love
1:09.0,L. Allen makes 2-pt shot from 16 ft (assist by C. Miles),2,19-27,,
0:50.0,,,19-27,,Turnover by L. James (bad pass)
0:42.0,,,19-27,,Personal foul by W. Cherry (drawn by C. Watson)
0:42.0,C. Watson makes free throw 1 of 2,1,20-27,,
0:42.0,C. Watson makes free throw 2 of 2,1,21-27,,
0:35.0,,,21-27,,L. James misses 3-pt shot from 26 ft
0:34.0,Defensive rebound by L. Scola,,21-27,,
0:12.0,C. Watson misses 3-pt shot from 27 ft,,21-27,,
0:11.0,,,21-27,,Defensive rebound by Team
0:11.0,,,21-27,,K. Irving enters the game for L. Amundson
0:11.0,I. Mahinmi enters the game for L. Scola,,21-27,,
0:01.0,,,21-29,2,L. James makes 2-pt shot from 10 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,Shooting foul by S. Marion (drawn by C. Copeland),,21-29,,
11:37.0,C. Copeland makes free throw 1 of 2,1,22-29,,
11:37.0,C. Copeland makes free throw 2 of 2,1,23-29,,
11:24.0,,,23-31,2,K. Irving makes 2-pt shot from 13 ft (assist by J. Harris)
11:24.0,,,23-31,,Shooting foul by C. Miles (drawn by K. Irving)
11:24.0,,,23-32,1,K. Irving makes free throw 1 of 1
11:03.0,C. Watson misses 3-pt shot from 23 ft,,23-32,,
11:02.0,,,23-32,,Defensive rebound by S. Marion
10:54.0,,,23-32,,W. Cherry misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by L. Scola,,23-32,,
10:33.0,C. Miles misses 3-pt shot from 26 ft,,23-32,,
10:32.0,Offensive rebound by Team,,23-32,,
10:32.0,,,23-32,,Loose ball foul by K. Irving (drawn by L. Scola)
10:32.0,,,23-32,,D. Waiters enters the game for W. Cherry
10:18.0,C. Copeland makes 2-pt shot from 7 ft (assist by C. Watson),2,25-32,,
10:04.0,,,25-32,,K. Irving misses 2-pt shot from 8 ft
10:03.0,,,25-32,,Offensive rebound by T. Thompson
10:02.0,,,25-32,,Shooting foul by L. Allen (drawn by T. Thompson)
10:02.0,,,25-32,,T. Thompson misses free throw 1 of 2
10:02.0,,,25-32,,Offensive rebound by Team
10:02.0,,,25-32,,K. Love enters the game for J. Harris
10:02.0,,,25-33,1,T. Thompson makes free throw 2 of 2
9:40.0,C. Copeland misses 3-pt shot from 26 ft,,25-33,,
9:40.0,,,25-33,,Defensive rebound by Team
9:27.0,,,25-33,,K. Love misses 2-pt shot at rim
9:25.0,Defensive rebound by L. Allen,,25-33,,
9:12.0,L. Allen misses 2-pt shot from 9 ft,,25-33,,
9:11.0,,,25-33,,Defensive rebound by T. Thompson
8:53.0,,,25-36,3,K. Irving makes 3-pt shot from 25 ft (assist by D. Waiters)
8:30.0,L. Scola misses 2-pt shot from 5 ft,,25-36,,
8:29.0,,,25-36,,Defensive rebound by T. Thompson
8:21.0,,,25-36,,Shooting foul by L. Allen (drawn by T. Thompson)
8:21.0,Official timeout,,25-36,,
8:21.0,I. Mahinmi enters the game for L. Allen,,25-36,,
8:21.0,D. Sloan enters the game for C. Watson,,25-36,,
8:21.0,,,25-37,1,T. Thompson makes free throw 1 of 2
8:21.0,,,25-37,,T. Thompson misses free throw 2 of 2
8:19.0,Defensive rebound by L. Scola,,25-37,,
8:04.0,L. Scola makes 2-pt shot from 18 ft (assist by C. Miles),2,27-37,,
7:44.0,,,27-37,,Offensive charge foul by K. Love
7:44.0,,,27-37,,Turnover by K. Love (offensive foul)
7:44.0,,,27-37,,L. James enters the game for S. Marion
7:22.0,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan),2,29-37,,
7:11.0,,,29-39,2,T. Thompson makes 2-pt shot at rim (assist by K. Irving)
6:46.0,C. Miles makes 3-pt shot from 26 ft (assist by L. Scola),3,32-39,,
6:39.0,,,32-39,,Turnover by D. Waiters (traveling)
6:19.0,Shooting foul by T. Thompson (drawn by L. Scola),,32-39,,
6:19.0,L. Scola makes free throw 1 of 2,1,33-39,,
6:19.0,,,33-39,,W. Cherry enters the game for K. Irving
6:19.0,S. Hill enters the game for C. Copeland,,33-39,,
6:19.0,L. Scola makes free throw 2 of 2,1,34-39,,
5:57.0,,,34-39,,L. James misses 2-pt shot from 15 ft
5:56.0,,,34-39,,Offensive rebound by K. Love
5:56.0,Personal foul by L. Scola (drawn by K. Love),,34-39,,
5:56.0,,,34-39,,Cleveland full timeout
5:56.0,,,34-39,,K. Irving enters the game for D. Waiters
5:56.0,,,34-39,,S. Marion enters the game for W. Cherry
5:47.0,,,34-41,2,K. Love makes 2-pt shot from 9 ft
5:23.0,I. Mahinmi makes 2-pt shot at rim (assist by L. Scola),2,36-41,,
5:03.0,R. Stuckey enters the game for C. Miles,,36-41,,
