time,Chicago,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,J. Butler misses 3-pt shot from 24 ft,,0-0,,
12:00.0,Jump ball: J. Dorsey vs. P. Gasol (D. Rose gains possession),,,,Jump ball: J. Dorsey vs. P. Gasol (D. Rose gains possession)
11:38.0,,,0-0,,Defensive rebound by P. Beverley
11:18.0,,,0-2,2,D. Motiejunas makes 2-pt shot from 11 ft (assist by P. Beverley)
10:53.0,P. Gasol makes 2-pt shot from 12 ft (assist by K. Hinrich),2,2-2,,
10:37.0,,,2-2,,Turnover by P. Beverley (lost ball)
10:25.0,Turnover by J. Noah (traveling),,2-2,,
10:03.0,,,2-2,,T. Ariza misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by J. Noah,,2-2,,
9:55.0,Shooting foul by P. Beverley (drawn by D. Rose),,2-2,,
9:55.0,D. Rose makes free throw 1 of 2,1,3-2,,
9:55.0,D. Rose misses free throw 2 of 2,,3-2,,
9:55.0,Offensive rebound by P. Gasol,,3-2,,
9:46.0,Turnover by J. Noah (bad pass; steal by T. Ariza),,3-2,,
9:32.0,,,3-4,2,D. Motiejunas makes 2-pt shot from 6 ft (assist by P. Beverley)
9:19.0,K. Hinrich makes 3-pt shot from 24 ft,3,6-4,,
9:04.0,,,6-6,2,J. Dorsey makes 2-pt shot at rim (assist by J. Harden)
8:53.0,J. Butler misses 3-pt shot from 24 ft,,6-6,,
8:52.0,,,6-6,,Defensive rebound by J. Dorsey
8:32.0,,,6-8,2,J. Harden makes 2-pt shot from 15 ft
8:23.0,,,6-8,,Personal foul by D. Motiejunas (drawn by D. Rose)
8:15.0,Shooting foul by J. Dorsey (drawn by P. Gasol),,6-8,,
8:15.0,P. Gasol makes free throw 1 of 2,1,7-8,,
8:15.0,P. Gasol makes free throw 2 of 2,1,8-8,,
7:57.0,,,8-8,,D. Motiejunas misses 3-pt shot from 23 ft
7:55.0,Defensive rebound by J. Noah,,8-8,,
7:44.0,J. Noah misses 2-pt shot from 19 ft,,8-8,,
7:43.0,,,8-8,,Defensive rebound by D. Motiejunas
7:32.0,,,8-8,,D. Motiejunas misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by P. Gasol,,8-8,,
7:25.0,D. Rose misses 2-pt shot from 1 ft,,8-8,,
7:24.0,,,8-8,,Defensive rebound by D. Motiejunas
7:19.0,,,8-8,,P. Beverley misses 3-pt shot from 25 ft
7:18.0,,,8-8,,Offensive rebound by Team
7:11.0,,,8-8,,J. Dorsey misses 2-pt shot at rim (block by P. Gasol)
7:10.0,,,8-8,,Offensive rebound by P. Beverley
7:07.0,,,8-8,,Shooting foul by D. Rose (drawn by T. Ariza)
7:07.0,,,8-9,1,T. Ariza makes free throw 1 of 3
7:07.0,,,8-10,1,T. Ariza makes free throw 2 of 3
7:07.0,,,8-11,1,T. Ariza makes free throw 3 of 3
6:45.0,Turnover by P. Gasol (bad pass),,8-11,,
6:29.0,,,8-13,2,J. Dorsey makes 2-pt shot from 4 ft (assist by D. Motiejunas)
6:10.0,J. Butler makes 3-pt shot from 23 ft (assist by P. Gasol),3,11-13,,
5:57.0,,,11-13,,J. Harden misses 2-pt shot from 10 ft
5:56.0,Defensive rebound by J. Noah,,11-13,,
5:51.0,J. Butler misses 2-pt shot from 16 ft,,11-13,,
5:50.0,,,11-13,,Defensive rebound by P. Beverley
5:33.0,,,11-13,,D. Motiejunas misses 2-pt shot from 18 ft
5:32.0,Defensive rebound by J. Butler,,11-13,,
5:28.0,D. Rose makes 2-pt shot at rim (assist by K. Hinrich),2,13-13,,
5:21.0,,,13-13,,P. Beverley misses 2-pt shot at rim
5:20.0,Defensive rebound by J. Noah,,13-13,,
5:12.0,J. Butler makes 2-pt shot at rim (assist by K. Hinrich),2,15-13,,
5:12.0,,,15-13,,Houston full timeout
5:12.0,,,15-13,,J. Smith enters the game for J. Dorsey
5:03.0,,,15-13,,J. Harden misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by D. Rose,,15-13,,
4:51.0,D. Rose misses 3-pt shot from 25 ft,,15-13,,
4:50.0,Offensive rebound by J. Noah,,15-13,,
4:44.0,D. Rose makes 2-pt shot from 20 ft (assist by J. Noah),2,17-13,,
4:32.0,,,17-13,,J. Harden misses 2-pt shot from 1 ft
4:30.0,Defensive rebound by Team,,17-13,,
4:30.0,T. Gibson enters the game for J. Noah,,17-13,,
4:12.0,T. Gibson misses 2-pt shot from 8 ft (block by J. Harden),,17-13,,
4:10.0,Offensive rebound by Team,,17-13,,
4:10.0,,,17-13,,C. Brewer enters the game for T. Ariza
4:06.0,D. Rose makes 3-pt shot from 25 ft (assist by K. Hinrich),3,20-13,,
3:46.0,,,20-13,,J. Harden misses 2-pt shot at rim
3:44.0,,,20-13,,Offensive rebound by D. Motiejunas
3:44.0,,,20-15,2,D. Motiejunas makes 2-pt shot at rim
3:37.0,K. Hinrich misses 2-pt shot from 22 ft,,20-15,,
3:36.0,,,20-15,,Defensive rebound by D. Motiejunas
3:29.0,,,20-15,,J. Smith misses 2-pt shot from 5 ft
3:28.0,Defensive rebound by T. Gibson,,20-15,,
3:17.0,Shooting foul by D. Motiejunas (drawn by P. Gasol),,20-15,,
3:17.0,P. Gasol makes free throw 1 of 2,1,21-15,,
3:17.0,N. Mirotic enters the game for K. Hinrich,,21-15,,
3:17.0,,,21-15,,J. Terry enters the game for P. Beverley
3:17.0,,,21-15,,T. Jones enters the game for D. Motiejunas
3:17.0,A. Brooks enters the game for D. Rose,,21-15,,
3:17.0,P. Gasol makes free throw 2 of 2,1,22-15,,
3:02.0,,,22-18,3,J. Terry makes 3-pt shot from 24 ft (assist by J. Smith)
2:47.0,J. Butler makes 2-pt shot from 1 ft,2,24-18,,
2:35.0,,,24-20,2,J. Harden makes 2-pt shot from 1 ft
2:22.0,J. Butler misses 2-pt shot from 15 ft,,24-20,,
2:21.0,,,24-20,,Defensive rebound by J. Harden
2:19.0,,,24-22,2,C. Brewer makes 2-pt shot from 4 ft (assist by J. Harden)
2:19.0,,,24-22,,Shooting foul by A. Brooks (drawn by C. Brewer)
2:19.0,Chicago full timeout,,24-22,,
2:19.0,,,24-23,1,C. Brewer makes free throw 1 of 1
1:55.0,P. Gasol misses 2-pt shot from 11 ft (block by J. Smith),,24-23,,
1:54.0,,,24-23,,Defensive rebound by J. Harden
1:37.0,,,24-23,,Shooting foul by P. Gasol (drawn by J. Smith)
1:37.0,,,24-24,1,J. Smith makes free throw 1 of 2
1:37.0,,,24-24,,J. Smith misses free throw 2 of 2
1:37.0,Defensive rebound by T. Gibson,,24-24,,
1:19.0,N. Mirotic misses 3-pt shot from 23 ft,,24-24,,
1:18.0,,,24-24,,Defensive rebound by J. Smith
1:12.0,,,24-27,3,J. Harden makes 3-pt shot from 25 ft
0:47.0,A. Brooks misses 2-pt shot from 20 ft,,24-27,,
0:46.0,,,24-27,,Defensive rebound by J. Smith
0:40.0,,,24-27,,C. Brewer misses 3-pt shot from 23 ft
0:38.0,Defensive rebound by A. Brooks,,24-27,,
