time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (R. Jackson gains possession)
11:46.0,,,0-0,,Turnover by A. Tolliver (bad pass; steal by H. Whiteside)
11:34.0,U. Haslem makes 2-pt shot from 20 ft (assist by D. Wade),2,2-0,,
11:18.0,,,2-2,2,C. Butler makes 2-pt shot from 14 ft
11:18.0,,,2-2,,Shooting foul by D. Wade (drawn by C. Butler)
11:18.0,,,2-3,1,C. Butler makes free throw 1 of 1
11:02.0,Turnover by L. Deng (lost ball),,2-3,,
10:39.0,,,2-5,2,R. Jackson makes 2-pt shot from 16 ft
10:16.0,L. Deng makes 3-pt shot from 23 ft (assist by U. Haslem),3,5-5,,
10:01.0,,,5-7,2,R. Jackson makes 2-pt shot at rim
9:40.0,U. Haslem misses 3-pt shot from 24 ft,,5-7,,
9:39.0,,,5-7,,Defensive rebound by R. Jackson
9:29.0,,,5-10,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by C. Butler)
9:13.0,L. Deng makes 3-pt shot from 26 ft (assist by G. Dragic),3,8-10,,
8:46.0,,,8-13,3,R. Jackson makes 3-pt shot from 26 ft
8:35.0,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic),2,10-13,,
8:24.0,,,10-15,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
8:09.0,Shooting foul by A. Tolliver (drawn by H. Whiteside),,10-15,,
8:09.0,H. Whiteside misses free throw 1 of 2,,10-15,,
8:09.0,Offensive rebound by Team,,10-15,,
8:09.0,H. Whiteside makes free throw 2 of 2,1,11-15,,
7:56.0,,,11-18,3,C. Butler makes 3-pt shot from 23 ft (assist by R. Jackson)
7:29.0,L. Deng misses 3-pt shot from 22 ft,,11-18,,
7:28.0,,,11-18,,Defensive rebound by A. Drummond
7:21.0,,,11-18,,A. Tolliver misses 2-pt shot at rim
7:20.0,Defensive rebound by H. Whiteside,,11-18,,
7:10.0,M. Chalmers enters the game for G. Dragic,,11-18,,
6:55.0,U. Haslem misses 2-pt shot from 5 ft,,11-18,,
6:54.0,,,11-18,,Defensive rebound by A. Drummond
6:44.0,,,11-18,,R. Jackson misses 2-pt shot at rim (block by H. Whiteside)
6:42.0,,,11-18,,Offensive rebound by A. Drummond
6:41.0,,,11-20,2,A. Drummond makes 2-pt shot at rim
6:41.0,Miami full timeout,,11-20,,
6:27.0,D. Wade makes 2-pt shot from 16 ft (assist by U. Haslem),2,13-20,,
6:09.0,,,13-20,,A. Tolliver misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by Team,,13-20,,
5:57.0,Shooting foul by R. Jackson (drawn by H. Whiteside),,13-20,,
5:57.0,H. Whiteside makes free throw 1 of 2,1,14-20,,
5:57.0,H. Whiteside misses free throw 2 of 2,,14-20,,
5:56.0,,,14-20,,Defensive rebound by C. Butler
5:41.0,,,14-20,,A. Tolliver misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by H. Whiteside,,14-20,,
5:29.0,Turnover by H. Whiteside (offensive foul),,14-20,,
5:29.0,Offensive foul by H. Whiteside,,14-20,,
5:13.0,,,14-23,3,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Jackson)
4:59.0,,,14-23,,Personal foul by R. Jackson (drawn by M. Chalmers)
4:59.0,H. Walker enters the game for U. Haslem,,14-23,,
4:59.0,,,14-23,,J. Lucas III enters the game for R. Jackson
4:48.0,H. Walker misses 2-pt shot from 4 ft (block by A. Drummond),,14-23,,
4:48.0,,,14-23,,Defensive rebound by Team
4:34.0,,,14-23,,K. Caldwell-Pope misses 2-pt shot from 15 ft
4:33.0,Defensive rebound by H. Whiteside,,14-23,,
4:28.0,Shooting foul by C. Butler (drawn by D. Wade),,14-23,,
4:28.0,D. Wade misses free throw 1 of 2,,14-23,,
4:28.0,Offensive rebound by Team,,14-23,,
4:28.0,D. Wade makes free throw 2 of 2,1,15-23,,
4:08.0,,,15-23,,K. Caldwell-Pope misses 3-pt shot from 26 ft
4:07.0,,,15-23,,Offensive rebound by A. Drummond
4:07.0,Personal foul by H. Walker (drawn by A. Drummond),,15-23,,
3:49.0,,,15-23,,K. Caldwell-Pope misses 2-pt shot from 5 ft
3:47.0,Defensive rebound by M. Chalmers,,15-23,,
3:45.0,Turnover by M. Chalmers (bad pass),,15-23,,
3:29.0,Personal foul by M. Chalmers (drawn by K. Caldwell-Pope),,15-23,,
3:29.0,G. Dragic enters the game for D. Wade,,15-23,,
3:20.0,,,15-25,2,A. Drummond makes 2-pt shot at rim (assist by A. Tolliver)
3:20.0,,,15-25,,Shooting foul by H. Whiteside (drawn by A. Drummond)
3:20.0,C. Andersen enters the game for H. Whiteside,,15-25,,
3:20.0,,,15-26,1,A. Drummond makes free throw 1 of 1
3:04.0,M. Chalmers makes 2-pt shot at rim (assist by H. Walker),2,17-26,,
2:49.0,,,17-26,,Turnover by A. Drummond (bad pass)
