time,LA Clippers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. D. Jordan (C. Paul gains possession),,,,Jump ball: S. Ibaka vs. D. Jordan (C. Paul gains possession)
11:41.0,C. Paul makes 3-pt shot from 25 ft (assist by J. Redick),3,3-0,,
11:28.0,,,3-2,2,E. Kanter makes 2-pt shot at rim (assist by S. Ibaka)
11:11.0,S. Hawes misses 3-pt shot from 24 ft,,3-2,,
11:10.0,,,3-2,,Defensive rebound by R. Westbrook
11:04.0,,,3-2,,A. Roberson misses 3-pt shot from 22 ft
11:03.0,,,3-2,,Offensive rebound by R. Westbrook
11:03.0,,,3-2,,Shooting foul by S. Hawes (drawn by R. Westbrook)
11:03.0,,,3-3,1,R. Westbrook makes free throw 1 of 2
11:03.0,,,3-4,1,R. Westbrook makes free throw 2 of 2
10:43.0,J. Redick misses 2-pt shot from 2 ft,,3-4,,
10:43.0,,,3-4,,Defensive rebound by S. Ibaka
10:38.0,,,3-4,,Turnover by E. Kanter (lost ball)
10:23.0,Turnover by D. Jordan (traveling),,3-4,,
10:11.0,,,3-4,,Turnover by R. Westbrook (bad pass; steal by M. Barnes)
10:11.0,,,3-4,,Personal foul by E. Kanter (drawn by D. Jordan)
9:53.0,M. Barnes makes 3-pt shot from 24 ft (assist by J. Redick),3,6-4,,
9:42.0,,,6-4,,Turnover by A. Roberson (bad pass; steal by J. Redick)
9:39.0,J. Redick makes 2-pt shot at rim,2,8-4,,
9:23.0,,,8-4,,S. Ibaka misses 2-pt shot from 18 ft
9:23.0,,,8-4,,Offensive rebound by E. Kanter
9:19.0,,,8-4,,E. Kanter misses 2-pt shot from 6 ft
9:19.0,Defensive rebound by Team,,8-4,,
9:00.0,Shooting foul by K. Singler (drawn by M. Barnes),,8-4,,
9:00.0,M. Barnes makes free throw 1 of 2,1,9-4,,
9:00.0,M. Barnes makes free throw 2 of 2,1,10-4,,
8:44.0,,,10-4,,Turnover by R. Westbrook (lost ball)
8:36.0,S. Hawes makes 3-pt shot from 24 ft (assist by C. Paul),3,13-4,,
8:22.0,,,13-4,,R. Westbrook misses 2-pt shot from 1 ft
8:21.0,,,13-4,,Offensive rebound by E. Kanter
8:21.0,,,13-4,,Shooting foul by S. Hawes (drawn by E. Kanter)
8:21.0,,,13-6,2,E. Kanter makes 2-pt shot from 2 ft
8:21.0,G. Davis enters the game for S. Hawes,,13-6,,
8:21.0,,,13-7,1,E. Kanter makes free throw 1 of 1
8:14.0,C. Paul makes 2-pt shot from 16 ft,2,15-7,,
8:00.0,,,15-7,,K. Singler misses 2-pt shot from 22 ft
7:59.0,Defensive rebound by C. Paul,,15-7,,
7:54.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Redick),2,17-7,,
7:47.0,,,17-7,,Oklahoma City full timeout
7:40.0,Personal foul by G. Davis (drawn by R. Westbrook),,17-7,,
7:34.0,,,17-7,,Turnover by R. Westbrook (lost ball; steal by M. Barnes)
7:32.0,,,17-7,,Violation by A. Roberson (def goaltending)
7:32.0,C. Paul makes 2-pt shot from 1 ft (assist by M. Barnes),2,19-7,,
7:19.0,,,19-7,,Shooting foul by J. Redick (drawn by E. Kanter)
7:19.0,,,19-8,1,E. Kanter makes free throw 1 of 2
7:19.0,,,19-8,,D. Waiters enters the game for A. Roberson
7:19.0,,,19-9,1,E. Kanter makes free throw 2 of 2
7:07.0,G. Davis makes 2-pt shot from 2 ft (assist by J. Redick),2,21-9,,
6:45.0,,,21-9,,E. Kanter misses 2-pt shot from 17 ft
6:44.0,Defensive rebound by D. Jordan,,21-9,,
6:35.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,23-9,,
6:16.0,,,23-9,,R. Westbrook misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by J. Redick,,23-9,,
5:56.0,C. Paul misses 3-pt shot from 25 ft,,23-9,,
5:55.0,,,23-9,,Defensive rebound by K. Singler
5:51.0,,,23-9,,Shooting foul by M. Barnes (drawn by R. Westbrook)
5:51.0,,,23-10,1,R. Westbrook makes free throw 1 of 2
5:51.0,,,23-10,,S. Adams enters the game for E. Kanter
5:51.0,,,23-11,1,R. Westbrook makes free throw 2 of 2
5:39.0,,,23-11,,Loose ball foul by R. Westbrook (drawn by C. Paul)
5:29.0,C. Paul misses 2-pt shot from 13 ft,,23-11,,
5:28.0,Offensive rebound by D. Jordan,,23-11,,
5:27.0,D. Jordan misses 2-pt shot at rim,,23-11,,
5:26.0,Offensive rebound by D. Jordan,,23-11,,
5:26.0,Shooting foul by S. Ibaka (drawn by D. Jordan),,23-11,,
5:26.0,D. Jordan makes free throw 1 of 2,1,24-11,,
5:26.0,D. Jordan makes free throw 2 of 2,1,25-11,,
5:14.0,,,25-11,,D. Waiters misses 2-pt shot from 19 ft
5:13.0,Defensive rebound by G. Davis,,25-11,,
5:05.0,J. Redick makes 3-pt shot from 24 ft,3,28-11,,
4:40.0,,,28-13,2,S. Ibaka makes 2-pt shot from 2 ft
4:26.0,J. Redick misses 2-pt shot from 11 ft,,28-13,,
4:25.0,Offensive rebound by D. Jordan,,28-13,,
4:24.0,D. Jordan misses 2-pt shot from 2 ft (block by S. Adams),,28-13,,
4:23.0,,,28-13,,Defensive rebound by R. Westbrook
4:17.0,,,28-16,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:01.0,M. Barnes misses 3-pt shot from 26 ft,,28-16,,
4:00.0,,,28-16,,Defensive rebound by K. Singler
3:51.0,,,28-16,,S. Ibaka misses 2-pt shot from 17 ft
3:50.0,Defensive rebound by D. Jordan,,28-16,,
3:43.0,LA Clippers full timeout,,28-16,,
3:43.0,A. Rivers enters the game for M. Barnes,,28-16,,
3:43.0,,,28-16,,A. Morrow enters the game for K. Singler
3:32.0,Shooting foul by S. Adams (drawn by G. Davis),,28-16,,
3:32.0,G. Davis makes free throw 1 of 2,1,29-16,,
3:32.0,G. Davis makes free throw 2 of 2,1,30-16,,
3:20.0,,,30-19,3,R. Westbrook makes 3-pt shot from 25 ft (assist by D. Waiters)
3:09.0,,,30-19,,Personal foul by A. Morrow (drawn by J. Redick)
3:09.0,J. Redick makes free throw 1 of 2,1,31-19,,
3:09.0,,,31-19,,N. Collison enters the game for S. Ibaka
3:09.0,J. Redick makes free throw 2 of 2,1,32-19,,
2:58.0,,,32-19,,D. Waiters misses 2-pt shot from 1 ft
2:57.0,Defensive rebound by G. Davis,,32-19,,
2:51.0,,,32-19,,Personal foul by N. Collison (drawn by D. Jordan)
2:51.0,D. Jordan makes free throw 1 of 2,1,33-19,,
2:51.0,D. Jordan makes free throw 2 of 2,1,34-19,,
2:32.0,,,34-22,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
2:12.0,Turnover by D. Jordan (offensive goaltending),,34-22,,
2:03.0,Personal foul by J. Redick (drawn by A. Morrow),,34-22,,
2:03.0,,,34-23,1,A. Morrow makes free throw 1 of 2
2:03.0,M. Barnes enters the game for J. Redick,,34-23,,
2:03.0,,,34-24,1,A. Morrow makes free throw 2 of 2
1:48.0,A. Rivers misses 3-pt shot from 25 ft,,34-24,,
1:47.0,,,34-24,,Defensive rebound by R. Westbrook
