time,Sacramento,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Thompson (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. J. Thompson (Z. Randolph gains possession)
12:00.0,Violation by Team (delay of game),,0-0,,
11:46.0,,,0-0,,T. Allen misses 2-pt shot from 1 ft
11:44.0,Defensive rebound by B. McLemore,,0-0,,
11:30.0,D. Cousins misses 2-pt shot from 3 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by M. Gasol
11:15.0,,,0-0,,Z. Randolph misses 2-pt shot from 1 ft
11:14.0,Defensive rebound by B. McLemore,,0-0,,
11:14.0,,,0-0,,Personal foul by T. Allen (drawn by B. McLemore)
10:56.0,D. Cousins makes 2-pt shot from 16 ft,2,2-0,,
10:45.0,,,2-0,,M. Gasol misses 2-pt shot from 16 ft
10:44.0,Defensive rebound by D. Cousins,,2-0,,
10:37.0,Turnover by D. Cousins (bad pass; steal by T. Allen),,2-0,,
10:33.0,,,2-0,,T. Allen misses 2-pt shot at rim
10:31.0,Defensive rebound by D. Collison,,2-0,,
10:26.0,R. Gay makes 2-pt shot from 11 ft,2,4-0,,
10:11.0,,,4-0,,Shooting foul by J. Thompson (drawn by M. Gasol)
10:11.0,,,4-1,1,M. Gasol makes free throw 1 of 2
10:11.0,,,4-2,1,M. Gasol makes free throw 2 of 2
9:58.0,D. Cousins makes 2-pt shot from 2 ft,2,6-2,,
9:42.0,,,6-2,,M. Gasol misses 2-pt shot from 7 ft
9:41.0,,,6-2,,Offensive rebound by T. Allen
9:38.0,,,6-2,,Z. Randolph misses 2-pt shot from 1 ft
9:37.0,,,6-2,,Offensive rebound by T. Allen
9:32.0,,,6-2,,T. Allen misses 2-pt shot from 1 ft
9:30.0,Defensive rebound by J. Thompson,,6-2,,
9:23.0,D. Collison makes 2-pt shot from 13 ft,2,8-2,,
9:03.0,,,8-2,,T. Allen misses 2-pt shot from 1 ft
9:02.0,Defensive rebound by J. Thompson,,8-2,,
8:47.0,D. Cousins makes 2-pt shot from 1 ft,2,10-2,,
8:47.0,,,10-2,,Shooting block foul by M. Conley (drawn by D. Cousins)
8:47.0,D. Cousins makes free throw 1 of 1,1,11-2,,
8:44.0,,,11-2,,Memphis full timeout
8:30.0,,,11-2,,M. Conley misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by D. Cousins,,11-2,,
8:12.0,B. McLemore makes 3-pt shot from 22 ft (assist by J. Thompson),3,14-2,,
7:58.0,,,14-4,2,M. Conley makes 2-pt shot from 7 ft
7:45.0,Shooting foul by M. Conley (drawn by D. Collison),,14-4,,
7:45.0,D. Collison makes free throw 1 of 2,1,15-4,,
7:45.0,,,15-4,,B. Udrih enters the game for M. Conley
7:45.0,Turnover by D. Cousins (lane violation.),,15-4,,
7:29.0,,,15-4,,M. Gasol misses 2-pt shot from 6 ft (block by D. Cousins)
7:26.0,,,15-4,,Offensive rebound by M. Gasol
7:26.0,,,15-6,2,M. Gasol makes 2-pt shot at rim
7:14.0,R. Gay misses 2-pt shot from 19 ft,,15-6,,
7:13.0,Offensive rebound by J. Thompson,,15-6,,
7:05.0,D. Collison misses 2-pt shot from 21 ft,,15-6,,
7:03.0,Offensive rebound by J. Thompson,,15-6,,
7:03.0,J. Thompson makes 2-pt shot at rim,2,17-6,,
6:54.0,,,17-6,,Z. Randolph misses 2-pt shot from 14 ft
6:52.0,Defensive rebound by R. Gay,,17-6,,
6:38.0,D. Cousins misses 2-pt shot from 18 ft,,17-6,,
