time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. M. McGary (R. Rubio gains possession),,,,Jump ball: G. Dieng vs. M. McGary (R. Rubio gains possession)
11:43.0,K. Martin makes 2-pt shot from 17 ft,2,2-0,,
11:30.0,,,2-0,,Shooting foul by G. Dieng (drawn by E. Kanter)
11:30.0,,,2-1,1,E. Kanter makes free throw 1 of 2
11:30.0,,,2-2,1,E. Kanter makes free throw 2 of 2
11:23.0,,,2-2,,Personal foul by D. Waiters (drawn by A. Wiggins)
11:17.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,4-2,,
10:57.0,,,4-4,2,E. Kanter makes 2-pt shot from 1 ft
10:44.0,K. Martin makes 2-pt shot from 17 ft,2,6-4,,
10:22.0,,,6-6,2,R. Westbrook makes 2-pt shot at rim
9:57.0,K. Martin misses 3-pt shot from 26 ft,,6-6,,
9:56.0,,,6-6,,Defensive rebound by E. Kanter
9:47.0,,,6-6,,D. Waiters misses 2-pt shot from 4 ft
9:46.0,Defensive rebound by G. Dieng,,6-6,,
9:34.0,A. Payne makes 2-pt shot from 4 ft,2,8-6,,
9:12.0,,,8-8,2,M. McGary makes 2-pt shot from 1 ft (assist by R. Westbrook)
8:55.0,A. Payne misses 2-pt shot from 18 ft,,8-8,,
8:54.0,,,8-8,,Defensive rebound by R. Westbrook
8:48.0,,,8-10,2,R. Westbrook makes 2-pt shot from 18 ft
8:42.0,Shooting foul by D. Waiters (drawn by A. Wiggins),,8-10,,
8:42.0,A. Wiggins makes free throw 1 of 2,1,9-10,,
8:42.0,,,9-10,,K. Singler enters the game for D. Waiters
8:42.0,A. Wiggins makes free throw 2 of 2,1,10-10,,
8:34.0,,,10-12,2,E. Kanter makes 2-pt shot at rim (assist by K. Singler)
8:27.0,Minnesota full timeout,,10-12,,
8:18.0,Shooting foul by K. Singler (drawn by A. Wiggins),,10-12,,
8:18.0,A. Wiggins makes free throw 1 of 2,1,11-12,,
8:18.0,A. Wiggins makes free throw 2 of 2,1,12-12,,
8:01.0,,,12-12,,M. McGary misses 2-pt shot from 16 ft
8:00.0,,,12-12,,Offensive rebound by R. Westbrook
7:48.0,,,12-14,2,E. Kanter makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:32.0,K. Martin misses 3-pt shot from 25 ft,,12-14,,
7:30.0,Offensive rebound by A. Wiggins,,12-14,,
7:23.0,G. Dieng makes 2-pt shot from 1 ft,2,14-14,,
7:00.0,,,14-16,2,K. Singler makes 2-pt shot from 15 ft (assist by A. Roberson)
6:45.0,A. Payne misses 2-pt shot from 21 ft,,14-16,,
6:44.0,,,14-16,,Defensive rebound by E. Kanter
6:38.0,,,14-18,2,M. McGary makes 2-pt shot at rim (assist by R. Westbrook)
6:23.0,Shooting foul by M. McGary (drawn by G. Dieng),,14-18,,
6:23.0,G. Dieng makes free throw 1 of 2,1,15-18,,
6:23.0,G. Dieng makes free throw 2 of 2,1,16-18,,
6:11.0,,,16-18,,E. Kanter misses 2-pt shot from 2 ft (block by G. Dieng)
6:10.0,Defensive rebound by G. Dieng,,16-18,,
5:59.0,A. Payne makes 2-pt shot from 7 ft,2,18-18,,
5:51.0,,,18-18,,Turnover by E. Kanter (traveling)
5:51.0,J. Hamilton enters the game for G. Dieng,,18-18,,
5:35.0,A. Wiggins misses 2-pt shot from 17 ft,,18-18,,
5:34.0,,,18-18,,Defensive rebound by A. Roberson
5:28.0,,,18-20,2,R. Westbrook makes 2-pt shot from 17 ft
5:13.0,K. Martin misses 2-pt shot from 4 ft,,18-20,,
5:13.0,Offensive rebound by A. Wiggins,,18-20,,
5:08.0,R. Rubio misses 2-pt shot from 17 ft,,18-20,,
5:07.0,,,18-20,,Defensive rebound by E. Kanter
5:00.0,,,18-22,2,M. McGary makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:46.0,Turnover by R. Rubio (bad pass; steal by K. Singler),,18-22,,
4:38.0,,,18-22,,E. Kanter misses 2-pt shot from 1 ft (block by J. Hamilton)
4:37.0,,,18-22,,Offensive rebound by E. Kanter
4:35.0,,,18-22,,E. Kanter misses 2-pt shot from 2 ft (block by J. Hamilton)
4:33.0,,,18-22,,Offensive rebound by A. Roberson
4:32.0,,,18-24,2,K. Singler makes 2-pt shot from 2 ft (assist by A. Roberson)
4:13.0,R. Rubio misses 2-pt shot from 18 ft,,18-24,,
4:12.0,,,18-24,,Defensive rebound by A. Roberson
4:03.0,,,18-24,,Shooting foul by J. Hamilton (drawn by A. Roberson)
4:03.0,,,18-25,1,A. Roberson makes free throw 1 of 2
4:03.0,,,18-25,,S. Adams enters the game for M. McGary
4:03.0,G. Neal enters the game for A. Payne,,18-25,,
4:03.0,G. Dieng enters the game for K. Martin,,18-25,,
4:03.0,,,18-26,1,A. Roberson makes free throw 2 of 2
3:49.0,R. Rubio misses 2-pt shot from 16 ft,,18-26,,
3:48.0,Offensive rebound by A. Wiggins,,18-26,,
3:42.0,G. Neal misses 2-pt shot from 4 ft,,18-26,,
3:41.0,,,18-26,,Defensive rebound by Team
3:41.0,,,18-26,,A. Morrow enters the game for A. Roberson
3:31.0,,,18-26,,E. Kanter misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by Team,,18-26,,
3:10.0,A. Wiggins misses 3-pt shot from 22 ft,,18-26,,
3:08.0,Offensive rebound by J. Hamilton,,18-26,,
3:04.0,G. Dieng misses 2-pt shot from 4 ft (block by S. Adams),,18-26,,
3:02.0,Offensive rebound by G. Dieng,,18-26,,
3:02.0,Turnover by G. Dieng (traveling),,18-26,,
2:50.0,,,18-26,,Turnover by R. Westbrook (lost ball; steal by R. Rubio)
2:47.0,Shooting foul by A. Morrow (drawn by A. Wiggins),,18-26,,
2:47.0,,,18-26,,Oklahoma City full timeout
2:47.0,A. Wiggins makes free throw 1 of 2,1,19-26,,
2:47.0,A. Wiggins makes free throw 2 of 2,1,20-26,,
2:34.0,Personal foul by G. Neal (drawn by E. Kanter),,20-26,,
2:34.0,Z. LaVine enters the game for R. Rubio,,20-26,,
2:30.0,,,20-28,2,R. Westbrook makes 2-pt shot from 1 ft
2:07.0,A. Wiggins misses 2-pt shot from 4 ft,,20-28,,
2:06.0,Offensive rebound by J. Hamilton,,20-28,,
2:06.0,J. Hamilton misses 2-pt shot from 1 ft,,20-28,,
2:03.0,Offensive rebound by J. Hamilton,,20-28,,
1:53.0,G. Neal makes 2-pt shot from 13 ft,2,22-28,,
1:38.0,,,22-28,,S. Adams misses 2-pt shot from 7 ft
1:37.0,,,22-28,,Offensive rebound by E. Kanter
1:32.0,,,22-28,,D. Augustin enters the game for R. Westbrook
1:32.0,Jump ball: J. Hamilton vs. E. Kanter (Z. LaVine gains possession),,,,Jump ball: J. Hamilton vs. E. Kanter (Z. LaVine gains possession)
1:32.0,,,22-28,,Turnover by E. Kanter (lost ball; steal by J. Hamilton)
1:12.0,Turnover by G. Neal (discontinued dribble),,22-28,,
0:56.0,,,22-28,,K. Singler misses 3-pt shot from 24 ft
0:54.0,,,22-28,,Offensive rebound by Team
0:48.0,,,22-28,,Turnover by D. Augustin (bad pass; steal by G. Dieng)
0:44.0,Shooting foul by K. Singler (drawn by A. Wiggins),,22-28,,
0:44.0,A. Wiggins makes free throw 1 of 2,1,23-28,,
0:44.0,A. Wiggins makes free throw 2 of 2,1,24-28,,
0:27.0,,,24-28,,A. Morrow misses 2-pt shot from 6 ft
0:26.0,,,24-28,,Offensive rebound by S. Adams
0:22.0,,,24-31,3,A. Morrow makes 3-pt shot from 22 ft (assist by S. Adams)
0:04.0,Shooting foul by K. Singler (drawn by A. Wiggins),,24-31,,
0:04.0,A. Wiggins makes free throw 1 of 2,1,25-31,,
0:04.0,,,25-31,,A. Roberson enters the game for K. Singler
0:04.0,L. Brown enters the game for Z. LaVine,,25-31,,
0:04.0,A. Wiggins makes free throw 2 of 2,1,26-31,,
0:01.0,Personal take foul by L. Brown (drawn by D. Augustin),,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,26-31,,D. Augustin misses 2-pt shot from 4 ft
11:40.0,,,26-31,,Offensive rebound by S. Adams
11:34.0,,,26-31,,A. Morrow misses 2-pt shot from 11 ft
11:33.0,Defensive rebound by G. Dieng,,26-31,,
11:13.0,G. Dieng makes 2-pt shot from 12 ft (assist by G. Neal),2,28-31,,
10:55.0,,,28-33,2,D. Augustin makes 2-pt shot from 1 ft (assist by N. Collison)
10:43.0,G. Neal misses 2-pt shot from 8 ft,,28-33,,
10:42.0,,,28-33,,Defensive rebound by S. Adams
10:30.0,,,28-33,,D. Augustin misses 2-pt shot from 4 ft
10:29.0,Defensive rebound by G. Dieng,,28-33,,
10:17.0,A. Payne misses 2-pt shot from 5 ft,,28-33,,
10:16.0,Offensive rebound by G. Dieng,,28-33,,
10:14.0,Turnover by A. Wiggins (traveling),,28-33,,
10:14.0,C. Budinger enters the game for A. Wiggins,,28-33,,
10:04.0,,,28-35,2,D. Augustin makes 2-pt shot from 15 ft
9:40.0,Z. LaVine misses 2-pt shot from 23 ft,,28-35,,
9:39.0,,,28-35,,Defensive rebound by A. Roberson
9:31.0,Personal foul by A. Payne (drawn by N. Collison),,28-35,,
9:31.0,,,28-35,,S. Novak enters the game for A. Roberson
9:23.0,,,28-37,2,A. Morrow makes 2-pt shot from 4 ft (assist by N. Collison)
9:07.0,Turnover by Z. LaVine (offensive foul),,28-37,,
9:07.0,Offensive foul by Z. LaVine,,28-37,,
8:54.0,,,28-39,2,D. Augustin makes 2-pt shot from 2 ft
8:54.0,Violation by G. Dieng (def goaltending),,28-39,,
8:50.0,Minnesota full timeout,,28-39,,
8:50.0,K. Martin enters the game for A. Payne,,28-39,,
8:50.0,R. Rubio enters the game for G. Neal,,28-39,,
8:50.0,J. Hamilton enters the game for Z. LaVine,,28-39,,
8:37.0,Turnover by R. Rubio (bad pass; steal by S. Adams),,28-39,,
8:17.0,,,28-39,,Turnover by S. Novak (step out of bounds)
8:02.0,R. Rubio makes 2-pt shot from 16 ft (assist by G. Dieng),2,30-39,,
7:47.0,,,30-39,,S. Novak misses 3-pt shot from 25 ft
7:46.0,Defensive rebound by G. Dieng,,30-39,,
7:39.0,Shooting foul by S. Adams (drawn by G. Dieng),,30-39,,
7:39.0,G. Dieng makes 2-pt shot from 5 ft (assist by R. Rubio),2,32-39,,
7:39.0,,,32-39,,R. Westbrook enters the game for A. Morrow
7:39.0,G. Dieng makes free throw 1 of 1,1,33-39,,
7:28.0,,,33-39,,D. Augustin misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by G. Dieng,,33-39,,
7:19.0,J. Hamilton makes 2-pt shot from 2 ft (assist by R. Rubio),2,35-39,,
6:58.0,,,35-39,,R. Westbrook misses 2-pt shot from 13 ft
6:57.0,Defensive rebound by G. Dieng,,35-39,,
6:57.0,,,35-39,,Personal foul by R. Westbrook (drawn by G. Dieng)
6:57.0,,,35-39,,D. Waiters enters the game for S. Novak
6:45.0,K. Martin makes 3-pt shot from 24 ft (assist by J. Hamilton),3,38-39,,
6:40.0,,,38-39,,Oklahoma City full timeout
6:38.0,,,38-39,,E. Kanter enters the game for N. Collison
6:20.0,,,38-39,,D. Waiters misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by K. Martin,,38-39,,
6:10.0,,,38-39,,Violation by D. Augustin (kicked ball)
6:01.0,R. Rubio makes 2-pt shot from 21 ft (assist by K. Martin),2,40-39,,
