time,New Orleans,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (O. Asik gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (O. Asik gains possession)
11:36.0,Turnover by O. Asik (bad pass; steal by G. Antetokounmpo),,0-0,,
11:29.0,,,0-2,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by G. Antetokounmpo)
11:09.0,T. Evans makes 3-pt shot from 23 ft (assist by A. Davis),3,3-2,,
10:53.0,,,3-2,,E. Ilyasova misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by E. Gordon,,3-2,,
10:38.0,A. Davis makes 2-pt shot at rim (assist by O. Asik),2,5-2,,
10:22.0,,,5-4,2,M. Carter-Williams makes 2-pt shot from 16 ft (assist by K. Middleton)
10:05.0,Turnover by A. Davis (step out of bounds),,5-4,,
9:53.0,,,5-4,,Turnover by K. Middleton (bad pass; steal by E. Gordon)
9:49.0,E. Gordon makes 2-pt shot at rim (assist by T. Evans),2,7-4,,
9:40.0,,,7-6,2,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
9:25.0,Turnover by T. Evans (bad pass; steal by Z. Pachulia),,7-6,,
9:22.0,,,7-6,,E. Ilyasova misses 2-pt shot at rim (block by A. Davis)
9:22.0,,,7-6,,Offensive rebound by Team
9:14.0,,,7-6,,M. Carter-Williams misses 2-pt shot from 4 ft
9:13.0,Defensive rebound by A. Davis,,7-6,,
9:07.0,Turnover by E. Gordon (lost ball; steal by M. Carter-Williams),,7-6,,
9:01.0,,,7-8,2,K. Middleton makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:01.0,New Orleans full timeout,,7-8,,
8:48.0,O. Asik makes 2-pt shot at rim,2,9-8,,
8:29.0,,,9-10,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
8:06.0,A. Davis makes 2-pt shot from 12 ft,2,11-10,,
7:43.0,,,11-10,,E. Ilyasova misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by Team,,11-10,,
7:35.0,,,11-10,,Personal foul by E. Ilyasova (drawn by A. Davis)
7:32.0,,,11-10,,Violation by Z. Pachulia (kicked ball)
7:25.0,E. Gordon makes 2-pt shot from 16 ft (assist by O. Asik),2,13-10,,
7:00.0,,,13-13,3,K. Middleton makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
6:44.0,T. Evans misses 2-pt shot at rim,,13-13,,
6:43.0,,,13-13,,Defensive rebound by Z. Pachulia
6:18.0,,,13-15,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
6:10.0,,,13-15,,Personal foul by E. Ilyasova (drawn by A. Davis)
6:03.0,A. Davis misses 2-pt shot from 18 ft,,13-15,,
6:02.0,Offensive rebound by O. Asik,,13-15,,
6:01.0,O. Asik misses 2-pt shot at rim (block by G. Antetokounmpo),,13-15,,
5:58.0,,,13-15,,Defensive rebound by Z. Pachulia
5:56.0,,,13-17,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
5:35.0,E. Gordon misses 2-pt shot from 20 ft,,13-17,,
5:34.0,,,13-17,,Defensive rebound by G. Antetokounmpo
5:15.0,,,13-19,2,M. Carter-Williams makes 2-pt shot from 16 ft
4:57.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,16-19,,
4:43.0,,,16-19,,E. Ilyasova misses 2-pt shot at rim (block by T. Evans)
4:41.0,,,16-19,,Offensive rebound by E. Ilyasova
4:38.0,,,16-19,,Z. Pachulia misses 2-pt shot from 13 ft
4:37.0,Defensive rebound by A. Davis,,16-19,,
4:28.0,A. Davis makes 2-pt shot from 11 ft (assist by T. Evans),2,18-19,,
4:28.0,,,18-19,,Milwaukee full timeout
4:28.0,,,18-19,,J. Dudley enters the game for E. Ilyasova
4:07.0,,,18-19,,Z. Pachulia misses 2-pt shot at rim
4:05.0,Defensive rebound by A. Davis,,18-19,,
3:56.0,Shooting foul by M. Carter-Williams (drawn by A. Davis),,18-19,,
3:56.0,A. Davis misses free throw 1 of 2,,18-19,,
