time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (T. Evans gains possession),,,,Jump ball: A. Bogut vs. A. Davis (T. Evans gains possession)
11:48.0,Turnover by A. Davis (lost ball; steal by D. Green),,0-0,,
11:30.0,,,0-0,,Turnover by K. Thompson (lost ball; steal by Q. Pondexter)
11:25.0,Q. Pondexter makes 2-pt shot from 2 ft (assist by A. Davis),2,2-0,,
10:54.0,,,2-0,,S. Curry misses 3-pt shot from 29 ft
10:53.0,Defensive rebound by O. Asik,,2-0,,
10:37.0,A. Davis makes 2-pt shot from 16 ft,2,4-0,,
10:26.0,,,4-2,2,S. Curry makes 2-pt shot from 16 ft (assist by D. Green)
10:11.0,Turnover by E. Gordon (bad pass; steal by K. Thompson),,4-2,,
9:58.0,,,4-2,,Turnover by S. Curry (step out of bounds)
9:44.0,E. Gordon misses 2-pt shot from 3 ft,,4-2,,
9:43.0,Offensive rebound by O. Asik,,4-2,,
9:43.0,O. Asik misses 2-pt shot from 1 ft,,4-2,,
9:40.0,,,4-2,,Defensive rebound by H. Barnes
9:28.0,,,4-5,3,H. Barnes makes 3-pt shot from 27 ft (assist by A. Bogut)
9:01.0,Q. Pondexter misses 3-pt shot from 25 ft,,4-5,,
9:00.0,,,4-5,,Defensive rebound by A. Bogut
8:50.0,,,4-7,2,A. Bogut makes 2-pt shot at rim (assist by K. Thompson)
8:33.0,A. Davis misses 3-pt shot from 28 ft,,4-7,,
8:32.0,,,4-7,,Defensive rebound by H. Barnes
8:25.0,,,4-10,3,S. Curry makes 3-pt shot from 27 ft (assist by H. Barnes)
8:25.0,New Orleans full timeout,,4-10,,
8:06.0,A. Davis misses 2-pt shot from 7 ft (block by K. Thompson),,4-10,,
8:04.0,,,4-10,,Defensive rebound by A. Bogut
7:54.0,,,4-10,,S. Curry misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by O. Asik,,4-10,,
7:47.0,Shooting foul by K. Thompson (drawn by T. Evans),,4-10,,
7:47.0,T. Evans makes free throw 1 of 2,1,5-10,,
7:47.0,T. Evans misses free throw 2 of 2,,5-10,,
7:46.0,,,5-10,,Defensive rebound by D. Green
7:36.0,,,5-10,,K. Thompson misses 2-pt shot from 9 ft
7:35.0,Defensive rebound by E. Gordon,,5-10,,
7:17.0,Q. Pondexter misses 3-pt shot from 23 ft,,5-10,,
7:16.0,,,5-10,,Defensive rebound by S. Curry
7:10.0,,,5-12,2,S. Curry makes 2-pt shot from 3 ft
6:50.0,E. Gordon misses 3-pt shot from 25 ft (block by K. Thompson),,5-12,,
6:48.0,,,5-12,,Defensive rebound by D. Green
6:38.0,,,5-12,,K. Thompson misses 2-pt shot from 7 ft
6:37.0,,,5-12,,Offensive rebound by A. Bogut
