time,Milwaukee,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. Z. Pachulia (D. Carroll gains possession),,,,Jump ball: A. Horford vs. Z. Pachulia (D. Carroll gains possession)
11:47.0,,,0-2,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
11:25.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by K. Marshall),2,2-2,,
11:16.0,,,2-4,2,P. Millsap makes 2-pt shot at rim (assist by K. Korver)
11:07.0,B. Knight makes 2-pt shot from 19 ft,2,4-4,,
10:52.0,,,4-6,2,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver)
10:41.0,Z. Pachulia misses 2-pt shot from 19 ft,,4-6,,
10:38.0,,,4-6,,Defensive rebound by A. Horford
10:34.0,,,4-6,,K. Korver misses 3-pt shot from 22 ft
10:33.0,Defensive rebound by Z. Pachulia,,4-6,,
10:21.0,J. O'Bryant makes 2-pt shot from 18 ft (assist by B. Knight),2,6-6,,
10:07.0,,,6-8,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
9:50.0,B. Knight misses 2-pt shot from 1 ft,,6-8,,
9:49.0,Offensive rebound by Z. Pachulia,,6-8,,
9:45.0,B. Knight misses 3-pt shot from 22 ft,,6-8,,
9:44.0,Offensive rebound by J. O'Bryant,,6-8,,
9:43.0,J. O'Bryant makes 2-pt shot from 2 ft,2,8-8,,
9:39.0,,,8-8,,Turnover by J. Teague (bad pass)
9:31.0,Turnover by B. Knight (bad pass; steal by J. Teague),,8-8,,
9:27.0,,,8-10,2,J. Teague makes 2-pt shot at rim
9:06.0,J. O'Bryant misses 2-pt shot from 4 ft (block by A. Horford),,8-10,,
9:04.0,,,8-10,,Defensive rebound by P. Millsap
8:58.0,,,8-10,,K. Korver misses 3-pt shot from 22 ft
8:56.0,Defensive rebound by Z. Pachulia,,8-10,,
8:47.0,K. Marshall makes 2-pt shot at rim,2,10-10,,
8:34.0,,,10-10,,Shooting foul by G. Antetokounmpo (drawn by A. Horford)
8:34.0,,,10-11,1,A. Horford makes free throw 1 of 2
8:34.0,,,10-12,1,A. Horford makes free throw 2 of 2
8:21.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,10-12,,
8:20.0,,,10-12,,Defensive rebound by P. Millsap
