time,Cleveland,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. A. Varejao (D. Lillard gains possession),,,,Jump ball: R. Lopez vs. A. Varejao (D. Lillard gains possession)
11:43.0,,,0-0,,L. Aldridge misses 2-pt shot from 18 ft
11:42.0,Defensive rebound by K. Love,,0-0,,
11:25.0,Turnover by K. Love (lost ball; steal by R. Lopez),,0-0,,
11:05.0,,,0-2,2,R. Lopez makes 2-pt shot from 5 ft
10:46.0,L. James makes 2-pt shot at rim,2,2-2,,
10:46.0,Shooting foul by N. Batum (drawn by L. James),,2-2,,
10:46.0,L. James makes free throw 1 of 1,1,3-2,,
10:31.0,,,3-2,,R. Lopez misses 2-pt shot from 5 ft
10:30.0,,,3-2,,Offensive rebound by W. Matthews
10:30.0,,,3-4,2,W. Matthews makes 2-pt shot at rim
10:20.0,,,3-4,,Personal foul by D. Lillard (drawn by A. Varejao)
10:17.0,Turnover by D. Waiters (lost ball),,3-4,,
10:04.0,,,3-6,2,W. Matthews makes 2-pt shot at rim (assist by N. Batum)
10:04.0,,,3-6,,Shooting foul by D. Waiters (drawn by W. Matthews)
10:04.0,,,3-6,,W. Matthews misses free throw 1 of 1
10:03.0,Defensive rebound by K. Love,,3-6,,
9:43.0,K. Love makes 2-pt shot at rim (assist by A. Varejao),2,5-6,,
9:31.0,,,5-8,2,R. Lopez makes 2-pt shot from 12 ft (assist by D. Lillard)
9:14.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,8-8,,
9:01.0,,,8-10,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard)
8:42.0,K. Irving makes 3-pt shot from 24 ft,3,11-10,,
8:18.0,,,11-12,2,L. Aldridge makes 2-pt shot from 17 ft (assist by W. Matthews)
8:07.0,A. Varejao makes 2-pt shot from 16 ft (assist by K. Irving),2,13-12,,
7:53.0,,,13-14,2,R. Lopez makes 2-pt shot from 16 ft (assist by D. Lillard)
7:40.0,A. Varejao makes 2-pt shot from 18 ft (assist by L. James),2,15-14,,
7:24.0,,,15-14,,R. Lopez misses 2-pt shot from 1 ft
7:23.0,,,15-14,,Offensive rebound by R. Lopez
7:23.0,,,15-14,,R. Lopez misses 2-pt shot from 1 ft
7:21.0,Defensive rebound by K. Love,,15-14,,
7:16.0,Shooting foul by W. Matthews (drawn by A. Varejao),,15-14,,
7:16.0,A. Varejao makes free throw 1 of 2,1,16-14,,
7:16.0,A. Varejao misses free throw 2 of 2,,16-14,,
7:14.0,,,16-14,,Defensive rebound by L. Aldridge
6:56.0,,,16-14,,L. Aldridge misses 2-pt shot from 19 ft
6:54.0,,,16-14,,Offensive rebound by R. Lopez
6:50.0,,,16-14,,D. Lillard misses 3-pt shot from 24 ft
6:48.0,,,16-14,,Offensive rebound by L. Aldridge
6:48.0,,,16-16,2,L. Aldridge makes 2-pt shot from 1 ft
6:39.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,19-16,,
6:25.0,,,19-19,3,D. Lillard makes 3-pt shot from 25 ft (assist by R. Lopez)
6:09.0,A. Varejao makes 2-pt shot from 2 ft (assist by K. Irving),2,21-19,,
5:57.0,,,21-19,,Turnover by W. Matthews (dbl dribble)
5:57.0,,,21-19,,Portland full timeout
5:37.0,L. James makes 3-pt shot from 24 ft,3,24-19,,
5:20.0,,,24-19,,Shooting foul by A. Varejao (drawn by N. Batum)
5:20.0,,,24-20,1,N. Batum makes free throw 1 of 2
5:20.0,M. Miller enters the game for D. Waiters,,24-20,,
5:20.0,,,24-20,,N. Batum misses free throw 2 of 2
