time,Denver,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. T. Zeller (A. Afflalo gains possession),,,,Jump ball: J. Nurkic vs. T. Zeller (A. Afflalo gains possession)
11:52.0,Jump ball: A. Afflalo vs. E. Turner (M. Smart gains possession),,,,Jump ball: A. Afflalo vs. E. Turner (M. Smart gains possession)
11:52.0,Turnover by A. Afflalo (lost ball; steal by E. Turner),,0-0,,
11:37.0,,,0-0,,A. Bradley misses 2-pt shot from 21 ft
11:36.0,Defensive rebound by K. Faried,,0-0,,
11:19.0,Turnover by J. Nurkic (bad pass; steal by E. Turner),,0-0,,
11:15.0,,,0-0,,Turnover by E. Turner (lost ball; steal by W. Chandler)
11:14.0,,,0-0,,Personal foul by E. Turner (drawn by W. Chandler)
11:04.0,A. Afflalo misses 2-pt shot from 3 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by M. Smart
10:57.0,,,0-2,2,M. Smart makes 2-pt shot from 18 ft
10:35.0,T. Lawson misses 3-pt shot from 25 ft,,0-2,,
10:34.0,,,0-2,,Defensive rebound by T. Zeller
10:20.0,,,0-2,,B. Bass misses 2-pt shot from 15 ft
10:19.0,Defensive rebound by J. Nurkic,,0-2,,
10:06.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,3-2,,
9:46.0,,,3-4,2,A. Bradley makes 2-pt shot from 17 ft (assist by B. Bass)
9:32.0,A. Afflalo makes 2-pt shot from 11 ft (assist by T. Lawson),2,5-4,,
9:13.0,,,5-4,,B. Bass misses 2-pt shot from 19 ft
9:12.0,Defensive rebound by J. Nurkic,,5-4,,
8:57.0,J. Nurkic makes 2-pt shot from 4 ft,2,7-4,,
8:44.0,,,7-6,2,E. Turner makes 2-pt shot from 17 ft
8:37.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,10-6,,
8:15.0,,,10-8,2,T. Zeller makes 2-pt shot from 7 ft
8:02.0,J. Nurkic misses 2-pt shot from 4 ft,,10-8,,
8:01.0,,,10-8,,Defensive rebound by E. Turner
7:59.0,Violation by K. Faried (def goaltending),,10-8,,
7:59.0,,,10-10,2,A. Bradley makes 2-pt shot from 3 ft (assist by E. Turner)
7:49.0,Shooting foul by B. Bass (drawn by K. Faried),,10-10,,
7:49.0,K. Faried makes free throw 1 of 2,1,11-10,,
7:49.0,K. Faried makes free throw 2 of 2,1,12-10,,
7:26.0,,,12-10,,Turnover by A. Bradley (lost ball; steal by J. Nurkic)
7:21.0,T. Lawson makes 2-pt shot from 2 ft (assist by J. Nurkic),2,14-10,,
7:03.0,,,14-10,,Turnover by A. Bradley (lost ball; steal by A. Afflalo)
7:00.0,J. Nurkic makes 2-pt shot at rim (assist by A. Afflalo),2,16-10,,
7:00.0,,,16-10,,Boston full timeout
6:50.0,Personal foul by J. Nurkic (drawn by T. Zeller),,16-10,,
6:46.0,Violation by T. Lawson (kicked ball),,16-10,,
6:32.0,,,16-10,,T. Zeller misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by K. Faried,,16-10,,
6:25.0,K. Faried misses 2-pt shot from 2 ft,,16-10,,
6:24.0,Offensive rebound by J. Nurkic,,16-10,,
6:24.0,J. Nurkic makes 2-pt shot at rim,2,18-10,,
6:04.0,,,18-13,3,E. Turner makes 3-pt shot from 24 ft (assist by M. Smart)
5:40.0,W. Chandler misses 2-pt shot from 10 ft,,18-13,,
5:38.0,,,18-13,,Defensive rebound by B. Bass
5:30.0,,,18-15,2,B. Bass makes 2-pt shot from 17 ft (assist by E. Turner)
5:18.0,Shooting foul by A. Bradley (drawn by K. Faried),,18-15,,
5:18.0,K. Faried makes free throw 1 of 2,1,19-15,,
5:18.0,,,19-15,,J. Crowder enters the game for M. Smart
5:18.0,K. Faried makes free throw 2 of 2,1,20-15,,
5:05.0,,,20-17,2,A. Bradley makes 2-pt shot from 18 ft (assist by E. Turner)
4:46.0,J. Nurkic misses 2-pt shot from 2 ft,,20-17,,
4:45.0,,,20-17,,Defensive rebound by J. Crowder
4:37.0,,,20-19,2,B. Bass makes 2-pt shot from 18 ft (assist by J. Crowder)
4:11.0,T. Lawson misses 2-pt shot from 2 ft,,20-19,,
4:10.0,,,20-19,,Defensive rebound by T. Zeller
4:02.0,,,20-19,,E. Turner misses 3-pt shot from 23 ft
3:59.0,,,20-19,,Offensive rebound by Team
3:52.0,,,20-19,,B. Bass misses 2-pt shot from 18 ft
3:51.0,Defensive rebound by A. Afflalo,,20-19,,
3:47.0,Turnover by K. Faried (offensive foul),,20-19,,
3:47.0,Offensive foul by K. Faried,,20-19,,
3:36.0,,,20-19,,A. Bradley misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by K. Faried,,20-19,,
3:21.0,A. Afflalo misses 3-pt shot from 25 ft,,20-19,,
3:20.0,Offensive rebound by K. Faried,,20-19,,
3:19.0,K. Faried makes 2-pt shot from 1 ft,2,22-19,,
3:19.0,Shooting foul by J. Crowder (drawn by K. Faried),,22-19,,
3:19.0,K. Faried makes free throw 1 of 1,1,23-19,,
2:59.0,,,23-19,,Turnover by T. Zeller (bad pass; steal by A. Afflalo)
2:55.0,A. Afflalo misses 2-pt shot at rim,,23-19,,
2:53.0,Offensive rebound by A. Afflalo,,23-19,,
2:53.0,Shooting foul by E. Turner (drawn by A. Afflalo),,23-19,,
2:53.0,Denver full timeout,,23-19,,
2:53.0,,,23-19,,M. Thornton enters the game for B. Bass
2:53.0,A. Afflalo makes free throw 1 of 2,1,24-19,,
2:53.0,A. Afflalo makes free throw 2 of 2,1,25-19,,
2:37.0,,,25-19,,E. Turner misses 2-pt shot from 1 ft (block by J. Nurkic)
2:36.0,,,25-19,,Offensive rebound by Team
2:30.0,,,25-19,,J. Crowder misses 3-pt shot from 24 ft
2:28.0,,,25-19,,Offensive rebound by A. Bradley
2:17.0,,,25-21,2,T. Zeller makes 2-pt shot from 6 ft (assist by J. Crowder)
1:58.0,Turnover by J. Nurkic (lost ball; steal by M. Thornton),,25-21,,
1:53.0,,,25-21,,Turnover by E. Turner (bad pass; steal by T. Lawson)
1:47.0,K. Faried makes 2-pt shot at rim (assist by J. Nurkic),2,27-21,,
1:34.0,,,27-21,,J. Crowder misses 2-pt shot from 20 ft
1:33.0,Defensive rebound by W. Chandler,,27-21,,
1:25.0,Turnover by W. Chandler (bad pass),,27-21,,
1:25.0,J. Hickson enters the game for J. Nurkic,,27-21,,
1:25.0,,,27-21,,M. Smart enters the game for E. Turner
1:25.0,,,27-21,,J. Young enters the game for A. Bradley
1:25.0,D. Arthur enters the game for K. Faried,,27-21,,
1:10.0,,,27-23,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Crowder)
0:59.0,Turnover by T. Lawson (lost ball; steal by J. Crowder),,27-23,,
0:56.0,,,27-23,,Turnover by J. Crowder (bad pass; steal by D. Arthur)
0:49.0,T. Lawson makes 2-pt shot from 1 ft,2,29-23,,
0:33.0,,,29-23,,T. Zeller misses 2-pt shot from 7 ft
0:31.0,Defensive rebound by D. Arthur,,29-23,,
0:11.0,J. Hickson misses 2-pt shot from 8 ft,,29-23,,
0:10.0,,,29-23,,Defensive rebound by J. Crowder
0:04.0,,,29-26,3,M. Thornton makes 3-pt shot from 22 ft (assist by J. Young)
0:01.0,D. Arthur misses 3-pt shot from 46 ft,,29-26,,
0:00.0,Offensive rebound by Team,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-26,,J. Sullinger misses 2-pt shot from 9 ft
11:44.0,Defensive rebound by D. Gallinari,,29-26,,
11:26.0,Turnover by G. Harris (bad pass; steal by M. Thornton),,29-26,,
11:10.0,,,29-26,,J. Sullinger misses 2-pt shot from 7 ft
11:09.0,Defensive rebound by D. Arthur,,29-26,,
11:02.0,Shooting foul by J. Sullinger (drawn by J. Hickson),,29-26,,
11:02.0,J. Hickson misses free throw 1 of 2,,29-26,,
11:02.0,Offensive rebound by Team,,29-26,,
11:02.0,J. Hickson makes free throw 2 of 2,1,30-26,,
10:43.0,,,30-29,3,J. Young makes 3-pt shot from 23 ft
10:31.0,,,30-29,,Violation by M. Smart (kicked ball)
10:30.0,Turnover by D. Gallinari (bad pass; steal by M. Smart),,30-29,,
10:26.0,,,30-31,2,J. Young makes 2-pt shot at rim (assist by M. Smart)
10:07.0,Shooting foul by J. Young (drawn by T. Lawson),,30-31,,
10:07.0,T. Lawson makes free throw 1 of 2,1,31-31,,
10:07.0,T. Lawson makes free throw 2 of 2,1,32-31,,
9:53.0,,,32-31,,J. Young misses 2-pt shot from 21 ft
9:51.0,,,32-31,,Offensive rebound by J. Young
9:43.0,,,32-34,3,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart)
9:27.0,J. Hickson makes 2-pt shot from 14 ft,2,34-34,,
9:11.0,,,34-34,,M. Thornton misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by D. Arthur,,34-34,,
8:59.0,J. Hickson misses 2-pt shot from 7 ft,,34-34,,
8:58.0,,,34-34,,Defensive rebound by J. Crowder
8:39.0,,,34-34,,J. Sullinger misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by D. Gallinari,,34-34,,
8:26.0,J. Hickson misses 2-pt shot from 1 ft (block by J. Crowder),,34-34,,
8:24.0,,,34-34,,Defensive rebound by M. Smart
8:19.0,,,34-37,3,M. Thornton makes 3-pt shot from 24 ft (assist by J. Young)
8:19.0,Denver full timeout,,34-37,,
8:19.0,Technical foul by Team,,34-37,,
8:19.0,E. Green enters the game for T. Lawson,,34-37,,
8:19.0,,,34-38,1,M. Thornton makes technical free throw
8:05.0,E. Green makes 2-pt shot from 18 ft,2,36-38,,
7:50.0,Shooting block foul by D. Arthur (drawn by J. Sullinger),,36-38,,
7:50.0,,,36-38,,J. Sullinger misses free throw 1 of 2
7:50.0,,,36-38,,Offensive rebound by Team
7:50.0,,,36-38,,J. Sullinger misses free throw 2 of 2
7:47.0,Defensive rebound by J. Hickson,,36-38,,
7:33.0,D. Arthur makes 2-pt shot from 16 ft,2,38-38,,
7:18.0,,,38-40,2,J. Crowder makes 2-pt shot from 2 ft (assist by J. Sullinger)
6:59.0,,,38-40,,Personal foul by J. Crowder (drawn by J. Hickson)
6:53.0,E. Green misses 2-pt shot from 16 ft,,38-40,,
6:52.0,,,38-40,,Defensive rebound by J. Sullinger
6:44.0,,,38-40,,J. Crowder misses 2-pt shot from 11 ft
6:42.0,,,38-40,,Offensive rebound by J. Sullinger
6:42.0,,,38-40,,J. Sullinger misses 2-pt shot from 1 ft
6:41.0,,,38-40,,Offensive rebound by J. Sullinger
6:41.0,,,38-40,,J. Sullinger misses 2-pt shot from 1 ft
6:39.0,,,38-40,,Offensive rebound by M. Thornton
6:39.0,,,38-42,2,M. Thornton makes 2-pt shot from 7 ft
6:29.0,,,38-42,,Personal foul by M. Smart (drawn by D. Arthur)
6:29.0,A. Afflalo enters the game for J. Hickson,,38-42,,
6:29.0,J. Nurkic enters the game for G. Harris,,38-42,,
6:14.0,D. Arthur misses 2-pt shot from 17 ft,,38-42,,
6:13.0,Offensive rebound by J. Nurkic,,38-42,,
6:12.0,Shooting foul by M. Thornton (drawn by J. Nurkic),,38-42,,
6:12.0,J. Nurkic makes free throw 1 of 2,1,39-42,,
6:12.0,J. Nurkic makes free throw 2 of 2,1,40-42,,
6:01.0,,,40-42,,Turnover by M. Smart (lost ball)
5:50.0,D. Arthur misses 3-pt shot from 23 ft,,40-42,,
