time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: F. Ezeli vs. M. Gasol (Z. Randolph gains possession)
11:39.0,Personal foul by D. Green (drawn by Z. Randolph),,0-0,,
11:28.0,,,0-2,2,M. Gasol makes 2-pt shot from 6 ft
11:11.0,D. Green misses 2-pt shot from 22 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by Z. Randolph
10:54.0,,,0-2,,M. Conley misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by H. Barnes,,0-2,,
10:42.0,F. Ezeli makes 2-pt shot from 5 ft (assist by D. Green),2,2-2,,
10:23.0,,,2-2,,M. Gasol misses 2-pt shot from 7 ft
10:19.0,Defensive rebound by H. Barnes,,2-2,,
10:06.0,F. Ezeli misses 2-pt shot from 7 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by Z. Randolph
9:54.0,Personal foul by F. Ezeli (drawn by M. Gasol),,2-2,,
9:40.0,,,2-2,,Turnover by Team (shot clock)
9:24.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,4-2,,
9:02.0,,,4-2,,T. Allen misses 2-pt shot from 8 ft
9:01.0,Defensive rebound by F. Ezeli,,4-2,,
9:01.0,,,4-2,,Personal foul by T. Allen (drawn by F. Ezeli)
8:45.0,K. Thompson misses 2-pt shot from 7 ft,,4-2,,
8:43.0,Offensive rebound by F. Ezeli,,4-2,,
8:43.0,F. Ezeli misses 2-pt shot from 1 ft,,4-2,,
8:41.0,,,4-2,,Defensive rebound by T. Allen
8:35.0,,,4-2,,T. Allen misses 2-pt shot from 2 ft
8:33.0,,,4-2,,Offensive rebound by Z. Randolph
8:33.0,,,4-4,2,Z. Randolph makes 2-pt shot from 1 ft
8:26.0,S. Curry makes 2-pt shot from 20 ft,2,6-4,,
8:11.0,,,6-4,,M. Gasol misses 2-pt shot from 14 ft
8:10.0,Defensive rebound by S. Curry,,6-4,,
8:01.0,S. Curry misses 3-pt shot from 29 ft,,6-4,,
8:00.0,,,6-4,,Defensive rebound by M. Gasol
7:50.0,,,6-6,2,Z. Randolph makes 2-pt shot from 9 ft (assist by M. Conley)
7:28.0,K. Thompson misses 2-pt shot from 7 ft,,6-6,,
7:26.0,,,6-6,,Defensive rebound by M. Gasol
7:22.0,,,6-8,2,C. Lee makes 2-pt shot from 17 ft (assist by M. Gasol)
7:14.0,K. Thompson makes 3-pt shot from 27 ft (assist by S. Curry),3,9-8,,
6:50.0,,,9-10,2,M. Gasol makes 2-pt shot from 14 ft (assist by M. Conley)
6:38.0,S. Curry makes 2-pt shot from 1 ft,2,11-10,,
6:23.0,,,11-10,,M. Gasol misses 2-pt shot from 1 ft (block by F. Ezeli)
6:23.0,Defensive rebound by Team,,11-10,,
6:16.0,S. Curry misses 2-pt shot from 17 ft,,11-10,,
6:14.0,Offensive rebound by H. Barnes,,11-10,,
6:12.0,H. Barnes makes 2-pt shot at rim,2,13-10,,
5:56.0,,,13-12,2,M. Gasol makes 2-pt shot from 1 ft
5:29.0,K. Thompson misses 2-pt shot at rim,,13-12,,
5:27.0,,,13-12,,Defensive rebound by C. Lee
5:21.0,,,13-14,2,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen)
5:16.0,Golden State full timeout,,13-14,,
5:16.0,M. Speights enters the game for H. Barnes,,13-14,,
5:16.0,A. Iguodala enters the game for F. Ezeli,,13-14,,
5:07.0,A. Iguodala misses 3-pt shot from 23 ft,,13-14,,
5:06.0,Offensive rebound by D. Green,,13-14,,
5:03.0,M. Speights makes 2-pt shot from 20 ft (assist by D. Green),2,15-14,,
4:46.0,,,15-14,,M. Gasol misses 2-pt shot from 4 ft (block by M. Speights)
4:45.0,Defensive rebound by S. Curry,,15-14,,
4:40.0,S. Curry makes 2-pt shot at rim,2,17-14,,
4:28.0,,,17-16,2,M. Conley makes 2-pt shot from 11 ft
4:16.0,D. Green misses 2-pt shot from 21 ft,,17-16,,
4:15.0,,,17-16,,Defensive rebound by M. Gasol
4:03.0,,,17-18,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
3:50.0,M. Speights makes 2-pt shot from 20 ft (assist by S. Curry),2,19-18,,
3:27.0,,,19-20,2,M. Conley makes 2-pt shot from 19 ft (assist by M. Gasol)
3:20.0,,,19-20,,Personal foul by M. Conley (drawn by S. Curry)
3:20.0,S. Livingston enters the game for K. Thompson,,19-20,,
3:10.0,S. Curry misses 3-pt shot from 25 ft,,19-20,,
3:09.0,,,19-20,,Defensive rebound by T. Allen
2:55.0,,,19-20,,Offensive foul by M. Gasol
2:55.0,,,19-20,,Turnover by M. Gasol (offensive foul)
2:55.0,,,19-20,,Memphis full timeout
2:55.0,,,19-20,,V. Carter enters the game for T. Allen
2:55.0,H. Barnes enters the game for D. Green,,19-20,,
2:48.0,Offensive foul by S. Livingston,,19-20,,
2:48.0,Turnover by S. Livingston (offensive foul),,19-20,,
2:29.0,,,19-20,,M. Gasol misses 2-pt shot from 8 ft
2:28.0,,,19-20,,Offensive rebound by V. Carter
2:26.0,,,19-20,,V. Carter misses 2-pt shot from 2 ft (block by H. Barnes)
2:24.0,Defensive rebound by A. Iguodala,,19-20,,
2:16.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Livingston),3,22-20,,
1:58.0,,,22-22,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
1:38.0,Shooting foul by C. Lee (drawn by S. Livingston),,22-22,,
1:38.0,S. Livingston makes free throw 1 of 2,1,23-22,,
1:38.0,,,23-22,,J. Leuer enters the game for Z. Randolph
1:38.0,S. Livingston makes free throw 2 of 2,1,24-22,,
1:19.0,,,24-22,,J. Leuer misses 2-pt shot from 4 ft
1:17.0,,,24-22,,Offensive rebound by M. Gasol
1:17.0,,,24-22,,M. Gasol misses 2-pt shot at rim
1:15.0,Defensive rebound by M. Speights,,24-22,,
1:09.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,26-22,,
0:55.0,,,26-22,,M. Conley misses 2-pt shot from 2 ft (block by M. Speights)
0:55.0,,,26-22,,Offensive rebound by Team
0:55.0,,,26-22,,T. Prince enters the game for C. Lee
0:45.0,,,26-24,2,M. Gasol makes 2-pt shot from 20 ft
0:29.0,H. Barnes makes 2-pt shot from 6 ft,2,28-24,,
0:08.0,,,28-24,,M. Conley misses 2-pt shot from 16 ft
0:07.0,Defensive rebound by M. Speights,,28-24,,
0:01.0,H. Barnes makes 2-pt shot from 8 ft,2,30-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Iguodala misses 3-pt shot from 22 ft,,30-24,,
11:41.0,Offensive rebound by H. Barnes,,30-24,,
11:32.0,A. Iguodala misses 3-pt shot from 23 ft,,30-24,,
11:31.0,,,30-24,,Defensive rebound by K. Koufos
11:14.0,,,30-26,2,B. Udrih makes 2-pt shot from 13 ft
11:00.0,K. Thompson misses 2-pt shot from 6 ft (block by K. Koufos),,30-26,,
10:58.0,,,30-26,,Defensive rebound by V. Carter
10:54.0,,,30-28,2,J. Leuer makes 2-pt shot at rim (assist by B. Udrih)
10:54.0,,,30-28,,Shooting foul by M. Speights (drawn by J. Leuer)
10:54.0,,,30-29,1,J. Leuer makes free throw 1 of 1
10:32.0,S. Livingston misses 2-pt shot from 9 ft,,30-29,,
10:30.0,,,30-29,,Defensive rebound by K. Koufos
10:21.0,,,30-32,3,V. Carter makes 3-pt shot from 24 ft (assist by B. Udrih)
10:14.0,Golden State full timeout,,30-32,,
10:07.0,K. Thompson misses 2-pt shot from 5 ft (block by T. Prince),,30-32,,
10:05.0,,,30-32,,Defensive rebound by T. Prince
9:55.0,,,30-34,2,J. Leuer makes 2-pt shot from 19 ft (assist by B. Udrih)
9:42.0,H. Barnes misses 3-pt shot from 25 ft,,30-34,,
9:41.0,Offensive rebound by S. Livingston,,30-34,,
9:36.0,S. Livingston misses 2-pt shot at rim,,30-34,,
9:34.0,,,30-34,,Defensive rebound by K. Koufos
9:28.0,,,30-37,3,V. Carter makes 3-pt shot from 26 ft (assist by B. Udrih)
9:12.0,Turnover by M. Speights (bad pass),,30-37,,
8:59.0,,,30-40,3,V. Carter makes 3-pt shot from 25 ft (assist by B. Udrih)
8:52.0,Golden State full timeout,,30-40,,
8:52.0,D. Green enters the game for A. Iguodala,,30-40,,
8:40.0,M. Speights misses 2-pt shot from 15 ft,,30-40,,
8:39.0,,,30-40,,Defensive rebound by J. Leuer
8:21.0,,,30-40,,T. Prince misses 2-pt shot from 19 ft
8:20.0,Defensive rebound by Team,,30-40,,
8:20.0,,,30-40,,Loose ball foul by J. Leuer (drawn by D. Green)
8:05.0,S. Livingston misses 2-pt shot from 1 ft,,30-40,,
8:04.0,Offensive rebound by M. Speights,,30-40,,
8:04.0,M. Speights misses 2-pt shot at rim,,30-40,,
8:02.0,,,30-40,,Defensive rebound by J. Leuer
7:51.0,,,30-42,2,K. Koufos makes 2-pt shot from 13 ft (assist by B. Udrih)
7:32.0,M. Speights misses 2-pt shot from 1 ft,,30-42,,
7:31.0,,,30-42,,Defensive rebound by K. Koufos
7:22.0,,,30-44,2,B. Udrih makes 2-pt shot at rim
7:10.0,Turnover by S. Livingston (bad pass; steal by K. Koufos),,30-44,,
7:03.0,,,30-44,,V. Carter misses 3-pt shot from 26 ft
7:02.0,Defensive rebound by Team,,30-44,,
7:02.0,,,30-44,,Loose ball foul by T. Prince (drawn by D. Green)
7:02.0,S. Curry enters the game for S. Livingston,,30-44,,
6:49.0,M. Speights makes 2-pt shot from 5 ft,2,32-44,,
6:30.0,,,32-44,,T. Prince misses 2-pt shot from 8 ft
6:26.0,Defensive rebound by D. Green,,32-44,,
6:20.0,S. Curry makes 2-pt shot at rim,2,34-44,,
6:06.0,,,34-44,,Memphis full timeout
