time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: P. Gasol vs. A. Jefferson (K. Walker gains possession)
11:45.0,,,0-2,2,L. Stephenson makes 2-pt shot from 16 ft (assist by A. Jefferson)
11:21.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Butler),3,3-2,,
11:09.0,,,3-2,,C. Zeller misses 2-pt shot from 1 ft
11:08.0,,,3-2,,Offensive rebound by C. Zeller
11:08.0,,,3-4,2,C. Zeller makes 2-pt shot from 1 ft
10:53.0,P. Gasol makes 2-pt shot from 1 ft (assist by J. Butler),2,5-4,,
10:35.0,,,5-4,,Turnover by G. Henderson (bad pass; steal by J. Butler)
10:23.0,J. Noah makes 2-pt shot from 19 ft,2,7-4,,
10:08.0,,,7-6,2,A. Jefferson makes 2-pt shot from 9 ft
9:57.0,D. Rose misses 3-pt shot from 26 ft,,7-6,,
9:56.0,Offensive rebound by J. Noah,,7-6,,
9:46.0,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah),2,9-6,,
9:33.0,,,9-8,2,G. Henderson makes 2-pt shot at rim (assist by C. Zeller)
9:17.0,Shooting foul by K. Walker (drawn by J. Noah),,9-8,,
9:17.0,Chicago full timeout,,9-8,,
9:17.0,J. Noah makes free throw 1 of 2,1,10-8,,
9:17.0,J. Noah misses free throw 2 of 2,,10-8,,
9:16.0,,,10-8,,Defensive rebound by G. Henderson
9:03.0,,,10-10,2,L. Stephenson makes 2-pt shot from 19 ft (assist by C. Zeller)
8:53.0,,,10-10,,Personal foul by C. Zeller (drawn by P. Gasol)
8:47.0,P. Gasol misses 2-pt shot from 19 ft,,10-10,,
8:45.0,,,10-10,,Defensive rebound by A. Jefferson
8:34.0,,,10-10,,C. Zeller misses 2-pt shot from 10 ft
8:33.0,Defensive rebound by J. Noah,,10-10,,
8:16.0,D. Rose misses 2-pt shot from 2 ft (block by K. Walker),,10-10,,
8:13.0,,,10-10,,Defensive rebound by G. Henderson
8:13.0,,,10-10,,Shooting foul by M. Dunleavy (drawn by G. Henderson)
8:13.0,,,10-11,1,G. Henderson makes free throw 1 of 2
8:13.0,,,10-12,1,G. Henderson makes free throw 2 of 2
8:01.0,,,10-12,,Personal foul by C. Zeller (drawn by P. Gasol)
8:01.0,,,10-12,,M. Williams enters the game for C. Zeller
7:51.0,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah),2,12-12,,
7:37.0,,,12-12,,A. Jefferson misses 2-pt shot from 5 ft
7:36.0,Defensive rebound by J. Noah,,12-12,,
7:33.0,Turnover by J. Noah (traveling),,12-12,,
7:19.0,,,12-12,,Turnover by L. Stephenson (bad pass; steal by J. Butler)
7:07.0,Turnover by Team (back court),,12-12,,
6:56.0,,,12-12,,A. Jefferson misses 2-pt shot from 6 ft
6:54.0,Defensive rebound by J. Noah,,12-12,,
6:44.0,J. Noah misses 2-pt shot from 2 ft,,12-12,,
6:43.0,,,12-12,,Defensive rebound by K. Walker
6:34.0,,,12-14,2,K. Walker makes 2-pt shot at rim
6:24.0,P. Gasol misses 2-pt shot from 20 ft,,12-14,,
6:23.0,,,12-14,,Defensive rebound by L. Stephenson
6:12.0,,,12-16,2,L. Stephenson makes 2-pt shot at rim
5:53.0,M. Dunleavy makes 3-pt shot from 26 ft (assist by D. Rose),3,15-16,,
5:32.0,,,15-18,2,G. Henderson makes 2-pt shot from 11 ft
5:17.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah),3,18-18,,
5:00.0,,,18-18,,K. Walker misses 2-pt shot from 16 ft
4:59.0,Defensive rebound by P. Gasol,,18-18,,
4:47.0,D. Rose makes 3-pt shot from 26 ft (assist by J. Noah),3,21-18,,
4:30.0,,,21-20,2,M. Williams makes 2-pt shot from 20 ft (assist by K. Walker)
4:08.0,P. Gasol misses 2-pt shot from 12 ft,,21-20,,
4:08.0,,,21-20,,Defensive rebound by Team
4:08.0,Personal foul by J. Noah (drawn by M. Williams),,21-20,,
4:04.0,,,21-20,,P. Hairston enters the game for G. Henderson
4:04.0,,,21-20,,B. Biyombo enters the game for A. Jefferson
4:04.0,K. Hinrich enters the game for J. Noah,,21-20,,
4:04.0,N. Mirotic enters the game for D. Rose,,21-20,,
3:56.0,,,21-20,,L. Stephenson misses 2-pt shot from 18 ft
3:55.0,Defensive rebound by P. Gasol,,21-20,,
3:34.0,K. Hinrich misses 2-pt shot from 21 ft,,21-20,,
3:33.0,,,21-20,,Defensive rebound by M. Williams
3:18.0,,,21-20,,B. Biyombo misses 2-pt shot from 3 ft
3:17.0,Defensive rebound by N. Mirotic,,21-20,,
2:53.0,P. Gasol misses 2-pt shot from 1 ft (block by K. Walker),,21-20,,
2:52.0,,,21-20,,Defensive rebound by P. Hairston
2:44.0,Violation by N. Mirotic (kicked ball),,21-20,,
2:44.0,,,21-20,,Charlotte full timeout
2:44.0,,,21-20,,B. Roberts enters the game for L. Stephenson
2:31.0,,,21-22,2,B. Biyombo makes 2-pt shot at rim (assist by B. Roberts)
2:14.0,K. Hinrich makes 3-pt shot from 26 ft (assist by J. Butler),3,24-22,,
2:00.0,,,24-22,,P. Hairston misses 3-pt shot from 26 ft
1:58.0,Defensive rebound by P. Gasol,,24-22,,
1:43.0,Turnover by P. Gasol (bad pass; steal by P. Hairston),,24-22,,
1:37.0,,,24-22,,P. Hairston misses 2-pt shot at rim
1:35.0,Defensive rebound by N. Mirotic,,24-22,,
1:28.0,M. Dunleavy misses 3-pt shot from 22 ft,,24-22,,
1:26.0,,,24-22,,Defensive rebound by B. Biyombo
1:14.0,,,24-24,2,K. Walker makes 2-pt shot from 13 ft
0:48.0,K. Hinrich misses 2-pt shot from 2 ft,,24-24,,
0:48.0,Offensive rebound by Team,,24-24,,
0:48.0,Turnover by Team (shot clock),,24-24,,
0:48.0,A. Brooks enters the game for J. Butler,,24-24,,
0:32.0,,,24-24,,B. Biyombo misses 2-pt shot from 6 ft
0:30.0,Defensive rebound by P. Gasol,,24-24,,
0:10.0,,,24-24,,Personal block foul by K. Walker (drawn by K. Hinrich)
0:10.0,,,24-24,,J. Pargo enters the game for K. Walker
0:05.0,A. Brooks makes 2-pt shot from 8 ft,2,26-24,,
0:00.0,,,26-24,,B. Roberts misses 3-pt shot from 40 ft
0:00.0,,,26-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,N. Mirotic misses 3-pt shot from 25 ft,,26-24,,
11:48.0,,,26-24,,Defensive rebound by B. Biyombo
11:40.0,,,26-24,,M. Williams misses 3-pt shot from 26 ft
11:37.0,,,26-24,,Offensive rebound by P. Hairston
11:33.0,,,26-24,,P. Hairston misses 3-pt shot from 29 ft
11:31.0,Defensive rebound by J. Noah,,26-24,,
11:12.0,J. Noah makes 2-pt shot from 2 ft (assist by A. Brooks),2,28-24,,
10:57.0,,,28-24,,Shooting foul by T. Snell (drawn by P. Hairston)
10:57.0,,,28-25,1,P. Hairston makes free throw 1 of 2
10:57.0,,,28-26,1,P. Hairston makes free throw 2 of 2
10:44.0,N. Mirotic misses 2-pt shot from 17 ft,,28-26,,
10:42.0,,,28-26,,Defensive rebound by L. Stephenson
10:31.0,,,28-26,,M. Williams misses 3-pt shot from 25 ft
10:30.0,Defensive rebound by A. Brooks,,28-26,,
10:27.0,A. Brooks misses 2-pt shot from 1 ft (block by P. Hairston),,28-26,,
10:24.0,Offensive rebound by K. Hinrich,,28-26,,
10:13.0,Shooting foul by B. Roberts (drawn by K. Hinrich),,28-26,,
10:13.0,K. Hinrich makes free throw 1 of 2,1,29-26,,
10:13.0,K. Hinrich misses free throw 2 of 2,,29-26,,
10:11.0,,,29-26,,Defensive rebound by B. Biyombo
9:53.0,,,29-26,,P. Hairston misses 2-pt shot from 1 ft
9:51.0,Defensive rebound by J. Noah,,29-26,,
9:39.0,A. Brooks makes 2-pt shot from 7 ft (assist by J. Noah),2,31-26,,
9:20.0,,,31-26,,M. Williams misses 2-pt shot from 1 ft
9:19.0,Defensive rebound by T. Snell,,31-26,,
9:08.0,J. Noah makes 2-pt shot at rim (assist by A. Brooks),2,33-26,,
9:02.0,,,33-26,,Charlotte full timeout
9:02.0,,,33-26,,A. Jefferson enters the game for B. Biyombo
8:52.0,,,33-26,,B. Roberts misses 2-pt shot from 14 ft
8:49.0,Defensive rebound by A. Brooks,,33-26,,
8:38.0,A. Brooks misses 3-pt shot from 25 ft,,33-26,,
8:34.0,,,33-26,,Defensive rebound by A. Jefferson
8:28.0,,,33-28,2,L. Stephenson makes 2-pt shot from 1 ft
8:14.0,Turnover by A. Brooks (lost ball),,33-28,,
7:50.0,,,33-30,2,P. Hairston makes 2-pt shot from 7 ft
7:32.0,J. Noah misses 2-pt shot from 18 ft,,33-30,,
7:30.0,,,33-30,,Defensive rebound by L. Stephenson
7:09.0,,,33-30,,Turnover by L. Stephenson (lost ball; steal by J. Noah)
6:56.0,J. Noah makes 2-pt shot from 19 ft (assist by T. Snell),2,35-30,,
6:35.0,,,35-30,,B. Roberts misses 2-pt shot from 12 ft
6:32.0,Defensive rebound by N. Mirotic,,35-30,,
6:18.0,,,35-30,,C. Zeller enters the game for M. Williams
6:18.0,,,35-30,,G. Henderson enters the game for P. Hairston
6:18.0,P. Gasol enters the game for J. Noah,,35-30,,
6:18.0,J. Butler enters the game for T. Snell,,35-30,,
6:18.0,,,35-30,,K. Walker enters the game for B. Roberts
6:15.0,N. Mirotic makes 2-pt shot from 16 ft (assist by K. Hinrich),2,37-30,,
6:00.0,,,37-32,2,C. Zeller makes 2-pt shot from 1 ft (assist by G. Henderson)
5:47.0,Turnover by A. Brooks (step out of bounds),,37-32,,
5:47.0,Official timeout,,37-32,,
5:47.0,M. Dunleavy enters the game for K. Hinrich,,37-32,,
5:47.0,D. Rose enters the game for A. Brooks,,37-32,,
5:32.0,,,37-34,2,G. Henderson makes 2-pt shot from 15 ft (assist by A. Jefferson)
5:16.0,J. Butler misses 2-pt shot from 16 ft,,37-34,,
5:15.0,,,37-34,,Defensive rebound by K. Walker
5:04.0,,,37-34,,C. Zeller misses 2-pt shot from 19 ft
5:03.0,Defensive rebound by P. Gasol,,37-34,,
4:39.0,J. Butler misses 2-pt shot from 2 ft,,37-34,,
4:38.0,,,37-34,,Defensive rebound by C. Zeller
4:33.0,,,37-36,2,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson)
4:13.0,N. Mirotic misses 2-pt shot from 17 ft,,37-36,,
4:13.0,,,37-36,,Defensive rebound by Team
4:13.0,Loose ball foul by M. Dunleavy (drawn by G. Henderson),,37-36,,
4:02.0,,,37-36,,A. Jefferson misses 2-pt shot from 15 ft
4:01.0,Defensive rebound by N. Mirotic,,37-36,,
3:49.0,,,37-36,,Personal foul by L. Stephenson (drawn by J. Butler)
3:43.0,Turnover by D. Rose (bad pass; steal by L. Stephenson),,37-36,,
3:39.0,,,37-38,2,L. Stephenson makes 2-pt shot at rim
3:24.0,J. Butler misses 3-pt shot from 23 ft,,37-38,,
3:23.0,,,37-38,,Defensive rebound by C. Zeller
3:16.0,,,37-38,,K. Walker misses 2-pt shot from 14 ft
3:13.0,,,37-38,,Offensive rebound by K. Walker
3:10.0,,,37-38,,C. Zeller misses 2-pt shot from 5 ft
3:08.0,Defensive rebound by N. Mirotic,,37-38,,
2:52.0,N. Mirotic misses 3-pt shot from 22 ft,,37-38,,
2:51.0,,,37-38,,Defensive rebound by C. Zeller
2:44.0,Personal foul by J. Butler (drawn by L. Stephenson),,37-38,,
2:44.0,Chicago full timeout,,37-38,,
2:29.0,,,37-40,2,A. Jefferson makes 2-pt shot from 10 ft
2:12.0,Shooting foul by G. Henderson (drawn by J. Butler),,37-40,,
2:12.0,J. Butler makes free throw 1 of 2,1,38-40,,
2:12.0,,,38-40,,B. Roberts enters the game for K. Walker
2:12.0,,,38-40,,M. Williams enters the game for C. Zeller
2:12.0,J. Butler makes free throw 2 of 2,1,39-40,,
1:54.0,,,39-40,,A. Jefferson misses 2-pt shot from 6 ft
1:53.0,Defensive rebound by N. Mirotic,,39-40,,
1:41.0,P. Gasol makes 2-pt shot from 9 ft,2,41-40,,
1:41.0,Shooting foul by A. Jefferson (drawn by P. Gasol),,41-40,,
